delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
254236-287400-654102-3083-156692-316844-329638-144428,44018-50851-141752-8217-36341-60169-56648-9901,4461-19261-22266-5367-18452-4680-30688-4333,4651-9657-7120-3207-27730-1403-10069-2652,5722-5970-38829-5081-4314-3797-18777-1928,2439-4428-36494-21115-23300-6829-3863-3267,1762-3646-15358-1700-7971-4504-4323-3814,1413-2303-14910-1246-2514-4099-4680-2374,easy
287400-654102-3083-156692-316844-329638-144428-250896,50851-141752-8217-36341-60169-56648-9901-70436,19261-22266-5367-18452-4680-30688-4333-4402,9657-7120-3207-27730-1403-10069-2652-2987,5970-38829-5081-4314-3797-18777-1928-4863,4428-36494-21115-23300-6829-3863-3267-11704,3646-15358-1700-7971-4504-4323-3814-12427,2303-14910-1246-2514-4099-4680-2374-2474,easy
654102-3083-156692-316844-329638-144428-250896-52493,141752-8217-36341-60169-56648-9901-70436-24312,22266-5367-18452-4680-30688-4333-4402-5662,7120-3207-27730-1403-10069-2652-2987-3385,38829-5081-4314-3797-18777-1928-4863-15872,36494-21115-23300-6829-3863-3267-11704-13661,15358-1700-7971-4504-4323-3814-12427-5794,14910-1246-2514-4099-4680-2374-2474-1683,easy
3083-156692-316844-329638-144428-250896-52493-40694,8217-36341-60169-56648-9901-70436-24312-39532,5367-18452-4680-30688-4333-4402-5662-11697,3207-27730-1403-10069-2652-2987-3385-10131,5081-4314-3797-18777-1928-4863-15872-4071,21115-23300-6829-3863-3267-11704-13661-7036,1700-7971-4504-4323-3814-12427-5794-3779,1246-2514-4099-4680-2374-2474-1683-5712,easy
156692-316844-329638-144428-250896-52493-40694-119986,36341-60169-56648-9901-70436-24312-39532-87056,18452-4680-30688-4333-4402-5662-11697-13009,27730-1403-10069-2652-2987-3385-10131-10614,4314-3797-18777-1928-4863-15872-4071-8691,23300-6829-3863-3267-11704-13661-7036-6617,7971-4504-4323-3814-12427-5794-3779-6573,2514-4099-4680-2374-2474-1683-5712-4839,easy
316844-329638-144428-250896-52493-40694-119986-588697,60169-56648-9901-70436-24312-39532-87056-39250,4680-30688-4333-4402-5662-11697-13009-12071,1403-10069-2652-2987-3385-10131-10614-21400,3797-18777-1928-4863-15872-4071-8691-15700,6829-3863-3267-11704-13661-7036-6617-35884,4504-4323-3814-12427-5794-3779-6573-19126,4099-4680-2374-2474-1683-5712-4839-9241,easy
329638-144428-250896-52493-40694-119986-588697-51947,56648-9901-70436-24312-39532-87056-39250-24819,30688-4333-4402-5662-11697-13009-12071-3917,10069-2652-2987-3385-10131-10614-21400-3863,18777-1928-4863-15872-4071-8691-15700-2100,3863-3267-11704-13661-7036-6617-35884-14167,4323-3814-12427-5794-3779-6573-19126-4380,4680-2374-2474-1683-5712-4839-9241-3220,easy
144428-250896-52493-40694-119986-588697-51947-211335,9901-70436-24312-39532-87056-39250-24819-71309,4333-4402-5662-11697-13009-12071-3917-9217,2652-2987-3385-10131-10614-21400-3863-11937,1928-4863-15872-4071-8691-15700-2100-4231,3267-11704-13661-7036-6617-35884-14167-11043,3814-12427-5794-3779-6573-19126-4380-6961,2374-2474-1683-5712-4839-9241-3220-2412,easy
250896-52493-40694-119986-588697-51947-211335-270958,70436-24312-39532-87056-39250-24819-71309-17151,4402-5662-11697-13009-12071-3917-9217-4394,2987-3385-10131-10614-21400-3863-11937-2833,4863-15872-4071-8691-15700-2100-4231-6119,11704-13661-7036-6617-35884-14167-11043-4187,12427-5794-3779-6573-19126-4380-6961-5267,2474-1683-5712-4839-9241-3220-2412-2997,easy
52493-40694-119986-588697-51947-211335-270958-937738,24312-39532-87056-39250-24819-71309-17151-173558,5662-11697-13009-12071-3917-9217-4394-10927,3385-10131-10614-21400-3863-11937-2833-12800,15872-4071-8691-15700-2100-4231-6119-35143,13661-7036-6617-35884-14167-11043-4187-60354,5794-3779-6573-19126-4380-6961-5267-25689,1683-5712-4839-9241-3220-2412-2997-16877,easy
40694-119986-588697-51947-211335-270958-937738-99110,39532-87056-39250-24819-71309-17151-173558-14333,11697-13009-12071-3917-9217-4394-10927-4061,10131-10614-21400-3863-11937-2833-12800-736,4071-8691-15700-2100-4231-6119-35143-3507,7036-6617-35884-14167-11043-4187-60354-5048,3779-6573-19126-4380-6961-5267-25689-1349,5712-4839-9241-3220-2412-2997-16877-1726,hard
119986-588697-51947-211335-270958-937738-99110-493489,87056-39250-24819-71309-17151-173558-14333-52972,13009-12071-3917-9217-4394-10927-4061-15150,10614-21400-3863-11937-2833-12800-736-8715,8691-15700-2100-4231-6119-35143-3507-8007,6617-35884-14167-11043-4187-60354-5048-11243,6573-19126-4380-6961-5267-25689-1349-2384,4839-9241-3220-2412-2997-16877-1726-3352,easy
588697-51947-211335-270958-937738-99110-493489-1698421,39250-24819-71309-17151-173558-14333-52972-326591,12071-3917-9217-4394-10927-4061-15150-75267,21400-3863-11937-2833-12800-736-8715-70396,15700-2100-4231-6119-35143-3507-8007-45199,35884-14167-11043-4187-60354-5048-11243-55470,19126-4380-6961-5267-25689-1349-2384-53061,9241-3220-2412-2997-16877-1726-3352-26815,easy
51947-211335-270958-937738-99110-493489-1698421-270180,24819-71309-17151-173558-14333-52972-326591-42356,3917-9217-4394-10927-4061-15150-75267-6420,3863-11937-2833-12800-736-8715-70396-7977,2100-4231-6119-35143-3507-8007-45199-7069,14167-11043-4187-60354-5048-11243-55470-11980,4380-6961-5267-25689-1349-2384-53061-10648,3220-2412-2997-16877-1726-3352-26815-6637,easy
211335-270958-937738-99110-493489-1698421-270180-133098,71309-17151-173558-14333-52972-326591-42356-183130,9217-4394-10927-4061-15150-75267-6420-47181,11937-2833-12800-736-8715-70396-7977-31062,4231-6119-35143-3507-8007-45199-7069-5321,11043-4187-60354-5048-11243-55470-11980-4244,6961-5267-25689-1349-2384-53061-10648-10685,2412-2997-16877-1726-3352-26815-6637-2645,easy
270958-937738-99110-493489-1698421-270180-133098-1035406,17151-173558-14333-52972-326591-42356-183130-202458,4394-10927-4061-15150-75267-6420-47181-13915,2833-12800-736-8715-70396-7977-31062-6917,6119-35143-3507-8007-45199-7069-5321-15085,4187-60354-5048-11243-55470-11980-4244-32162,5267-25689-1349-2384-53061-10648-10685-57991,2997-16877-1726-3352-26815-6637-2645-10492,easy
937738-99110-493489-1698421-270180-133098-1035406-1713020,173558-14333-52972-326591-42356-183130-202458-370652,10927-4061-15150-75267-6420-47181-13915-100435,12800-736-8715-70396-7977-31062-6917-48926,35143-3507-8007-45199-7069-5321-15085-36345,60354-5048-11243-55470-11980-4244-32162-64681,25689-1349-2384-53061-10648-10685-57991-14248,16877-1726-3352-26815-6637-2645-10492-11589,easy
99110-493489-1698421-270180-133098-1035406-1713020-93824,14333-52972-326591-42356-183130-202458-370652-50585,4061-15150-75267-6420-47181-13915-100435-1002,736-8715-70396-7977-31062-6917-48926-6340,3507-8007-45199-7069-5321-15085-36345-3698,5048-11243-55470-11980-4244-32162-64681-6734,1349-2384-53061-10648-10685-57991-14248-1954,1726-3352-26815-6637-2645-10492-11589-2895,easy
