delta_2,theta_2,lowalpha_2,highalpha_2,lowbeta_2,highbeta_2,lowgamma_2,midgamma_2,delta_3,theta_3,lowalpha_3,highalpha_3,lowbeta_3,highbeta_3,lowgamma_3,midgamma_3,delta_4,theta_4,lowalpha_4,highalpha_4,lowbeta_4,highbeta_4,lowgamma_4,midgamma_4,delta_5,theta_5,lowalpha_5,highalpha_5,lowbeta_5,highbeta_5,lowgamma_5,midgamma_5,delta_6,theta_6,lowalpha_6,highalpha_6,lowbeta_6,highbeta_6,lowgamma_6,midgamma_6,delta_7,theta_7,lowalpha_7,highalpha_7,lowbeta_7,highbeta_7,lowgamma_7,midgamma_7,state
103592,83002,32036,15462,18085,10762,5498,11032,367408,149232,17612,16748115,16755368,25258,19035,9618,32300,25387,16762423,16752625,22898,16746810,8502,8285,14225,3286,4080,8749,4313,5817,1965,1461,16774296,10542,5845,995,7838,5159,1368,1379,1795,17520,20158,3897,15998,11974,4638,5956,diff
869649,274775,17940,10143,21728,11351,15429,6440,876035,64695,17486,4986,6732,13042,9095,7942,584269,63993,21992,24881,4711,6689,5314,6444,645167,42130,16749718,18004,5849,13887,9656,3609,3037,23462,4385,3475,2223,5993,889,464,16764064,88553,10988,3232,3747,5879,3476,2361,diff
645167,42130,16749718,18004,5849,13887,9656,3609,3037,23462,4385,3475,2223,5993,889,464,16764064,88553,10988,3232,3747,5879,3476,2361,6063,8886,8858,5474,8147,1845,2940,3079,75312,8999,1439,1360,882,1359,526,566,16767,20583,6554,6734,5712,2233,2483,1864,easy
16756580,19699,6041,1745,1317,1600,373,141,4236,11649,2459,3549,4986,7484,1893,1239,10288,19088,7838,6359,10487,11631,2975,2394,87985,18732,2689,841,998,1840,1582,16777171,33240,29446,3868,1390,640,643,157,579,2675,3299,8510,186,1410,797,16777137,213,easy
87985,18732,2689,841,998,1840,1582,16777171,33240,29446,3868,1390,640,643,157,579,2675,3299,8510,186,1410,797,16777137,213,10373,8775,10149,5722,19439,7694,1747,1239,28814,16776800,6498,13110,7379,3375,1110,1013,5841,9322,13783,6602,12855,5417,1863,1945,easy
655283,95295,16770361,20731,7906,10724,16759160,16744876,106526,20479,22212,15060,21260,9652,4302,6077,984082,177097,9266,16422,16748534,17782,16585,26679,161205,27389,7233,4122,2663,14020,8363,5080,646394,68019,20978,3853,2705,11151,4970,3361,82596,10897,16777137,531,683,923,1380,2053,diff
2356973,217556,16956,16744432,19425,29785,19035,29194,346650,16133,13836,3255,6801,3075,5573,2575,226654,56461,21977,10641,3356,6973,7849,1962,135325,16770797,4280,1994,2003,2957,1151,204,731376,16761912,25821,13514,6160,22851,8771,5706,277202,26868,8969,1114,6992,9225,3853,2999,diff
731376,16761912,25821,13514,6160,22851,8771,5706,277202,26868,8969,1114,6992,9225,3853,2999,84292,132578,14728,1539,5540,5525,1727,4254,3032184,221083,12189,29780,28510,16760625,31111,18584,1160442,139752,16745301,20889,16745168,11711,26414,16760114,1617,2777,198,1932,3043,6950,5033,6963,diff
1617,2777,198,1932,3043,6950,5033,6963,16765678,23923,1931,1228,2037,3874,669,886,486884,385048,16758214,16751212,15019,26649,7737,11329,937268,129040,15799,19607,13789,22204,31442,13361,268201,22137,5777,3574,6333,5927,3834,3776,137467,16764478,17005,5397,10666,2673,2115,1155,diff
234672,223643,27531,27117,14487,6822,9582,4952,65800,24579,4180,1599,3900,2009,1498,400,1013987,16773868,28725,17669,16262,5210,8182,3865,492959,107059,25381,12738,22005,6189,6389,6226,818546,16761259,19571,10916,6568,7370,10130,2483,2599689,155958,18259,15542,28336,27020,16746714,13444,diff
1586218,204038,16768934,16767593,14371,20912,18752,30610,80563,48428,24257,8977,27001,24692,4351,7145,889330,39268,16759506,10667,16772067,30091,21753,19378,16770114,17370,2330,4046,1768,4589,1584,1450,94141,17710,16746130,6628,10001,3541,2689,2345,214422,74805,22615,17445,21103,7835,2729,3199,easy
94141,17710,16746130,6628,10001,3541,2689,2345,214422,74805,22615,17445,21103,7835,2729,3199,92464,15526,5559,8079,4451,6611,1548,844,50604,80056,16774658,27153,6752,9021,7335,7466,184853,49609,139785,8934,27003,21162,7276,5171,218203,9179,14182,5060,6203,3420,1262,1888,diff
88069,73025,17921,8672,11147,6033,17356,6764,75833,10993,6444,2490,8762,7199,4252,2224,16762046,14627,2246,2188,4019,3435,2168,2127,262020,20897,1982,3829,8910,4896,2257,1821,44515,88691,15856,6297,6063,3898,1629,986,927031,92170,131918,16764841,24977,9845,7369,6362,easy
16762046,14627,2246,2188,4019,3435,2168,2127,262020,20897,1982,3829,8910,4896,2257,1821,44515,88691,15856,6297,6063,3898,1629,986,927031,92170,131918,16764841,24977,9845,7369,6362,90655,23647,2818,6346,5167,5478,3770,2177,802999,16770842,15515,32159,16829,17101,16845,5791,diff
802999,16770842,15515,32159,16829,17101,16845,5791,17739,60555,16751506,27867,10979,13377,20292,15692,555141,16769222,5851,19120,2390,5261,7921,15724,1311935,16765770,16758817,1694,8050,5081,4585,5549,536116,16763995,12620,30719,12562,7078,7907,5466,644416,16769776,10122,10121,18972,7079,4364,5259,diff
644416,16769776,10122,10121,18972,7079,4364,5259,16757847,61610,19574,11763,12802,7989,9861,6297,84992,16766392,19767,5510,3599,3052,1472,1170,18759,18997,6788,3007,2500,486,2122,587,91340,16773367,14094,14018,6706,11308,5183,3353,16751597,16747150,23344,5231,7955,7738,7920,3777,diff
30557,26207,3505,9367,3985,3656,1156,1202,415425,95222,27549,10770,16745542,24201,8558,10623,382997,443761,16756007,18095,16745573,16956,9640,5059,131489,11670,5350,4051,4039,3222,1521,1587,353889,10550,7121,4517,3644,3389,1514,420,68687,67187,16765155,16750050,24773,27350,11965,7822,diff
