delta_2,theta_2,lowalpha_2,highalpha_2,lowbeta_2,highbeta_2,lowgamma_2,midgamma_2,delta_3,theta_3,lowalpha_3,highalpha_3,lowbeta_3,highbeta_3,lowgamma_3,midgamma_3,state
317024,1012263,17184,164213,37060,63039,52803,42176,393484,40779,1976,5836,17662,7100,20878,16452,0
727868,383433,24571,72173,37264,33905,42380,34567,489675,149763,32377,12699,11264,23071,50269,9550,1
1394249,130294,20774,13246,27067,17227,17155,8267,2010144,125912,174813,108190,15888,58943,92361,23954,1
1219530,424569,150730,52503,43094,79055,47708,49797,1298773,50577,32415,4995,7532,12327,8472,11549,1
244414,30596,12322,11648,2961,10669,10193,3396,5728,3893,8954,33716,53520,33560,11977,13945,1
1982933,474237,18440,73170,51059,160594,103242,64420,1076836,220881,36485,11922,19501,18547,28540,11638,1
1345709,280458,30517,6076,15263,172024,223182,40234,614409,65363,7149,2012,1376,8027,2799,1572,0
1154601,576448,77099,124299,22840,61090,59189,20267,697753,249214,43331,30119,56650,104542,115855,42313,1
951488,88352,1685,11461,9843,18122,5619,7212,657750,224874,21028,26549,11031,62550,48037,19636,1
416971,42850,5097,15040,13167,9620,17176,4990,798615,47765,4720,6101,5045,20140,23842,13504,0
1706517,387595,82294,50924,58136,34502,31513,17791,67492,45459,2657,1578,1639,3959,2016,3180,0
1754080,549450,82684,182795,22593,70621,222314,17795,1556926,267669,154490,84733,43958,84831,150618,89549,1
360518,466282,21311,68402,36557,83221,36540,28966,1187722,52806,19407,4255,9019,11855,7723,8953,0
624739,93962,48654,32122,13706,7621,5112,9977,2855119,184055,42015,27033,19270,37954,66340,9635,0
998696,30529,18050,564,5732,8504,5688,5802,520166,88563,6203,12150,9704,23085,29160,9795,1
1745785,390193,136452,95374,53563,53136,130928,128016,531815,58220,7138,7459,5158,24280,7025,17779,1
555632,83603,18150,9130,7816,8513,8173,4106,615766,23514,12319,21443,26985,30375,13633,13860,0
351520,129019,6484,8666,6057,16796,6456,9862,570536,151284,8604,38269,11361,20489,17650,9788,0
1232644,141690,49817,62579,21676,6847,4336,5810,1089810,34769,10423,4263,5207,5969,1739,1901,1
541071,236615,70747,70105,24408,31631,29271,18432,205109,13468,3599,2848,1218,4472,3234,2107,0
1692107,213399,15642,16808,30206,33583,27945,25393,43090,48675,9039,12985,7863,5228,5626,3002,1
954326,51878,17973,10876,12348,8259,39550,12965,1002794,153630,17001,32549,24816,18895,11880,15723,0
346729,191870,87166,31515,29311,47665,44275,14966,298197,24281,4943,3357,2761,2127,1493,841,1
1398580,200137,11711,65047,17069,22058,28683,6579,921777,582886,17075,16441,29966,96112,60427,44959,1
636415,137161,6780,15127,11296,13888,14547,11132,858571,74601,6850,6661,8644,17397,22917,8441,0
192114,104544,5286,20890,15908,20822,7775,9969,162716,24945,4236,2300,2666,4747,3716,2628,0
1443,6360,3989,18039,3436,35101,33296,53078,1225580,158840,148297,16396,6726,48723,55419,14444,1
608614,24946,4034,14069,4730,8578,9612,9451,110606,100313,16303,7932,40520,39648,61643,16349,0
672979,97247,12152,16702,7507,20202,18014,5901,1248294,87008,2358,3683,9924,21687,8385,6614,0
1181463,24851,8962,8026,5526,7235,10671,12852,244350,60630,26062,12097,8935,42060,25015,10983,0
772777,377108,22945,104349,34133,49133,37861,19341,402044,63913,4636,13727,13419,56457,29837,29506,0
995327,156285,20792,7678,20774,20249,24781,9199,294393,11092,7973,17388,18977,41790,39078,8766,1
688507,41785,34704,18307,21652,56020,47441,16968,522160,21515,3741,18037,18516,34839,56224,19814,0
858703,311551,84417,6645,23233,12240,45568,18063,924827,293672,312474,39001,45975,58703,40449,54911,1
881471,221294,43549,278967,107762,28352,38108,26709,301152,124524,36917,47028,48290,31378,31580,34098,0
368126,117921,8736,16800,32718,24916,45776,11013,937294,76311,43735,35364,74578,64168,72674,59394,0
1558514,89840,8563,13270,10862,24569,18803,4360,675027,237026,45315,96573,37314,39881,105868,45244,1
295244,249068,14356,10937,9704,23439,9931,3898,436933,62170,6254,12535,4732,24932,33536,7488,1
1754671,46554,71683,18141,13934,36873,16066,22732,1550740,268563,101155,24002,9454,46291,28195,10845,1
139729,101756,15065,3996,11022,11406,14221,4188,5648,12925,2740,14582,14381,16804,36640,18103,0
58916,28863,20699,11770,15806,36443,13670,31029,52032,115266,13099,5108,8736,20247,66758,18548,0
65679,32346,17539,9724,3076,2006,2557,1680,902678,98653,29342,16348,31078,36755,44496,18438,1
988162,155455,30286,50663,12753,47468,55006,13956,422416,324862,77073,7881,17587,59194,63313,11360,1
243084,75003,4602,28201,29658,43517,31775,11538,1291287,419848,84807,21228,12582,39440,25052,20749,0
263890,20538,9019,5353,2934,2210,844,1115,155954,46742,34376,30833,45775,20182,25235,8720,0
105521,39849,6499,5414,11568,5170,7793,2402,5159,13447,2958,14679,10860,28066,22552,13470,0
210856,8644,663,705,447,2229,2303,1334,1161737,219844,33596,15687,42020,25977,26276,61549,0
1845111,182501,9147,6755,8704,46446,66743,23556,923725,29312,31668,7232,4725,3637,883,1210,0
202942,258297,40749,6915,8610,45870,19650,26941,108213,4273,1403,8286,4511,11763,2858,3142,1
876715,47041,5750,14868,6189,14507,12328,2623,230676,150111,4513,12838,10686,6015,8858,4691,1
4876,6718,2066,3472,8194,13719,14149,10324,83153,60788,1811,19193,39275,41896,14944,23704,1
482373,83272,8120,8397,11513,75033,36833,16902,110743,9222,4193,565,2135,5260,5157,6557,1
1279650,88312,17118,120052,40667,53304,15711,12322,23654,18908,10163,12862,1924,12925,3140,7251,1
116145,81505,7472,19691,7205,22774,16402,14856,151602,36502,16032,13086,10946,12684,2554,2264,0
52518,116345,11703,6143,10274,22091,26849,11412,199785,7429,1335,475,1871,2326,1373,1242,1
571822,45591,5452,2840,4163,7105,6301,7810,5698,14136,3755,9270,2847,14135,31640,11502,1
1894215,811448,168097,21776,25089,14888,17984,13130,153957,92150,7769,2683,6829,7045,3661,3477,1
66929,11780,484,1369,1267,781,770,489,44568,7893,3824,1324,2179,855,1034,469,1
7616,6338,13860,29846,22498,16388,29035,22514,256100,213355,20280,20781,25616,31055,30973,17251,1
592491,76844,26009,42968,7571,7378,5853,5706,231520,196191,12512,21643,10605,13670,13197,11144,1
72830,7587,1938,2124,3059,2484,1326,1522,99825,93698,8616,2186,2750,6256,6385,5233,0
2546183,157773,27967,22056,28890,60618,37159,20489,428915,253857,31644,37379,51967,42244,39778,27309,1
164282,50314,1026,6690,3635,6268,7492,3772,74206,12242,4106,3979,5786,11522,4771,1837,0
207203,26086,6911,5482,9393,6930,4223,2919,675370,27289,12493,7822,4290,2027,1285,520,0
435210,108109,1693,51364,13359,17441,8895,18355,97343,50811,6793,11464,7767,11055,11841,3225,1
1982913,991449,131032,121068,110308,50807,13487,15626,622039,27662,7141,4470,3326,2542,4529,2860,1
17256,164264,14706,25991,11634,10353,12792,7195,31265,10523,7137,13386,8217,12236,6202,6934,1
303986,96125,17052,61493,20303,50196,45802,45102,98263,31237,16238,2665,3271,9068,8177,6179,0
1521379,212592,127090,15129,39032,31581,11720,8382,1507931,156320,14817,10147,26700,61217,24171,9334,1
85621,34013,14871,11761,5241,6078,5196,3605,310178,22579,10553,2901,21720,11373,2857,4714,1
1214545,347429,74859,34790,41832,7268,27250,21828,1282122,94065,15637,22707,45591,12899,13895,10071,0
18831,12367,3239,8042,7514,36292,62872,15099,273226,51992,7727,3659,4169,25220,21670,8960,0
314349,76406,13253,6723,8156,24566,18147,16027,667284,107878,34622,12387,9906,9730,10581,6726,0
2068615,964680,51752,62976,38007,51117,41047,40663,581502,802032,50057,176628,59859,134007,65287,42905,0
1787586,599301,17579,11127,55332,50310,19478,46728,315744,278373,19836,10971,8939,17352,3458,5333,1
1176062,405301,30746,32685,35403,38830,25948,27140,446487,25662,16572,2303,4711,15797,12886,3758,0
651734,97636,41967,8961,7954,16106,5352,12256,467489,163096,25373,27928,44966,29481,35490,45747,0
1216463,607436,29876,26826,17541,26511,84112,62134,1450041,109904,84388,12202,25610,31987,11180,11649,1
814270,163618,35208,11873,36463,41485,57718,48871,2242841,232494,31303,43927,41857,41680,70171,17641,0
1037576,457544,104849,25831,17018,48583,53558,29601,292630,106495,20808,23325,17835,59797,53769,31682,1
484666,182617,59340,35231,20784,34808,43357,46529,59211,19014,29210,13661,29712,44033,47899,20364,1
347770,207940,38139,10193,22015,117711,91007,50164,617724,159411,2616,10369,7745,16919,10405,7445,1
809412,243129,69290,58001,31713,67347,77142,30422,369077,24813,26797,16170,7833,13743,6609,5398,1
1300102,221610,11790,6155,9814,19165,15979,6011,307277,166431,25740,14257,22146,75948,101346,34400,0
167346,14708,3208,13657,5197,7031,9211,7225,315608,74275,5748,9718,7644,19179,17387,7767,0
751038,31174,15730,33521,25185,12559,4525,9043,173412,164916,32659,18721,39139,27191,60111,45331,0
1713110,70722,24437,14537,22597,31238,53572,29096,69287,4162,2353,932,1307,5322,1772,2020,1
116040,92173,12832,2806,6402,19055,7755,5273,156579,13234,3508,2376,1022,3871,2694,2106,0
194336,121812,33310,15996,21813,57793,54775,30678,825555,95397,28329,12491,15515,68294,43979,38858,0
327600,21499,17683,1026,2799,4550,1371,1211,1674310,227852,12729,1699,6899,36415,14272,8857,1
397201,152275,14693,5047,18994,30594,7516,11094,1243920,49758,25564,15517,14108,42706,79280,35620,1
1048629,179256,36689,51161,40744,53319,71902,23054,275833,91956,8830,9718,3567,14252,6994,5793,0
898181,223064,100382,47454,52411,83575,57657,16737,1598842,289690,18919,31915,11997,44918,33187,34031,1
2125721,210270,30397,32148,20937,27415,157191,51020,119525,66210,5020,3061,5576,8475,9165,5039,1
185588,55688,18465,12071,9804,13895,9368,7807,1653987,348167,62983,32540,54540,100645,83874,26334,1
152828,78391,12399,38269,25637,28051,31353,19372,809325,206586,37438,20677,50670,83887,51888,20788,0
345907,253717,53304,42413,73038,30642,54556,10103,218952,95738,9725,19781,8549,29694,20756,6245,0
141139,40833,28684,3803,18819,19123,7631,4881,41606,91037,7340,8008,20066,8530,35826,10877,0
