delta_4,theta_4,lowalpha_4,highalpha_4,lowbeta_4,highbeta_4,lowgamma_4,midgamma_4,delta_5,theta_5,lowalpha_5,highalpha_5,lowbeta_5,highbeta_5,lowgamma_5,midgamma_5,delta_6,theta_6,lowalpha_6,highalpha_6,lowbeta_6,highbeta_6,lowgamma_6,midgamma_6,state
820136,26026,14473,12350,6670,4617,4645,6711,21230,17929,7692,9905,3250,1416,11239,5684,1048813,36045,9424,1194,7274,6543,3797,4431,1
55440,14249,8754,18443,2415,3661,2628,2447,785612,123258,11567,25268,5966,8827,2224,1498,907315,118778,35149,40363,14173,14808,21327,16869,0
70884,16595,109274,96889,4348,14389,10169,23592,567183,72062,49320,15823,13491,8652,2776,4862,738741,41262,22002,2652,5169,2694,4695,2250,0
513446,176446,20400,112136,22571,11954,11774,7100,102475,11871,1365,21953,4391,5066,2957,2134,855507,170589,70475,50580,32583,26493,18081,11067,0
38747,20556,115604,97564,10872,15406,6954,21315,517742,18809,11273,12005,5303,3179,2890,2501,70396,12318,11965,4249,6538,2856,1824,3374,0
2131102,124775,53328,49616,12449,16885,22684,14032,159307,12831,389,3465,793,629,1459,2021,1776037,327606,12776,94377,14115,24399,31595,36485,1
630163,23437,9961,21737,10651,3089,5346,8609,54939,1865,2060,1539,1599,760,1533,1551,1182546,41577,4596,9034,10342,14048,5961,2341,0
521550,17879,4787,11220,3002,5661,6668,3698,59285,33243,14791,14085,2655,4466,3841,6258,584440,69754,12436,6312,3901,7786,9175,1657,0
1183048,232263,37849,45880,31593,25540,9953,24574,160573,42383,5818,2754,9623,3599,10024,4058,648663,51303,17509,10658,5404,8250,6338,8218,1
168185,6579,8960,4787,4471,4635,1622,3839,114384,89631,25941,9030,4808,5910,4822,6407,1653542,267256,66204,40883,27602,33002,7019,8076,0
13028,37776,34853,31690,18316,12251,16047,12474,24127,24779,22494,16946,2371,4078,3135,1556,24145,23233,802,64007,4637,3850,4718,10663,1
334222,40338,7825,14060,5141,4767,5958,6431,1127624,85892,18147,82116,28238,10258,39875,16236,1217633,158846,47714,53994,43650,16398,15692,26943,1
379689,10687,9769,16513,7316,8863,4998,2992,535430,12387,1216,1665,3142,1680,1545,740,1348439,52904,18931,8635,14190,10479,7428,3584,1
1263972,106363,29022,84413,66964,18614,10822,12571,382988,35569,4763,11555,5104,3468,2163,3625,2081473,334550,45132,67404,73420,59854,14322,24782,1
1239854,46301,7901,7646,5469,5708,2174,2387,27926,12999,2218,3253,2029,879,288,429,97454,43444,9736,31443,12392,3049,3300,1947,1
173911,25052,4429,16250,8567,4171,3125,772,47893,43426,1266,3221,7746,2805,1163,707,426528,67269,1384,14259,15283,6924,2290,1145,1
166272,20549,4014,27314,6162,2402,1208,3164,1002605,35355,29255,36425,8835,10344,4325,3717,24840,10928,3806,9356,672,1204,263,737,1
175598,320517,11270,22213,20813,12290,9107,4816,1484631,129208,41133,18726,36710,27685,12216,5632,8709,10962,6511,19640,6450,1930,2628,893,0
116538,13959,1824,4456,1562,4621,2094,3545,73535,6818,4147,2782,1436,1077,916,424,141557,46896,50226,35839,49358,17513,7110,7167,1
236330,49610,17212,78540,26394,16891,12493,3438,695988,220380,29142,29345,39893,19053,19244,24049,1237692,144350,108546,144780,35845,30590,23550,45926,1
85709,43839,58344,104544,18344,11851,4497,2431,199602,28946,7536,11932,3271,2462,533,225,324259,44836,15304,12706,4756,4549,7224,3312,0
