delta_2,theta_2,lowalpha_2,highalpha_2,lowbeta_2,highbeta_2,lowgamma_2,midgamma_2,delta_3,theta_3,lowalpha_3,highalpha_3,lowbeta_3,highbeta_3,lowgamma_3,midgamma_3,delta_4,theta_4,lowalpha_4,highalpha_4,lowbeta_4,highbeta_4,lowgamma_4,midgamma_4,state
85159,105691,37244,16024,13901,7315,7388,6221,565829,211382,61596,112322,4098,16572,8443,5748,127923,8467,10385,9966,1991,898,2198,826,0
394192,225212,31287,26337,13428,6733,17449,8714,800069,68300,6594,5412,6284,5761,1293,2098,853718,604184,23578,114283,22454,33056,21024,15291,0
544532,19091,3909,15884,11629,7523,5735,2239,242671,17854,1095,48611,3092,5419,1899,3001,16166,29070,22307,44450,6452,4758,3049,2181,0
730131,15117,6998,4409,3116,6231,1652,1291,254708,93094,7439,42647,13229,4246,2879,1083,128684,47931,12942,12030,2958,2220,986,1099,0
1032896,166932,43410,46120,47859,9362,8981,8143,598220,3739,8225,3425,3700,2633,958,548,239116,13877,14677,27048,23030,4489,6392,8710,0
972233,23210,9300,7270,2344,2733,597,927,874047,538039,99159,38727,24138,12445,7126,15477,73672,6735,1892,3271,3531,698,364,1207,1
702761,91863,4185,13205,8497,3023,2376,4734,71461,9996,4917,23395,3306,1671,3297,2865,137771,30284,3576,12262,3386,6060,1899,1381,1
1286144,34755,17524,7641,8705,3510,1072,1985,2623892,15419,9770,119505,31363,12006,9474,8728,186727,32194,36087,67740,13914,10760,14666,5482,0
144461,15189,4815,2888,3706,1372,667,1309,101806,19158,4382,27883,1821,2118,1560,1483,72517,20586,95870,67432,14949,7410,4663,11740,1
404205,38757,8618,5847,3516,1674,844,520,251229,90941,21409,20015,15734,10209,3562,3649,77076,44604,8715,15271,5052,4260,1861,1876,1
779177,62112,7805,7541,13397,10689,8568,6261,37808,21404,51134,83687,11350,32192,14426,7355,820136,26026,14473,12350,6670,4617,4645,6711,1
1056703,19780,16313,7602,16926,4302,4203,4361,250801,88490,24364,9909,34486,24723,18392,21179,55440,14249,8754,18443,2415,3661,2628,2447,0
1170737,52971,33192,2474,5952,4778,6697,3812,36498,6706,4948,1088,411,1074,627,452,70884,16595,109274,96889,4348,14389,10169,23592,0
528270,42544,29265,114937,13207,19909,7377,22359,70662,9394,13008,19187,6262,2298,2674,1846,513446,176446,20400,112136,22571,11954,11774,7100,0
2211433,46916,15125,75459,54571,21870,27390,22868,41226,41619,89856,35583,9956,16077,16319,7420,38747,20556,115604,97564,10872,15406,6954,21315,0
190491,78243,14184,13738,4531,4595,4104,4007,261632,30136,22184,20492,4219,3879,2816,3644,2131102,124775,53328,49616,12449,16885,22684,14032,1
357060,18176,10706,18164,21665,11842,7941,12233,288941,123736,22087,16601,30146,12860,20415,13559,630163,23437,9961,21737,10651,3089,5346,8609,0
1274553,119860,84946,58498,11709,45875,8312,22390,131534,20306,1009,23871,1903,10163,6177,4940,521550,17879,4787,11220,3002,5661,6668,3698,0
342356,26478,12368,7224,5304,6196,1659,1376,744483,65352,81429,130747,21284,23090,4728,10849,1183048,232263,37849,45880,31593,25540,9953,24574,1
736965,110046,30692,14989,5258,7071,5540,4825,2451954,81117,48562,162129,30629,20691,10622,7691,168185,6579,8960,4787,4471,4635,1622,3839,0
270928,12661,11042,16830,12000,4733,3905,3077,187271,111617,30996,63084,53068,15560,20683,8844,13028,37776,34853,31690,18316,12251,16047,12474,1
327768,33845,1717,19336,3785,6202,7199,4483,81413,8630,11517,5549,5649,4396,5793,3207,334222,40338,7825,14060,5141,4767,5958,6431,1
384626,23995,3192,2067,5972,7062,3628,1026,984844,45380,30014,13455,5175,15289,3741,3891,379689,10687,9769,16513,7316,8863,4998,2992,1
422812,16877,473,949,2937,1384,449,867,292467,46500,10956,4467,2351,1645,1054,1098,1263972,106363,29022,84413,66964,18614,10822,12571,1
399956,69830,74956,27973,31246,7251,3427,3912,763571,66099,13075,51253,43060,19609,15113,13795,1239854,46301,7901,7646,5469,5708,2174,2387,1
117286,17738,13261,9328,8329,2785,3120,1379,285111,6207,13986,13166,4677,6181,4534,938,173911,25052,4429,16250,8567,4171,3125,772,1
547800,103432,18800,11155,4543,9523,1832,1419,433435,186145,15273,29269,29946,26320,8535,9377,166272,20549,4014,27314,6162,2402,1208,3164,1
195409,42544,24168,1204,10590,8035,3916,2063,1669646,851200,170632,49372,67937,11327,7505,21688,175598,320517,11270,22213,20813,12290,9107,4816,0
536220,91219,33741,8495,14652,26927,10244,4741,1166785,75109,60095,99440,21458,18908,18166,11856,116538,13959,1824,4456,1562,4621,2094,3545,1
271788,145651,14056,33113,14050,9023,3310,4714,1124548,104228,5765,33544,5694,4561,1780,2494,236330,49610,17212,78540,26394,16891,12493,3438,1
1020431,16643,19989,19293,13779,12144,5111,1721,70164,33205,19984,56844,27552,6938,4901,3899,85709,43839,58344,104544,18344,11851,4497,2431,0
