delta_5,theta_5,lowalpha_5,highalpha_5,lowbeta_5,highbeta_5,lowgamma_5,midgamma_5,delta_6,theta_6,lowalpha_6,highalpha_6,lowbeta_6,highbeta_6,lowgamma_6,midgamma_6,delta_7,theta_7,lowalpha_7,highalpha_7,lowbeta_7,highbeta_7,lowgamma_7,midgamma_7,state
1020689,88723,23042,8497,10165,19532,17455,13404,1067448,202664,24477,29528,22291,61646,42631,35079,290249,39014,9787,7419,5112,22477,39908,20345,0
611581,85561,24503,4755,13747,22010,12051,10914,100733,20429,1480,722,990,4646,1718,1368,2001797,276161,105048,44649,3286,72761,56396,26980,1
1003707,121112,34224,8068,9994,16705,14619,8585,270813,123909,17715,18773,2733,9583,8284,6640,276121,248621,22713,42193,24803,27015,56541,29164,0
768769,29853,52770,9113,8670,10082,9469,4098,191534,116245,13757,25149,20072,15742,16551,17943,6586,19031,10149,18795,20350,24619,17221,8334,1
245790,21560,1491,3366,2841,3667,658,833,1572596,29266,2688,16067,20800,8507,5889,3216,181453,42087,22564,5446,8947,5732,8043,3607,1
655931,126730,36865,26664,13517,16655,8073,9820,2608738,93208,55474,99540,19833,56321,22587,34717,1479606,280026,80790,15976,28036,135347,30367,29656,0
317883,132386,31756,12047,7536,29738,25938,8918,1516032,423600,11612,4090,6860,30781,54038,86518,1813011,161271,115058,41785,103728,45580,27506,14174,0
196932,26711,8152,3369,4065,26112,9665,8017,27613,18385,3535,2246,2259,2223,3924,1136,510200,503235,110315,27470,66254,97519,88941,33035,1
276410,261905,14345,16889,15961,43904,48249,25158,744495,256615,39121,42641,12346,76395,68476,15978,15129,26820,28069,11268,34805,72866,22056,34339,0
242575,84763,7435,26563,17134,13316,8060,9025,792383,167535,20595,23621,20649,65352,50835,68913,338015,76452,14538,14385,35464,82838,46513,23581,0
168792,54366,24155,16606,8378,8188,6750,7316,998415,86938,17433,27994,7596,45817,27836,37458,9022,3680,12527,9404,80371,31579,37663,20332,0
124801,44495,6347,18275,1348,12230,8192,7411,516088,47646,8312,28605,8567,20940,14419,7335,494680,61438,41485,43306,21740,33646,35812,16569,0
1316471,62011,7930,932,10273,8406,8603,5670,697095,20786,18222,6936,8215,7801,5730,19382,1197735,655765,17281,59858,53689,31114,42588,39172,1
842330,12615,3242,6669,2221,10760,6222,4165,20645,18415,5821,14639,10480,75918,22885,23330,12449,11776,23814,17029,26484,31891,13233,10923,0
507807,59876,77654,17082,34171,28792,35106,18950,100805,16483,650,534,1935,2236,2114,2379,124791,4660,1446,895,1179,6367,3793,1787,1
51968,5894,3608,1077,911,6393,1770,2034,712253,78858,24981,11308,42136,22970,22197,18739,1449111,421328,58869,40245,26385,53912,65780,22440,0
192920,86162,17788,46745,27754,30370,24357,19328,177646,16458,11001,5857,5268,13311,7379,5267,298927,205865,71566,19378,24922,31096,56499,58544,0
1813156,280454,104681,26962,7621,61653,49143,14954,755091,28616,9773,4839,5387,7713,6227,6413,11671,4289,26383,6132,41493,19545,5471,12171,1
215240,26556,3504,1462,1147,5072,3541,4089,289851,59306,4379,10990,3357,58115,23225,6151,144613,31764,17420,5092,3873,4864,5020,1072,1
808188,50526,18120,6294,6682,7724,11337,11954,8813,14729,1995,14715,14367,26291,11259,4129,509094,28905,13534,16321,45527,20398,28147,31979,1
525355,150758,21394,12210,27300,24634,10073,12998,137481,64436,27524,26630,9163,23097,21430,18647,104102,122286,32649,52615,28713,23487,7089,13622,0
142325,35096,3957,9037,4422,4531,3358,2789,129033,12414,13752,2289,4200,3797,2170,4115,27596,30337,11056,20529,2424,4340,6839,7204,0
158976,22219,5568,5301,815,3408,2061,5579,7799,12227,8374,19270,25749,18724,5561,15137,1571629,148327,69719,13442,58251,24322,13251,28410,1
790460,67838,20646,13797,26482,33287,19187,26179,628709,228700,44963,28877,46392,42093,18017,26952,195210,29959,12996,20154,16258,15594,36854,24026,1
75046,49534,32480,9390,4603,7037,8769,6105,1035682,224015,72054,3144,11293,24428,31405,17410,29913,17545,14273,7898,11155,16325,15676,14386,0
121074,12330,4946,2202,2429,1146,817,1087,154826,36392,6821,5996,16665,40700,43295,18126,56083,15931,10728,8846,21414,16141,19911,4293,0
1766916,233202,61933,18754,33495,46534,10581,28224,894299,106230,22966,27232,16511,34946,42503,13453,141843,65123,20483,2340,4743,32976,20135,20427,0
72496,11462,1960,5330,3430,4598,4471,4091,16222,21069,13611,4736,30148,31112,24672,28061,150986,16930,1614,2609,5760,3671,2829,1455,0
81396,55517,29262,4710,19699,17145,19722,28091,303602,98455,19050,8516,3741,60009,20448,18857,10695,3577,10284,10612,11670,22060,31024,16838,0
542326,44000,18846,10641,20632,58627,32870,16092,275745,60195,7249,9169,8282,28895,31539,10467,3314,8888,5161,12395,10041,22228,20703,21409,1
242016,17729,4982,2857,2276,1176,525,1117,133233,15941,2458,9923,12502,1939,4202,3446,103880,17056,2081,3047,10023,4729,7023,7434,1
6559,8792,4627,6490,6495,29045,6648,4521,9525,18364,11460,9325,14287,14100,13401,2478,7644,13373,5489,6666,6060,10384,5689,11493,1
48672,12539,6421,2782,3996,5041,6486,3915,64985,51803,2122,1547,9960,4187,6741,4100,84800,48930,23238,20188,15015,21753,20793,19726,1
87040,48825,38222,5741,12970,23136,9489,10745,491037,60518,12201,22780,18132,16909,13265,8656,3428,7731,330,47599,31526,29423,21302,6977,1
155013,19062,1699,4413,4064,13562,3241,2643,10286,3489,5282,11430,10840,29160,12165,16623,11467,10917,3760,7738,5496,10587,7149,13625,0
25351,13177,18863,8499,15476,14645,7897,5417,129976,76594,18599,3639,9643,31798,37576,14788,545337,160214,12261,5381,5096,6465,10980,5087,1
406261,42080,9515,25879,5667,34129,17575,7369,663727,86074,28564,4570,6100,21360,14750,7710,6866,18471,7475,8229,5885,13106,12810,9016,1
1895072,400129,45081,34997,61970,34637,6370,32440,14488,10329,12383,4607,10027,15275,7184,9574,112227,7676,5733,6572,2527,4215,3002,1730,1
9402,4829,6983,10341,12481,10268,13336,6210,2592,6192,2235,3202,28379,8400,7800,6487,2684,11069,4800,15569,11621,4691,4647,6017,1
48108,9185,1472,993,4632,2619,1029,944,201243,130081,5991,8592,12801,28200,37165,16655,1011249,93437,27106,11948,7973,14720,12939,8889,1
674188,209430,33769,9219,29354,35311,32951,19396,28751,19166,2211,8070,20324,50288,54244,14432,97084,51342,14133,22398,7820,32271,38305,12192,1
14316,17802,15045,11914,13617,16254,14245,6720,228932,76635,15045,4730,8375,6606,2179,1767,527097,69824,11756,15807,3411,4780,13958,2258,0
197025,58625,4918,3930,5951,5514,6888,4197,103891,10824,8383,2067,2055,4512,12335,4449,104259,39914,13292,14013,10150,27568,29472,10413,1
25870,43521,8619,6349,4581,3101,5005,4397,214949,47303,23309,42746,19682,22091,10428,12332,8609,38448,23568,8199,12882,24050,11886,19234,0
68129,17877,1541,5074,5348,5059,3372,2976,132931,2956,1774,14010,5393,10032,5585,4190,622241,63162,17522,29177,19934,19230,12409,6572,0
650191,28694,13941,26744,9879,5245,11053,6548,673751,62312,13910,17113,12845,25925,20878,12773,24196,63018,28321,1608,7787,13490,6418,4562,1
42086,3491,685,2296,354,2225,1639,1444,35968,67349,5184,25834,19949,12954,19804,8561,106679,8780,1979,2108,6518,3102,4438,1912,1
177853,34097,2822,1752,7338,4209,1850,1637,1045065,14032,9841,3944,10488,5870,14845,6785,44292,38060,25016,38085,18245,26345,17825,12782,1
44282,27601,12779,5730,5701,21024,26217,13788,375040,61761,9916,5178,4656,7416,5832,5386,61895,7741,2443,8538,3819,5864,12491,2057,0
1433175,261335,48701,81519,14422,31532,11812,12020,702499,86379,2626,11687,26606,19258,31420,6957,112350,254741,9547,44994,4229,86950,21042,8343,1
376529,10002,39587,31142,24059,32774,25750,28788,12021,21379,23838,5914,24302,18464,16061,7813,5825,12062,9526,4162,4303,28407,13270,6645,1
351732,5187,5033,7240,6687,5811,2312,7255,412201,250358,45216,12115,19548,68178,20483,15525,129423,55216,4511,11576,24179,66708,30076,14311,0
3492,7648,2668,7690,19603,59078,28422,25188,18429,8921,16908,21678,16831,40153,30809,17936,3835,8504,11154,27560,24583,12733,13751,6591,0
681767,180316,7096,19218,10173,13902,13062,7100,126852,28461,20858,28786,29758,37853,29658,24470,58567,44454,6183,5638,18312,19239,23167,18854,0
693606,79543,5148,3787,4061,12045,7759,8438,263910,47903,14123,23048,4721,11296,9758,10810,410433,100067,10385,61101,25996,29497,26133,10522,0
113490,58981,65200,4542,10641,15944,12464,6876,323161,175261,6924,21163,15962,30048,46877,29872,850550,33448,13270,28309,19105,42917,24702,11822,1
418217,82657,30707,15841,6030,13964,6810,4067,12285,7696,4065,8423,13414,25564,41046,30021,702912,26788,47097,8074,51475,29029,13738,14577,0
51463,19722,10805,8589,19081,41893,44641,14384,945638,204273,22308,20827,54300,34410,25148,23802,5260,10116,15266,6674,61849,12687,20637,20213,0
663143,346459,4748,63069,32664,44558,54673,25454,1327513,154072,23815,38012,11907,43768,27988,15602,55561,107166,3643,898,9287,13037,13851,4435,1
427646,45686,31062,4890,10648,12080,6729,3946,1564697,62640,61544,22077,17781,71499,40936,61285,1269119,22725,4747,6429,3920,32213,11106,5184,0
290793,6451,2030,2398,8178,11097,7443,4289,684216,152057,17069,24230,5440,20989,26348,40271,151077,23967,2101,10320,3316,11740,13820,11326,1
209185,14577,2920,2817,2605,3320,2171,1542,628003,150733,55639,12154,15200,46719,38885,30616,83434,23263,11486,16779,10967,23440,11384,6557,1
486544,96667,43274,57576,20544,66313,43023,48863,166502,12522,1149,896,1680,7941,1710,1034,85577,6595,2131,4718,3860,4307,1545,1647,1
1511140,188323,78370,23033,10112,42858,27208,11810,747386,27191,20440,18938,30642,37170,28770,11106,130278,14989,1370,3543,1622,3895,1825,843,1
78697,53588,2789,1522,7139,14508,9204,8859,603407,132221,38909,31062,85459,99022,34389,22476,9026,8799,12456,6244,9614,62748,35259,31430,0
886819,190144,93375,185645,71310,58357,51577,32327,40220,202276,18755,21686,39686,44165,21406,35575,432019,42632,6174,173,3507,12134,5606,6564,0
467854,37521,32927,17796,27713,58823,30889,22668,263876,50112,3587,3816,5193,6175,5889,10409,659709,104055,13983,5578,51015,44091,50082,42199,0
72432,90017,9016,4917,7439,7362,14479,2697,154708,5759,1616,3808,3198,6027,2399,3238,16420,35380,14601,19022,23501,13219,8823,5415,1
9777,8047,6195,17244,36191,32299,60891,46314,59524,40389,18676,7859,32440,31671,23108,17540,323072,45099,35597,6245,3956,8633,6401,12243,0
1240897,141893,5883,14279,35679,34521,35065,25653,749517,52240,1792,13070,9825,67560,44408,13679,1470172,291739,55954,129161,40090,65394,39229,22825,0
54923,42254,1909,3185,1858,3902,6329,1881,295980,10987,533,1421,2271,10451,2811,4614,456694,24018,8522,4080,14881,10146,7612,2503,1
569964,177421,27034,23183,13382,50526,39363,10296,69312,25070,2177,4197,3195,10724,3707,4404,116533,16952,3878,3075,7702,8795,8453,3446,1
149395,33077,13424,3241,10685,7429,13969,16964,1123749,110211,89588,31146,51212,47299,91259,25391,235529,51268,9233,7357,9136,15217,15073,6686,0
1635314,331508,14528,70041,38482,83241,85819,22051,111270,17543,4522,4603,3986,14167,14594,4226,138073,48784,6047,2899,4477,4716,4041,6564,1
64978,20350,6793,2276,2473,6462,4093,1753,1491205,226219,29883,29825,16761,65055,37267,38326,615527,97780,16338,5536,29334,154336,116851,26347,1
699409,201009,55436,11853,11641,121485,28185,27760,236292,83665,58105,31275,11558,7006,5728,6519,181107,25807,12314,13856,17968,41984,81044,28021,1
1853995,284757,90081,73178,31244,75393,30449,18683,57220,4424,7955,15872,13867,44831,45979,18976,4714,7065,23972,7015,12267,54826,20041,20257,0
2428398,466195,89981,67856,86921,51716,112130,37585,290968,332697,45397,56472,28850,52278,21867,17326,135131,91001,29347,32564,41004,21127,12495,12911,0
1893022,171367,111887,67461,44116,127153,53107,62281,235474,41435,4082,5314,2161,7481,3595,2286,1099527,111819,86030,28647,8343,12028,15081,9033,0
