delta_2,theta_2,lowalpha_2,highalpha_2,lowbeta_2,highbeta_2,lowgamma_2,midgamma_2,delta_3,theta_3,lowalpha_3,highalpha_3,lowbeta_3,highbeta_3,lowgamma_3,midgamma_3,delta_4,theta_4,lowalpha_4,highalpha_4,lowbeta_4,highbeta_4,lowgamma_4,midgamma_4,delta_5,theta_5,lowalpha_5,highalpha_5,lowbeta_5,highbeta_5,lowgamma_5,midgamma_5,state
-495142,16747,-8337,-8089,-967,-1902,-3661,-1919,-424001,-31360,-337,-1335,-1279,-2618,-4949,-2282,1445469,63279,30807,27789,6951,10388,14919,8106,-526326,-48665,-22132,-18362,-4705,-5868,-6306,-3905,hard
24285,-23627,-497,3654,5650,4705,-867,3245,-43834,81933,10884,2091,14131,5723,11607,4571,297388,-18366,-1242,7227,-5364,-4048,-3462,-379,-277836,-39938,-9143,-12971,-14416,-6377,-7275,-7437,easy
777823,72038,58563,31580,6892,29334,2063,13069,-365196,-27516,-25374,-3047,-2914,-6378,-72,-4381,24820,-29943,-21596,-15698,-1815,-10880,419,-5623,-437445,-14579,-11592,-12833,-2162,-12075,-2408,-3063,easy
-265259,-65141,-21998,-39427,-11647,-8410,-4932,-8838,136868,-26267,47063,84096,4333,8484,-1863,635,575433,140644,3483,-771,14642,10934,3362,14360,-447042,-49236,-28548,-43897,-7328,-11007,3433,-6156,hard
-130907,38203,2154,-32744,-6033,-2505,-111,-865,1584082,9274,20024,114396,19338,11115,4971,2001,-699687,-65264,-19578,-42946,-6820,-4941,-4029,-1851,-753488,17788,-2597,-38703,-6483,-3666,-829,717,easy
147090,-34047,-13804,-15307,-9438,-4422,-7037,-3410,63433,64909,6150,30947,31630,6405,9741,2357,-110810,-8932,10007,-447,-3122,3096,5105,5987,-99711,-21929,-2352,-15191,-19067,-5077,-7807,-4931,hard
-139988,-8331,-8084,-10929,-6918,-203,-7507,-3106,-386343,-33546,1716,-24716,-5054,-2009,-8913,-4382,-133534,-1838,-1976,-16205,-5562,-1638,-8748,-1158,659868,43716,8346,51851,17535,3853,25169,8647,hard
-186521,883,-7855,-6358,571,-1161,150,-1136,413697,22268,18967,5030,-226,7066,263,1729,-191458,-12425,-1278,8088,1915,640,1520,830,-35717,-10725,-9831,-6760,-2259,-6543,-1933,-1422,hard
-167747,-34450,-10830,-24397,-16402,-4893,-3173,-3673,-298092,-4827,-347,-20879,-16988,-4632,-2568,-3442,673413,55036,17719,59067,47625,12337,7200,8031,-207571,-15758,-6540,-13791,-14235,-2809,-1459,-915,hard
-207870,21023,50419,5442,10795,-1110,-1823,-1218,155745,17292,-11462,28722,22609,11248,9863,8665,632028,-2506,-16636,-14885,-14982,-2653,-3076,-2743,-579900,-35808,-22319,-19278,-18422,-7482,-4962,-4701,hard
-38764,-5367,5026,-1163,1000,-1200,135,430,129061,-16898,5751,2675,-2652,2196,1549,-11,17861,1947,-3806,5759,1238,186,140,-177,-108157,20321,-6969,-7270,417,-1180,-1822,-242,hard
10272,17062,1965,-14885,-7828,-2624,-2143,-3000,-104093,99775,-1562,3229,17575,14173,4560,4958,-371256,-65821,-12821,1274,-6209,-9745,-2767,-1255,465077,-51015,12420,10385,-3536,-1803,350,-702,hard
-685912,-293323,-37632,-21674,-23422,-6799,-4270,-6486,788325,515333,108832,26494,33925,-3507,-681,13139,-705723,-15350,-50530,-665,-13199,-2544,921,-3733,603310,-206659,-20667,-4152,2698,12851,4030,-2917,easy
62951,44443,8790,-20298,4875,14044,2389,-400,693516,28333,35144,70647,11681,6025,10311,6715,-356731,-32817,-23127,-24337,-8215,-8262,-5761,-1596,-399734,-39958,-20804,-26011,-8341,-11806,-6939,-4717,hard
-310375,15684,-2487,-10522,-7457,-3359,-5896,-3959,542385,-25739,-10778,-10091,-15813,-7821,-7426,-6179,-345833,-80357,669,34905,4887,4509,3287,-5235,113825,90413,12599,-14290,18386,6671,10038,15376,hard
676455,-14015,-6474,-28860,-1957,3796,1351,-348,-273812,2547,-6479,8691,11816,-1410,1141,1830,-258267,13181,31881,56391,2608,3503,737,362,-144374,-1712,-18927,-36221,-12465,-5886,-3227,-1844,easy
