delta_c1,theta_c1,lowalpha_c1,highalpha_c1,lowbeta_c1,highbeta_c1,lowgamma_c1,midgamma_c1,delta_c2,theta_c2,lowalpha_c2,highalpha_c2,lowbeta_c2,highbeta_c2,lowgamma_c2,midgamma_c2,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,state
-114716,-6684,-346,-1086,-1454,352,-427,-103,519176,71310,14122,7183,11371,9314,4100,6459,592957,88459,3197,-1843,-2125,-1160,742,-131,-292683,-9512,3760,-1426,1270,1144,2853,646,-290925,7452,-4580,5177,3536,1995,1190,3112,-119751,-3526,-3096,2694,2735,-870,17,-359,0
247675,-14408,-3303,160,-4,720,-186,-299,-71862,-49605,-7818,-5785,-3228,-1211,-437,-523,-307314,-46187,-4657,-7031,-5148,-2077,-873,-919,1423426,30244,23506,549,5060,3146,3512,2807,-295295,-51680,8384,-1590,-2979,-346,-69,-273,-355204,-64824,-6569,-6201,-5147,-1266,-325,-604,1
3636,-9075,-1019,-3150,-1923,-568,-370,-473,57664,-3004,10600,9148,-1423,2603,-187,351,1079242,30900,3486,-2255,2,66,313,-145,-71790,850,-2841,-4126,455,5345,1859,1256,-86584,-8423,-1738,67,1675,3613,334,940,693371,231859,2637,14267,27160,12686,5207,3572,1
320145,3389,-649,527,2455,394,-5,95,-333206,-11773,9769,2446,-2944,1698,1972,3614,-343220,-13008,25648,80336,-3186,2049,678,495,382131,221918,5564,17733,-1188,5421,1594,1756,-343495,-21891,-876,-42,-4450,-2250,-135,-140,-336682,3348,7345,13128,448,2658,1387,837,1
340452,70820,-2190,32724,1943,3671,1941,2099,-266426,-31518,9119,-18787,6767,-2656,6444,2545,-294981,-70980,171,22563,59491,3058,3559,473,-353749,-94055,12294,9689,2962,-6006,-2007,-3233,-355118,-83371,-7377,1155,1600,-6774,-2265,-2357,-326656,-82917,-5108,-22114,8470,-4924,-3727,-1280,1
-127616,27103,-28546,-18857,5365,-521,-13559,3098,1432463,516472,166634,325188,14915,48051,128428,115808,-336896,-103879,-46634,-37290,-9033,-11421,-21709,-11211,-357448,-136658,-45789,-6121,-8799,-7153,-19764,-11215,144209,-106041,-44938,-42136,-9814,-10725,-21450,-11139,-346805,-131915,-43390,-45183,-7818,-12199,-22188,-11651,0
-79904,-45243,-2340,-3108,-337,-466,41,43,843388,92231,18399,31,8745,4612,2705,520,430957,-23624,339,-4238,-136,-733,493,-140,-84389,-41286,-3445,-3893,-1299,879,337,-473,201140,14071,14948,6513,4441,822,725,231,154345,-12685,-815,-3704,724,-1169,-465,-39,1
181938,39281,29688,-437,2943,4994,686,1290,-305591,-70474,-27803,-2856,-3177,-5953,-295,-656,-265298,-53563,-36137,-6252,-4500,-5741,-611,-1049,-269195,-51025,-29952,-5254,-4566,-6060,-599,-1276,-317883,-70054,-35081,-6448,-4401,-6175,-268,-1325,-282091,-48050,-30685,-4065,-3646,-6096,-481,-966,0
167014,-13645,-712,4247,-938,-131,1027,30,-175041,-23377,2824,-2492,-2578,-1389,-1664,499,720970,140030,7813,13675,7480,-3197,-1973,-1503,1305343,201189,113926,13613,23125,13986,332,384,-177516,-20419,1499,-3581,-3251,-3093,-3440,-1734,487523,89077,22899,16538,28204,19264,1994,1352,1
270738,73399,4894,13094,12733,4749,3218,3009,-328579,-63935,713,-11381,-8475,-679,-1439,1032,-112569,193002,3986,1142,-5743,797,-615,1013,-318492,-71496,-5668,-13618,-12883,-3680,-3101,-2645,-323584,-77563,-6285,-13491,-11004,306,-1903,-1812,-236419,-46642,-4438,-10809,-10021,-1982,-2107,-2200,0
51930,-9737,-17548,-3404,-12422,-2969,-1814,-1172,-39333,19185,-20918,-5430,-11250,-2930,-2075,-1506,-5899,6774,-23252,-2920,-12888,377,-1881,-1681,-89371,-27609,-21456,-3340,-9564,-1722,-1220,-1494,425853,161864,5933,45373,17839,24208,4520,2829,196785,38335,-14321,868,-12016,-2835,-1766,-822,1
105232,41259,30649,23193,14157,3316,844,-864,1300771,107941,-25064,24491,-1805,-2080,-2168,3134,-21631,-39028,-32578,-25517,-16156,-9190,-3839,-4027,-102203,-57556,-29358,-25896,-15736,-7906,-3328,-3706,-107624,-45948,-32089,-26076,-14707,-2925,-2246,-2583,-83819,-42700,-31763,-24621,-13452,-7536,-2845,-3749,1
97458,-58130,-1515,-3375,-1780,-708,-434,-91,-202689,-55944,9791,-3447,-640,-520,320,206,-202689,-55944,9791,-3447,-640,-520,320,206,23346,-61559,4562,-1201,-623,179,-453,2,-181249,-8008,-1229,288,2275,4470,275,612,-211576,-66242,-709,-1654,-1968,-494,-506,-258,0
660387,89459,19866,8624,12303,1089,1393,2088,-285488,-35856,-11221,-4438,-12755,-1617,-2264,-1982,-568292,-64699,-18347,-5488,-10962,-427,-2772,-1648,-825392,-111229,-22211,-9563,-14943,-2191,-2978,-2040,-829474,-111107,-20297,-8645,-9853,2381,-764,-1472,-761915,-80092,-14387,-2142,-5547,-1277,-2534,-2048,0
55765,-26864,-14588,-9496,-478,-5766,-1795,-2168,44152,-20867,-16094,-12325,517,-6266,-1393,-2141,-159404,-26540,-17778,-13411,-11,-6838,-1450,-2022,-191039,-31533,-17778,-12047,1741,-3186,686,383,167539,13703,-5369,1278,3756,396,1799,-243,-142138,-22327,-17774,-13330,-1322,-7152,-1718,-2480,1
72293,66449,9067,6826,4939,878,1579,803,-118463,-64128,-3487,-1504,-163,7884,3019,1998,-102771,-77212,-7220,-7294,-6538,-1516,-1823,-879,32678,-39922,-9015,-6680,-6011,-421,-1301,-292,-128198,-61657,2784,5416,23795,7327,2400,1819,-101619,16391,6382,-475,690,2217,499,-288,0
662918,6312,1598,21447,14317,4900,1595,3282,-349108,-61531,-15029,-15910,-3671,483,-744,-1346,-761810,-42587,-20249,2452,-10502,-1056,-468,-1326,-1182597,-79683,-26110,-17049,-17313,-4563,-2207,-3037,-1202879,-83710,-28145,-20830,-17351,-6878,-3046,-3355,-556913,-68658,-24381,-17145,-14327,-3561,-1893,-2856,0
-788876,-266808,-4774,-15708,-234,-2606,68,384,-922343,-292682,-22257,-27255,-22023,-9656,-4069,-2430,-1428662,-300478,-14502,-18459,-14073,-3974,2137,-547,-1444249,-314014,-18358,-27123,-20492,-5506,-2841,-1610,-965197,-260774,-1083,-23121,-19811,-7297,-3066,-3491,-1324837,-310488,-24481,-28268,-23068,-10783,-4349,-3892,0
111716,9875,421,1434,-481,136,154,135,-160160,-5015,-2605,-1905,3406,433,414,121,236348,12520,115,1660,881,2004,131,347,-178111,-50030,-2839,-2390,947,111,121,323,-148735,-38469,-2333,-2417,-738,-305,-363,-145,-174878,-54964,-2574,-3373,-479,33,-234,-28,0
11940,9627,1501,-909,-323,-417,-138,-9,130901,6639,-4789,1214,79,60,-33,518,50127,-8047,170,1070,461,388,-434,-155,1315630,145075,33238,48131,3974,9660,2717,2389,-39129,-6842,-2507,2790,2087,8891,863,981,-41844,37,2245,2119,1872,6001,1016,689,1
-428462,-76610,-9896,-4578,-3993,-1598,116,-290,259277,-77629,-17132,-6560,478,-3512,336,-82,-396706,-74070,-20822,-8446,-10828,-9371,-2837,-1852,428239,-41937,-378,3330,3733,-5646,-1456,-126,-435133,-52592,-15791,-8449,-7624,4381,-2063,1658,-126304,47868,2272,4835,-3946,-5542,-1180,390,0
114703,1767,33193,6862,3642,2744,1354,1297,-108889,-79522,-35933,-12171,-7177,-4548,-1894,-2019,-8323,-48447,-38662,-12456,-8517,-4148,-2318,-2147,-119679,-77450,-38700,-8976,-6343,-1817,808,-694,-117032,-69741,-40438,-13422,-7389,-2884,-2052,-2406,104112,106483,-8985,-7528,-6105,-683,-403,-315,1
279492,-787,-4440,-72,-21,-352,185,101,-106494,-3563,15195,-438,-83,1284,740,191,-253757,138897,2732,10424,4526,5012,452,162,-204595,-16249,-263,4607,-297,939,76,190,-386240,-33343,-7086,-222,359,3014,2875,2416,-245632,42864,20996,13535,18481,8013,2339,3928,0
246326,69640,840,1551,156,-1707,-715,-2,-193320,-83407,613,-541,-1102,-1591,-288,-386,-217602,-104362,-688,-2704,-1186,-2755,-1018,-682,-185411,-82126,2940,1081,3695,-1579,-489,-301,-262416,-91240,1086,339,1336,542,1617,1058,269320,336172,15330,4433,756,3326,1168,2415,0
985209,44279,14036,5550,12387,1879,976,1962,-941662,-16128,5231,-5978,-13618,-2425,-1173,-2099,-718996,-35451,-13388,-4854,-13399,-3291,-1009,-1827,-980293,-48443,-14945,-4464,-13072,-3404,-1352,-1667,-946282,19531,-8275,7198,-11458,9820,-255,-912,-986224,-47413,-16087,-3305,-12917,-2759,1247,263,1
