delta_c2,theta_c2,lowalpha_c2,highalpha_c2,lowbeta_c2,highbeta_c2,lowgamma_c2,midgamma_c2,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,state
-178794,-294014,-57357,-12278,-8736,-8539,-6261,-4110,-102740,-254830,-19421,-10861,-8493,-6010,-4959,-3457,107152,-262390,-52177,-12374,-6247,-6568,-5525,-3473,-132789,-312931,-54448,-10633,-9667,-7355,-4285,-4293,1
238504,29509,-6611,-1414,-4499,-7160,-3378,-2326,-18797,90469,-6995,-8748,-3808,-6922,-2347,-1198,140476,29120,11677,-6372,-451,-7667,-2484,-933,46954,-9376,-2507,-6364,-4761,-7141,-2721,-1821,1
-145945,-10031,-2496,4702,3751,5408,-2944,-1354,-30688,-7811,-1231,-4413,-986,-4654,-4271,-4435,-130883,-8855,-4385,-5341,1419,-10,3922,-3768,-69528,11540,-1421,583,-824,-4180,-4608,-4597,1
-713386,-99859,-18390,-24903,-7521,-4045,-9576,-2897,-48584,-41558,-3261,-8700,-3868,1518,-2980,-2246,-536507,-169869,-29843,-24178,-10992,-5768,-10610,-4721,-303511,-157902,-30373,-24311,-5764,-5327,-8060,-4106,0
-206087,-167829,-25301,-40980,-19354,-9945,-7380,-7242,-251246,-162538,-26570,-41908,-19664,-8436,-6812,-6478,-410866,-167659,-29709,-38478,-19918,-6568,-6812,-6844,-363783,-178280,-28560,-37980,-18238,-9947,-5852,-7088,0
61261,29880,-2158,671,634,2306,746,-1099,30322,19612,-7787,334,-1071,2460,-190,-775,52195,21905,-4456,6742,1162,-17,764,414,-7378,-11685,-3005,1668,-689,-646,2752,-1481,0
110594,-35231,-4237,-1682,-886,539,-413,65,556634,-30507,-458,359,279,-1053,-1152,493,30513,-20667,-2954,619,-443,584,-875,400,227350,-22271,-14709,-898,-1736,-2187,1485,279,1
-405997,-89337,-23507,-4802,5725,1881,24337,17104,-286469,-86383,-37063,-9140,-6191,-8094,-3534,61,-351741,-90174,-37088,-5169,-6389,-2875,-2301,525,-379565,-76623,-34284,-9940,-6849,-11538,-4664,-1747,0
-85395,-108851,-4451,-1552,333,11849,5606,3616,-253823,-203269,-17686,-4882,-3729,-6713,-1605,-2017,-169998,-168191,-4676,4800,10838,10625,6541,4358,358378,113719,-15655,1737,817,15899,10116,3332,1
-260492,-154080,-25783,-11694,-7139,-9089,-2318,-4202,-244382,-207370,-29174,-17629,-3591,-8582,-4021,-4825,109359,-201783,-39028,-8584,-6948,-7748,-2671,-3710,-165776,-158996,-35597,-17405,-4547,-7127,-3136,-3800,1
-401230,-120247,-24558,-12883,-5882,-8758,-2584,-3762,-84101,-103421,-16866,-13761,-5668,-426,-2302,-2971,-343722,2983,-17659,-12817,-718,-8998,-2973,-1414,95476,-67662,-20307,-8402,-5447,-7212,-710,697,1
116375,8380,-481,2517,5891,4282,3767,901,725846,163933,47577,19872,5854,6548,2655,2015,926778,67565,-143,1552,-714,-1638,-378,-715,881773,89726,21006,11360,5024,2759,845,677,0
-131332,-87369,-19790,-14878,-17192,-14801,-5972,140,-217830,-106325,-16594,-15148,-16708,-17194,-6544,-1582,-180589,-102202,-11835,-15715,-15217,-17407,-6907,-1809,-164973,-37910,-18849,-11310,-10477,-8677,-3964,2803,0
40940,18103,18663,-2653,4817,-366,446,207,100281,87241,16919,-3532,1300,72,1575,1628,160810,21673,3931,-5833,981,976,-54,282,-65696,-7429,2768,-2606,2161,3813,6487,11286,0
206561,176257,45079,6180,2461,11537,4522,6046,425531,10634,20166,6628,1212,2482,-296,1393,311828,27527,4065,1265,1047,470,-947,144,136492,6266,3497,781,-268,1246,-345,-128,0
