delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_max,theta_max,lowalpha_max,highalpha_max,lowbeta_max,highbeta_max,lowgamma_max,midgamma_max,delta_min,theta_min,lowalpha_min,highalpha_min,lowbeta_min,highbeta_min,lowgamma_min,midgamma_min,state
453611,88157,15170,15276,18095,28399,19882,16095,2132163,213355,33465,29846,25616,65128,30973,33972,7616,6338,1472,993,4632,2619,1029,944,1
518013,153010,32046,20561,24103,27133,25009,14909,1015579,341624,68181,42968,49547,44700,41943,26433,46079,25896,10891,5505,7571,7378,5853,5706,1
350256,63924,16594,6597,9412,9291,6970,6484,1595282,229143,56193,16226,23989,16610,14245,21080,14316,7587,1938,1152,1145,2484,1289,1522,0
1034557,177837,58757,26976,37776,28775,23573,17833,2546183,348054,208702,49342,79462,60618,39778,33340,197025,39106,4918,3930,5951,5514,6888,4197,1
114792,22284,7057,6200,5316,11329,6985,6651,338120,50314,21325,11551,9174,41947,17955,22346,20662,4804,1026,1599,1142,2352,2320,1837,0
225182,36788,8295,7494,5524,6966,3179,3512,675370,91681,22072,12238,9393,15778,5069,8074,68129,17877,1541,3552,2662,2027,1160,520,0
632752,107779,17610,21658,12792,19432,14316,9696,1536404,229328,51888,51364,28132,45867,31678,18355,73844,28694,1693,6141,3137,5245,5398,2981,1
551252,208594,35491,29876,24035,14807,9082,6971,1982913,991449,131032,121068,110308,50807,17644,15626,20609,3491,685,2296,354,2225,1639,1231,1
70047,39336,6232,10628,11930,8040,8228,4429,177853,164264,14706,25991,23999,12236,17801,7195,5166,4905,1241,1752,3445,2899,1850,1637,1
296401,54990,18053,15017,9765,28945,38255,15233,764173,99488,49242,61493,20303,50196,124375,45102,16238,19292,2049,2521,3271,7695,8177,6179,0
986784,206219,43644,29378,25053,32233,17536,9931,1521379,377187,127090,81519,39032,61217,45077,15924,24834,55581,5030,3691,4205,5990,1211,1113,1
657210,161786,22817,14992,16187,18682,14320,13488,2640395,772823,39587,33169,25257,44096,31128,31786,85621,10002,10553,2901,3947,6078,2857,3365,1
562022,105666,26947,15708,20353,12640,13146,10117,1282122,347429,74859,34790,45591,36581,27807,21828,39901,5187,2677,1539,4409,2151,2076,1583,0
325221,27694,11086,13140,16130,30533,27745,14801,1329114,52729,28182,42108,39613,59078,62872,26847,3492,7648,2668,3192,4169,11056,10855,4578,0
611944,159249,39755,17039,16321,26199,25412,19320,1535245,288798,153213,44707,37356,60877,79911,61922,181425,36033,7096,6723,1858,4527,2258,1510,0
660024,326219,22704,44908,21997,45323,28752,21791,2068615,964680,51752,176628,59859,134007,65287,42905,71709,24185,4867,2642,3297,8738,7759,1848,0
920278,241525,29901,40500,33013,39721,28835,19424,3109403,599301,65200,191651,63627,52627,65709,46728,17593,22397,3903,4542,8939,15944,3458,5333,1
694652,114195,18591,15497,9730,18031,10655,9675,1176062,405301,30746,33950,35403,38830,25948,27140,418217,11055,3532,31,1723,5813,2928,2650,0
635291,214167,24598,21605,21780,31369,36549,20705,1368029,755512,41967,35144,44966,56042,80699,45747,51463,19722,5660,8589,7379,8272,5352,7812,0
1223169,256976,35239,36610,35763,36347,49559,25537,2454142,607436,84388,90294,122894,81325,107010,62134,613271,54003,4748,11675,1778,11273,11180,10584,1
926296,231341,31279,15708,18458,28041,31580,22838,2242841,775511,42949,43927,41857,46658,70171,48871,259068,45686,5108,2378,2590,12080,5562,3946,0
699120,169249,55927,14816,18179,27984,28705,17964,1615463,457544,167320,27438,53286,59797,53769,31682,124551,6451,1884,1479,4744,7091,7443,4289,1
513071,226703,32416,19581,22971,35118,29644,24471,1099834,780090,73694,35231,51750,55631,47899,46529,59211,14577,2920,2817,2605,3320,2171,1542,1
593431,140934,26790,18327,15471,72639,35235,30796,1457169,207940,55994,57576,27053,117711,91007,50164,165865,96667,2616,3857,5133,16919,10405,6984,1
503625,101531,33993,22638,17222,35580,28420,17251,1511140,243129,78370,58001,31713,67347,77142,32360,13039,11949,5498,3810,7833,12150,6609,5162,1
542037,161459,15945,8346,11423,43912,37306,15130,1300102,417535,38441,15735,22146,75948,101346,34400,78697,44059,2789,1522,4932,14508,7347,6011,0
422868,61192,23312,37755,16047,21850,20314,11835,886819,190144,93375,185645,71310,58357,51577,32327,78049,11915,3208,2861,2070,7031,9211,5199,0
270176,52701,14809,13172,17998,23589,19806,18677,751038,164916,32927,33521,39139,58823,60111,45331,26334,16198,2182,1196,721,2286,570,1851,0
549740,58982,11779,9009,9692,19612,17404,10292,1713110,126494,24437,20524,22597,60402,53572,29096,69287,4162,1194,932,1307,2950,1772,2020,1
