delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,state
86274,23697,4428,11533,3281,4695,3479,1170,80806,6291,978,-9416,1075,4065,-105,4020,-70428,-12502,-1456,-2558,-276,-1712,-1256,-115,-73030,-10899,5767,17865,-270,-1085,608,510,difficult
668531,106293,22665,12834,8517,16004,7706,10545,-306969,-93937,-17248,-9716,-3497,-11568,-4568,-7489,-7026,7401,-3605,-2846,-2256,-7913,-4349,-8473,-654102,-93390,-21271,-10527,-5341,-11837,-5456,-8857,easy
37870,10506,15922,12231,5580,9956,7622,4670,-13737,-2415,-6542,-3455,161,2099,270,-939,454662,62288,82173,3814,12697,17216,26315,12896,437962,12813,-7076,-9956,39,-4466,-5318,-1370,difficult
125184,50580,8169,6834,5440,5514,2834,3142,-35296,-34008,-7435,-5001,-2403,354,-1227,-2198,-83559,-20559,-507,-3438,-4457,-2463,730,-2301,192859,-45030,2986,2142,1324,224,4085,-196,easy
58600,32291,7661,9170,12842,3283,3133,3959,-18701,-15310,-4304,-5361,-10736,-2010,-1095,-2370,-15212,1560,4790,-7941,-12077,-1631,-1379,-2720,-44887,-27875,-2130,-6344,-11459,4122,70,-859,difficult
90622,23988,5103,5489,2919,2226,972,1397,-66444,52429,23963,56535,4380,4008,4898,754,-66836,-12379,-2931,-2275,-1580,-623,-72,-844,408048,26484,-892,1724,5346,6166,2503,3613,easy
50879,27440,5880,12461,5074,7298,8522,3561,-37477,-21435,-5009,-5486,1176,-1890,-1396,1322,-6319,2800,2398,-5957,1837,73,-2573,723,-47594,-21325,476,-3696,638,-2930,-1808,327,difficult
346287,51802,3698,4088,9523,7539,1902,2663,921568,30144,3071,8465,2815,-2919,3145,3671,1487264,388412,138420,112647,73924,29660,48084,20637,-81887,13770,112516,16261,16841,25286,6789,5756,easy
210758,43463,13618,11684,4803,4513,2739,2636,333878,19032,1249,11308,7505,6742,3169,3445,-183374,-34361,-2993,3508,10818,472,6015,4036,-110557,-25340,-10726,-9892,-392,-1153,-1068,-1869,difficult
49241,12655,7852,6571,7428,8565,3442,6241,74774,4905,-2521,-5616,-6486,-6951,-2757,-4588,5177,-1259,3762,-4440,-5534,-7060,-2351,-5481,26483,25982,-4590,-3531,-5975,-5989,-2306,-5641,easy
172075,44530,7101,3045,9703,9568,7759,4173,-169135,-26042,-2880,5370,-2208,4507,4383,4297,-110921,-21932,1573,9508,-8571,-6403,-5569,-2578,-124473,-33092,-4919,-435,-7868,-6684,-5624,-2897,difficult
174206,76255,3257,11416,18149,11591,15600,9744,2000048,371572,26182,5659,2814,-1483,-979,-3983,86673,-63890,-1969,182,-13415,-9335,-11976,-8423,401002,-49751,10827,-3391,-7076,-5273,-8253,-5564,easy
12520,7181,2752,5035,6068,8082,4833,4276,30323,7800,-1990,-4096,-1854,-5224,-3557,-1960,114655,74454,3272,181,-26,-4002,-2981,-1318,-5524,-3377,-1689,-2691,1392,9588,3933,196,difficult
602222,36017,8965,12458,7545,4645,7905,3170,-441743,-13890,1909,-8230,-3426,-2871,-5929,-1985,-597695,-520,-3615,-11256,-3384,2623,-2137,-226,-435607,13875,-6176,-9149,-5122,-2845,-7008,-1782,easy
37326,18170,3984,7707,7691,5610,4413,4546,87324,9110,-1488,-4018,-4812,-3378,-2814,-3547,33638,12411,499,-6178,-5864,-4963,-3943,-4367,-25390,-10203,1093,-5659,-1395,-2436,-1287,-348,difficult
63795,10282,6440,6025,13658,7091,4375,4183,-45558,-3188,-5363,-4092,-6010,-3550,-673,-2609,-56320,-2626,5031,1160,-4404,12654,2957,4211,-52541,15972,1905,23105,-8690,12726,8158,13281,easy
106662,36957,4185,7552,5036,7229,8269,3773,-81461,-26948,-3184,-6937,-4613,-6605,-8007,-3461,2466,-15172,2172,-6768,-3846,-4182,-7468,-2493,40336,-13365,-2107,-6724,-4186,-6249,-7964,-3429,difficult
354644,44968,17083,16743,16568,13469,7211,5812,1997563,370712,212096,216969,67594,69939,13840,51178,-91321,130409,9916,81049,10955,14040,10977,6551,-239711,-26051,-4388,-14302,-13520,-9704,-6203,-4770,easy
44778,17054,4959,9865,8306,18046,9339,7065,24760,24524,-20,-7666,-5196,-15388,-7073,-5236,56158,1701,17246,5791,3820,-12889,-6166,922,15505,3488,-3912,-7492,-7873,-17690,-8819,-6578,difficult
166822,21706,7050,19005,3529,10237,12691,6097,-81945,814,-1897,-17423,-1819,-8315,-10481,-4616,-158538,-13593,4336,-11965,1744,-4743,-8243,-2068,-161336,-18783,-1487,-7488,-971,-2149,-6076,-3126,easy
166621,17485,4552,10626,6889,8517,4815,4424,-115249,23743,4644,-8711,-5268,-5603,-3496,-2816,-75055,46878,12602,-7651,2059,-350,-2745,-2201,-147920,1007,4656,-5990,-2292,-4962,-3821,-3107,difficult
502798,69626,17191,25888,13133,10159,3141,2518,-465974,-41686,-12302,-20856,-11431,-7783,-1196,-1856,-279538,-4597,-6949,36886,-1336,13465,14623,7560,-340595,-61162,-15141,-20383,-10112,-6155,2024,321,easy
188908,71994,11302,12677,18377,13727,3712,5408,1585,-59740,-9781,-11772,-16200,-12546,-1784,-4719,17844,-48238,-6441,-8302,-14129,-10354,-1938,-4030,-2045,-60438,-9829,-10357,-15233,-12652,-3017,-5140,difficult
172521,69799,11738,11450,14693,19928,10582,9383,147733,290921,42495,44608,52711,2109,16733,7117,146296,-19159,30842,44724,15150,-5602,-1529,561,382567,33056,-2908,-8421,-4065,-15528,-4584,-5660,easy
297498,31512,15485,23662,10433,27362,22458,12807,-96363,-4770,-2764,-16432,-6078,-11867,-16073,-9822,334104,25668,5501,-9830,7052,-6063,-18712,-5652,-241371,20530,10159,-18623,-6118,-16389,-19669,-11134,difficult
