delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
341703,296311,37918,41995,28215,34077,17045,8953,-82686,-246181,-27745,-33266,-17029,-27142,-11932,-7327,-301038,-265749,-12284,-16255,-7856,-24074,5944,1323,68565,-292946,-31316,-39936,-24421,-32554,-15989,-6737,-338369,-274244,-27314,-38336,-25762,-30941,-13631,-6540,-333645,-290816,-37064,-38517,-23563,-33124,-15417,-8303,easy
64789,28017,2961,6436,2379,2389,2200,1247,3811,11304,3433,-3230,-868,806,-1060,-814,344779,5672,3303,-2425,-487,2064,971,720,193870,101400,11276,-3957,3359,3082,210,-509,53257,-2426,1634,-5742,868,2706,-803,463,-63125,-18491,6826,-1763,-728,11772,8008,7077,difficult
9804,17635,8151,14184,7246,6916,4208,2730,41858,14614,-500,-5588,-4134,-4805,54,-1352,9180,-10387,9962,11302,1252,-4760,-2437,-802,3485,-8404,-7542,11004,-3021,-4433,-691,-1166,67133,41505,4400,15668,1451,1513,863,-1103,119817,194362,2735,17757,-4691,-3128,1163,-507,easy
239387,23891,8665,4952,4543,7794,2970,2224,-3329,-16779,-4051,-2434,-1484,-5534,-728,-1408,1221386,130800,19194,21472,3250,10537,5540,487,-147972,7768,-4904,-2865,-3405,-4629,-2185,-1585,-169858,-6066,2406,630,-367,-5871,-1381,-854,-121061,58067,13631,1861,1395,4055,3781,2452,difficult
295879,40036,3930,8844,2720,4034,6942,3075,-291140,-30693,5905,-1959,5269,8565,-800,639,212633,-20170,29558,17599,2319,7444,1001,5598,-181781,-2257,-844,-7876,6999,3445,-3838,771,-217854,-32729,-2494,-2074,989,-2300,-5280,918,-106437,106667,-2713,21039,29661,36345,10231,10789,easy
209927,65809,17468,20634,17161,9723,4461,4959,-184345,-58804,-14383,-18966,-16163,-8902,-3729,-4798,710346,183587,-8395,-9418,-4348,9454,2800,677,1637172,34517,9059,-2903,-3901,2890,820,-709,-133077,-30215,-17197,-18397,-15565,-5923,-3592,-4073,90989,-43140,-12124,-19748,-15880,-6715,-3175,-3128,difficult
49241,12655,7852,6571,7428,8565,3442,6241,74774,4905,-2521,-5616,-6486,-6951,-2757,-4588,5177,-1259,3762,-4440,-5534,-7060,-2351,-5481,26483,25982,-4590,-3531,-5975,-5989,-2306,-5641,2048099,396069,24280,1976,15975,-2319,389,-2100,115350,39422,10739,3946,-1410,4016,393,-4334,easy
828701,171612,31600,17148,7991,12193,10766,7592,-758760,-161489,-29459,-9753,-6484,-9415,-9374,-6051,-558564,-138517,-26306,-14928,-7341,-10974,-9359,-6299,-551137,-126053,-29863,-10552,1026,3939,93,-2553,-713590,-119657,-29267,-16603,-4577,-7859,-9058,-6497,-748821,-145279,-28410,-15932,-5697,-10253,-7547,-4791,difficult
48054,32722,21533,3585,5655,6992,5872,4126,765987,110671,-3039,12262,1012,-1178,-2152,-478,481368,67058,-10069,26790,-248,5062,1218,-1328,1155648,46176,-11285,2548,1825,6088,6520,6189,170851,41499,-3503,2035,-2812,4192,2974,2046,-12503,-11862,19757,4260,-688,-3508,-1684,8,easy
421814,173003,59208,20671,43854,40756,38176,13758,-338725,-150039,-42991,32678,-40611,-26386,-16038,-4753,-390367,-157322,-53612,-17303,-40761,-37123,-35826,-12924,-409287,-151040,-56497,-13964,-36835,-33387,-32338,-5789,-342002,-162115,-51341,-17841,-41388,-38527,-36137,-11417,-354135,-167182,-52798,-9776,-40703,-36164,-35844,-12198,difficult
