delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
931373,420744,59893,45655,10264,6590,8235,7764,572895,-199887,-50876,-12609,1345,9683,-1572,379,67819,-340215,-34423,-40015,-4884,3720,-3081,-4043,843689,488214,55677,37039,6749,32566,22964,-884,-317867,-101333,-13830,-26229,-1382,15145,-2501,-6066,difficult
1185933,602546,183784,106114,26037,30026,5932,7654,-1094760,-587304,-181446,-102451,-25502,-28891,-5368,-7412,2199895,-21133,-93286,-92482,11638,-12756,3630,-3717,-690557,-533080,-156268,-101310,-18372,-25150,-2517,-6495,-977731,-557215,-177684,-101641,-23206,-25018,-5149,-6275,easy
873494,35742,14318,5786,3689,11259,4744,3643,-750434,-25071,-13867,-3347,-3056,-9581,-4037,-3346,-189955,-26780,7609,4737,-1181,-7886,-3550,-2506,-831163,-30688,-8446,-4967,-3342,-10945,-4507,-3384,-763127,107331,129871,39534,8675,15278,6959,4791,difficult
942851,173889,33017,29514,6974,17311,7952,6065,-759935,-105857,268,-17827,-2208,-8090,-3062,-1276,43542,83617,44449,-21251,7010,-8082,-2449,-3649,911414,-143022,-27409,-5635,2969,-13653,-5837,-5043,-812700,-128593,-27172,-24450,-5603,-15268,-7161,-5444,easy
1270294,138759,39335,25234,5516,5705,3774,2015,187695,1534,-9553,1737,19866,17449,2350,2371,442491,-67429,14602,15858,23017,486,2782,2003,-514114,130231,33533,-1020,17109,19592,13228,1221,-603508,108991,-16908,-3411,13705,3632,20032,1921,difficult
830151,66343,23061,28775,12393,8915,4165,2766,713139,430047,13550,691,3011,9958,3154,3356,-801966,-63399,-22004,-28368,-12008,-8594,-4024,-2653,573322,20328,1757,-13706,-4538,-4619,66,760,-718161,180238,12423,10025,3691,10372,3168,1310,easy
823795,53796,17231,7551,8566,5484,3166,1339,-152198,9679,-7806,6819,4268,2411,-923,683,-706705,-32633,-12325,-5186,-6681,-2837,-1714,-199,-444450,6492,-1014,45,-1806,4893,333,1013,19176,186931,6229,3316,8467,18147,6998,2352,difficult
616424,64987,43098,24856,14516,12502,8634,6505,-422428,733108,134931,97834,61383,28953,10389,22216,-457884,-50807,-35046,-23047,-10449,-8720,-5984,-5770,720607,532420,98452,-11492,58212,15974,17699,16029,5691,99121,-30357,-16313,397,-5241,-3149,-3980,easy
708502,179997,24873,15860,11593,10783,2539,3965,-653798,203881,30847,-1545,-5546,2740,278,-970,140736,581267,47449,-6289,142,3603,416,-2041,-375141,-103851,-11203,-8143,-7513,-2273,-1344,-1978,-537892,-130904,-13236,-3855,-9809,-7027,-1181,-3130,difficult
1025227,108631,52274,53384,19440,24410,7577,6133,-386272,-47216,-34434,-44546,-15270,-15687,1720,-3534,-941441,-96960,-36613,-50272,-15872,-23161,-6851,-5716,-261798,289548,210161,96099,67739,56932,364,-864,-15251,-98234,-36568,-47500,-15140,-18156,-5962,-4703,easy
360940,245529,28631,16978,10940,9038,5237,2838,-19471,-199974,29083,-11490,-1549,-1185,444,801,88170,-218076,-22396,-12870,-8444,-2292,-3180,-2211,-233596,-169363,-23460,-12032,-9131,-3907,2243,251,-274919,-134218,-23597,-5463,-7797,25213,26467,9237,difficult
600646,182513,111606,73669,18135,25268,5786,2861,164199,-86927,-95045,-62081,-13680,-22330,-3250,-1497,194777,-208,-88061,-52940,1543,-4686,961,6059,17970,-154933,-81066,-64191,-10447,-20840,-3978,-1362,-242989,-8902,-96792,-31701,-2908,-17778,-3185,4619,easy
319308,146287,18611,5840,6483,4627,19505,5856,251517,-113611,-16854,-3309,8498,12205,-6279,2289,329853,-85802,14593,5142,6058,2652,-14637,-1597,682826,-125133,-13496,-2056,-575,4466,-11504,2557,1367829,144283,31440,12074,16874,8497,31343,3123,difficult
552569,56173,31514,8693,6063,3949,2197,1863,-382905,7578,-18087,-2040,-3549,-2717,-1386,-1099,-502819,-21932,-28141,-2432,-3803,-31,-1209,-1316,93258,-45020,-21342,-4268,-3940,-2662,-1514,-1499,-214423,39927,-14167,23093,1771,98,-1264,-1174,easy
755017,270020,9522,11787,24615,7739,4191,5604,-287887,-240983,-3512,-6864,-19839,-3661,-2751,-4206,309018,-215338,-916,-6356,-7549,5962,-1348,-3354,-526781,-210469,2271,606,-19819,-2419,-1339,-4256,-153755,394094,96340,37401,-14403,18786,8055,-1581,difficult
400423,68036,8707,13777,6011,7290,3737,2143,-385135,-62699,-7899,-11260,-2271,-4037,-2302,-1198,515646,14171,31716,13162,5,-3083,-951,-674,-144692,-41785,821,-7620,3427,3149,974,5354,-265746,-7434,14198,-6597,1243,1797,4217,623,easy
1013304,157030,17464,31812,11905,18990,10097,10757,-970429,-151273,-16493,-30828,-10610,-18553,-9464,-10629,-970429,-151273,-16493,-30828,-10610,-18553,-9464,-10629,-676109,-111659,786,-26799,-1763,-12218,2110,-8020,-232639,-48593,-11997,-4493,17877,-9059,13445,3484,difficult
996618,297299,124186,42796,33719,23731,4883,3132,-345553,-271592,-117891,-41112,-29999,-21653,-4331,-2792,-869674,-279081,-120876,-39735,-32639,-21020,-3656,-2601,350676,-220728,-114917,-31073,-23132,-20072,-583,-658,-765863,-198918,-118307,-39570,-30165,-22098,-3393,-1440,easy
1092151,350685,75741,103328,30383,25671,7945,6069,-1054732,-332516,-71979,-101641,-29762,-24628,-7126,-5037,-968159,-239019,-64873,-100012,-27532,-23408,-5308,-4044,-583536,-73932,-42330,-84730,-7770,-7397,2773,-1143,60432,-281055,-70809,-47904,-22611,-19385,-2283,-5123,difficult
360465,296268,7985,8856,22541,9156,3985,2429,-97130,-202420,3507,-3713,-20219,-5020,-2471,-1515,1098550,-13036,63611,100653,-9255,23274,11987,7174,360695,-240142,18399,-2067,-18770,-1817,-2165,-1503,2920268,1206,12396,49607,38724,16561,13435,5747,easy
558079,71655,13131,10297,2280,3495,1292,715,189577,170829,36982,6531,8791,10010,2130,1737,-227271,-4657,-4821,-6794,1927,1033,-738,-367,-12621,-40330,81871,6175,2460,8864,1892,838,-247699,-49899,6379,-720,106,-530,-477,92,difficult
965265,163341,69462,16966,14392,23089,9507,2884,-346564,-100788,-48312,-3039,-4520,-18732,-6386,-1253,210215,129524,-33680,33859,-955,-10718,-7081,367,1081880,870893,298777,47185,60663,65287,1640,7308,-69864,-152183,-41502,-428,-7176,-17364,-6658,-2232,easy
94803,27730,6054,4379,3921,3669,980,890,1643827,777489,285007,156545,30147,37676,20000,17677,227015,1707,-4617,-2373,-997,-2338,-481,-725,-7817,-15693,-3476,-2664,-2519,-2366,-802,-707,445948,317155,19749,3877,33287,27954,14602,6403,difficult
1029169,98524,28700,28724,11987,17344,8608,4357,17506,-68585,-17510,-19344,-7453,12164,1317,-1669,-354910,11567,-18856,-3480,-7840,6547,-354,-2158,447515,556452,79851,36215,41763,45734,25988,6252,-291865,-54798,5048,-3273,-6830,3931,-3442,-1599,easy
