delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
883495,193829,61925,61973,17688,44697,35760,19878,-14272,-112784,-33620,-26170,14826,-30718,437,-10162,42861,-149599,-59023,-54251,-13985,-18887,-6812,-665,-740732,-159723,-53083,-42671,-12135,-36219,-29668,-14460,easy
1944409,295913,59221,23100,27951,63552,36704,19415,-1736503,-267181,-54628,-20995,-24205,-56022,-33368,-16525,-1627342,-262759,-47645,1326,-16020,-57911,-26051,-12453,-473344,-118702,-14123,26749,-10395,-39569,-16105,-5984,difficult
537918,152095,21480,28174,8168,45481,16605,9642,1877748,578532,97752,79853,35091,156647,109226,141309,-425669,-52837,347,-20433,5943,-36551,-11753,-5005,-46599,99170,13300,-13605,23111,-29079,-2097,20856,easy
1001610,171932,49741,52986,21826,36384,26266,39933,-371042,291737,24739,32938,37121,30649,121552,-21182,-8433,-95672,-35504,-42175,-17003,-15794,-13055,-29035,-786033,-51441,-41508,-46306,-11686,-21012,-20663,-33436,difficult
1476072,254328,23789,45639,25213,41130,36993,33079,156098,-128039,46670,-40905,-2778,-7827,12483,-5879,-604152,-190954,-4163,-30224,-22195,-32440,-23480,-26972,-1256341,-140767,-9929,-38705,-19293,-29446,-22814,-22026,easy
250623,77080,43113,21282,7817,14044,24278,8123,748843,100798,-6743,6082,-52,42034,16755,16847,1397022,955196,106001,185564,18593,137645,133608,121453,-162772,-12845,-37784,-20126,-4469,-5013,-18157,-4744,difficult
1272004,102907,38305,24550,23865,33871,39053,10413,-534538,15088,-34497,-20292,-7278,-8688,-25337,2886,-750394,360082,17624,-4726,32050,42638,-4716,8711,-293939,366039,77636,4020,-16690,33510,4796,9267,easy
1130716,341671,196819,78812,137192,71885,63296,69054,-710950,26242,-194628,-27838,-115129,-18051,-14438,-49732,-178240,-306089,-180995,-73165,-134562,-61568,-57446,-66283,-465544,-115063,-173031,-46901,-110697,-44311,-46050,-54677,difficult
1651944,271716,25614,40745,49370,34842,47979,29347,-890524,-211373,3097,-17916,-36873,-2076,-29531,-8650,325842,-117976,89907,51725,-11315,-8911,-29393,-9943,450061,91085,-18605,-13513,-36555,-19301,-6576,-14546,easy
1475768,366511,90960,41088,88713,67560,56449,49714,575528,-197208,-15115,-34744,-76038,-39618,-20296,-31054,528952,2005296,48730,401290,-35364,194847,313841,83136,-492111,260343,302897,147991,48614,58988,34080,3148,difficult
900261,201887,60335,19534,22585,38481,24384,21604,-757794,-182072,-12007,10002,-14217,-18828,-2588,-15263,-617092,59188,-26031,5285,14286,566,3349,-9325,-262907,-156241,-37941,-1101,-18568,-28872,-17231,-15501,easy
999520,507635,168454,39679,36176,76959,89659,23663,-949921,-488334,-167355,-38758,-35787,-76003,-88892,-22487,-753253,-495952,-166080,-36088,-33253,-72773,-86324,-22157,297450,-382899,-148411,-26323,-29668,-60549,-69220,-13145,difficult
931703,172277,19425,25672,39502,24674,37005,28133,-759893,-149252,-18178,-22659,-37119,-17678,-34902,-25033,-182427,-118362,-10629,-17892,-28049,-4063,-20917,-18509,-165725,-139724,30743,-4399,-31244,-9730,-27359,-8749,easy
612457,162993,19068,21201,8868,10568,9955,9569,400289,38232,6994,74397,2119,28195,14117,4608,-522057,-45234,-9351,3313,-3558,-5121,-2532,-6499,-385336,-84259,13445,-10067,9614,-4743,3482,-538,difficult
828275,120132,48558,20508,10506,13301,36779,10210,-769138,37202,-39679,-17075,-5910,-2599,-33381,-4208,1450861,7056,7876,17560,16743,22511,-9916,39274,1471330,221859,155837,25672,75088,75825,62833,32917,easy
718067,123620,37933,15361,11471,29689,16149,15081,-93546,258880,-16560,-4384,12967,40778,14338,36299,93059,44594,-19356,9362,16661,49579,31296,15045,-597219,-26209,-26612,-12347,-10249,-25330,-3546,-12195,difficult
2049528,505345,80454,145610,113867,126115,123255,45804,-1449749,-427849,-68867,-102199,-100633,-97837,-104962,-29303,-1927577,-261286,-74732,-139112,-102077,-117348,-114483,-34583,-1916097,-446643,-35170,-126619,-104557,-115190,-110339,-28511,easy
1251326,154191,53182,46267,24847,24645,51916,32583,755793,178200,472092,233733,31273,288866,58075,8897,750180,41773,-26944,3695,22855,8365,-12137,37986,-843895,-96929,-45490,-6213,-15849,-10891,-41957,-25309,difficult
1127545,365120,306197,86515,38704,85706,124356,53695,-887266,-271250,-221675,-63544,-25755,-55375,-105828,-49308,-689904,-174888,-291562,-63495,-17953,-62631,-113843,-40842,-227207,-59790,-299234,28056,-17628,-49097,-95740,-28674,easy
237564,243201,12454,58230,16400,30073,32651,17995,1571029,-63768,196030,7334,59780,37474,23866,45063,-74641,-217995,-4420,-38985,-13751,-19660,-27568,-10060,-106339,-221097,-2859,-57267,-14815,-27942,-28262,-16056,difficult
936595,172965,46367,44952,45071,25514,39354,26709,469352,-109242,-26703,-19142,-34076,-5679,-29090,-13921,-405502,137217,30589,48803,6799,25135,-4876,-12283,223162,756496,206308,82477,57073,142181,72776,21553,easy
467295,81015,29848,19021,8928,30454,15831,4594,-332763,-66960,-23052,-14695,-5419,-25082,-13711,-2706,142399,-34729,-11735,-14173,-2111,-15184,1294,6353,-413883,-51701,-18808,-17393,-2184,-26107,-11867,-1198,difficult
1001287,257986,30139,169605,63333,59548,72909,32280,-437493,-122395,-8062,-133286,-26034,-2369,-23489,-22631,-716889,-179645,-25883,-163447,-61900,-49242,-64577,-28122,-534096,-76170,-20499,-144307,-60019,-38578,-58964,-21584,easy
94782,81174,14923,27688,13387,16722,7796,11085,176111,-62351,-9172,-13807,-8069,-12108,-6389,-7921,189946,-48289,27775,-7657,6548,-9476,7166,-5286,-68109,-63553,-8460,-17938,-6916,-13071,-5110,-9326,difficult
822852,200054,32518,61179,28978,42435,56797,21625,-384802,573438,-17681,-43997,-15312,-624,-31492,-3393,-677594,-140884,-31067,-46506,-14309,-34627,-46040,-14374,-694598,-115209,19110,-58855,-24870,-38722,-50843,-15572,easy
521988,129701,27301,24250,20701,11711,23916,14338,-150488,-79826,-11741,-19851,-13724,1098,-10019,-6385,-413473,-49498,-11661,-19852,-14916,19123,-10837,-10644,373834,-72785,-22404,-7531,-17691,25879,15764,-7399,difficult
942347,161337,42296,12984,16147,51227,60710,13827,558712,851112,62038,115050,-4447,60623,20409,43191,169295,85678,52641,27387,-4147,-5804,-38747,8626,-137122,-52673,-26248,-11170,-10716,-43163,-57366,-8771,easy
682632,439431,53555,36369,34428,45737,54255,32522,1083108,-176822,236017,28864,116175,18024,86078,2771,1235877,-219244,28356,-13068,-6341,-1241,-42991,-27046,574320,-290049,-10704,-13994,-21890,-22961,-28727,-19645,difficult
821129,373415,12150,21926,17976,27053,29716,26943,207513,-326925,41881,-16323,-7826,-4694,-6600,-17728,-49563,-294735,5055,-11935,-14546,-16570,-20362,-18381,-250280,-180349,10498,35150,-14746,-6017,-16592,-18344,easy
