delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,state
16747,7900,3873,6098,17192,46217,13474,15367,876369,165048,65975,12396,13095,37098,13155,18302,-872681,-159285,-60193,-8129,-1480,24856,-5982,4176,-846564,-155012,-64011,-4468,9674,-6619,6620,-10047,difficult
84985,56025,6898,10666,7446,59650,8746,28478,1198743,107645,54192,31663,7783,26917,17124,23679,-1124151,-78535,-48742,-29534,-6111,-23534,-15314,-21923,-1103365,-24705,-45847,-12461,5436,88999,-1442,31520,easy
87021,14639,5033,7605,6767,11668,6021,3918,234398,51768,17602,7080,5761,6010,4872,2304,-170273,-48461,-13854,-245,-2054,4495,-594,3045,-124482,-25797,-11285,1294,4065,6821,2891,183,difficult
480098,42910,6846,12899,11583,19571,11903,6461,491153,82247,36616,28933,16296,29248,16845,15466,452365,-1876,-28447,-18138,-838,-15856,-10051,-11212,-474475,-76798,-31094,-13930,-8589,-3498,167,-6798,easy
1555211,87877,14691,21211,12779,72421,34834,19234,423240,8768,2921,3512,4106,12060,14597,4446,1417030,49562,9914,110,2204,61596,29070,13798,846912,108656,13625,35288,15142,59126,11403,15777,difficult
66530,8941,11529,31927,4970,21818,11164,9045,1021589,80505,21344,6519,15133,11129,7282,11165,-995431,-66199,-10859,35985,-8831,20368,12440,868,-914687,-76930,-8772,14830,-11496,1009,-4676,-5109,easy
715641,36335,31132,14431,19619,36098,34160,17001,256634,126316,22348,6139,9925,15284,10040,8056,1163328,-72895,34936,20456,11360,13411,42628,13146,-245315,-107067,-17369,-3873,8028,28217,5612,4743,difficult
32964,46509,19754,10237,25477,22672,18882,16317,765886,81475,11499,17210,28186,47877,32391,12161,-717316,-1523,9488,-5955,-1407,-32312,-4553,14047,-748528,-68410,7022,-7992,-4012,-18098,-22466,-5735,easy
144575,56526,6095,8810,8928,9850,4074,2783,474490,27132,15250,7720,3660,8601,3201,2169,-195740,84798,-3461,3739,11938,3892,2868,929,-464091,-26011,-14849,-1560,-1402,-1395,-1122,299,difficult
98583,22046,21114,10411,13825,13364,15664,8608,367006,20010,12373,4389,5021,5418,2752,2863,-285770,-715,2389,2821,1454,2630,-699,38,-251076,4786,15093,9222,16153,13261,26523,11451,easy
1181850,196022,41109,14971,14217,22630,15170,16242,342702,72560,16695,7129,12991,9776,7890,3878,1772148,277446,43342,17046,6763,23192,8997,20545,-93853,-30522,5485,-1363,-4311,2516,5563,4183,difficult
102211,15902,2179,6010,11162,31813,12472,10738,473599,184098,16585,7697,12892,18070,13491,6970,-422023,-176523,-16207,565,-7337,-3082,-4887,-3551,-320753,-159870,-12606,-3939,3877,30568,2848,11087,easy
237460,17158,10156,7680,11876,17631,11178,9608,901882,70838,21673,7331,13453,14852,8174,7498,-441683,-44688,-6568,-1794,-6855,-9045,-5580,-6154,-887161,-62672,-16467,2492,3700,14603,11588,10374,difficult
408196,70376,13314,20463,7485,8160,3723,4401,938885,63778,48646,27395,10393,21866,15230,10845,-257724,24945,-30899,-14904,-1785,-15729,-12836,-8843,-803655,-11750,-39765,1039,-4031,-11684,-10179,-4045,easy
6077,12195,9924,7464,33391,36696,51315,19021,679236,100937,38319,10383,22296,23756,15119,12014,-673659,-93038,-29726,-4047,12041,14019,37281,6946,-672659,-84446,-27064,-1792,10149,11861,35111,7068,difficult
8333,12160,5713,4870,15262,27265,9217,6865,545411,37380,5806,7103,6034,3811,2479,1501,-535745,-33223,-2119,-5483,13473,36206,10774,6515,-538412,-17218,1932,1016,4983,10701,2701,4212,easy
498323,36710,14652,6984,8311,39706,45181,24812,250553,34172,10077,5122,6735,8012,4300,5300,729337,10464,5814,2642,-2103,-3444,-1093,-1414,-233797,-5388,3335,1081,5255,66831,82855,40437,difficult
