delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,delta_cc0,delta_cc1,delta_cc2,delta_cc3,theta_cc0,theta_cc1,theta_cc2,theta_cc3,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,lowalpha_cc3,highalpha_cc0,highalpha_cc1,highalpha_cc2,highalpha_cc3,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,lowbeta_cc3,highbeta_cc0,highbeta_cc1,highbeta_cc2,highbeta_cc3,state
1015213,88345,50349,25310,25579,36355,-458692,269587,-6027,15053,14091,-13182,-1011476,-80960,-48840,-15188,-22459,46660,-717076,-46415,-27169,-13419,-14434,73459,-946780,-22693,-33442,7544,-2823,14992,-1002184,-77794,-48213,-22485,-15729,-12865,-552784,294400,-229704,-55404,-350547,34545,23722,-55101,-42813,21671,-6273,-14771,-30241,1769,20963,-30029,-36550,8025,11611,-12906,59842,26799,-58467,-27857,easy
1151511,184633,14989,16700,20995,30359,-920802,-86095,-9024,-9885,-12360,-5323,-992975,-112094,-6424,3478,-3829,-4765,-1145644,-175235,-9576,-3078,-9175,12524,-1142164,-144037,-9772,-15034,-13565,20351,-684081,-160988,-13433,-10769,-10192,-22972,-72173,-152669,3480,458083,-25999,-63141,31198,-16951,2600,-3152,-196,-3661,13363,-6556,-11956,4265,8531,-5346,-4390,3373,558,17289,7827,-43323,difficult
801077,66024,15735,10883,22211,28948,-220853,-25557,-843,-8295,522,-11935,-406321,-27454,-13778,9696,-14007,20073,-522588,-37358,705,2558,-10658,-20321,-734642,-33774,-8242,24933,12422,-2329,-471602,180409,-9147,-5630,6625,2947,-185468,-116267,-212054,263040,-1897,-9904,3584,214183,-12935,14483,-8947,-905,17991,-7138,22375,-30563,-14529,3349,23080,-5797,32008,-40394,17992,5276,easy
383693,98520,21148,25707,16493,51321,-236171,-57996,-8333,-9297,17073,-2532,2169187,68264,1086,-16066,9164,2891,-225537,-76417,-12583,-16235,-11550,-36700,-323243,-71542,-18089,26716,271,-26490,-361552,-72168,-14510,3062,-2107,-9345,2405358,-2394724,-97706,-38309,126260,-144681,4875,-626,9419,-13669,-5506,3579,-6769,-169,42951,-23654,-7909,-20714,11821,-2378,5423,-39591,10210,17145,difficult
631136,104782,54362,17681,37234,27825,-518231,-36208,-51328,-13087,-32480,-8616,162606,-64531,-39950,795,-27356,52523,-514815,-11089,-44717,21542,40089,4105,-41424,66548,34565,3745,-20949,21969,-430983,-67506,-45910,-16856,-25574,-8300,680837,-677421,473391,-389559,-28323,53442,77637,-134054,11378,-4767,79282,-80475,13882,20747,-17797,-20601,5124,67445,-61038,-4625,61139,-48418,17864,-30269,easy
403504,113329,20594,27758,20636,41209,-61459,-76770,-13223,-21102,-13807,-34097,309890,-72258,-15663,-22941,-13494,-26036,259424,-55959,-1917,-12872,-14135,-30406,425960,-36469,17469,17501,-12313,7111,-323025,-85464,1027,-1556,-7694,-1897,371349,-50466,166536,-748985,4512,16299,19490,-48995,-2440,13746,19386,-16442,-1839,10069,30373,-19057,313,-641,1822,4619,8061,-4370,37517,-9008,difficult
611468,158209,14044,53485,30887,28965,-318666,304874,46070,-35629,-1370,-11197,1198800,-77044,2228,-41723,-22843,-20321,292306,-126040,12767,-21425,-8046,-16993,188303,23997,48833,-33013,-15082,2910,-458506,194384,33035,-16179,4047,29295,1517466,-906494,-104003,-646809,-381918,-48996,150037,170387,-43842,10539,36066,-15798,-6094,20298,-11588,16834,-21473,14797,-7036,19129,-9124,3328,19903,26385,easy
938633,205117,13317,28823,16933,30345,-855250,-190469,-2906,-26317,-5905,-8171,-822481,-81877,-6530,-11782,18981,32161,-163549,-111743,658,8820,9739,13848,-805995,-167802,-8084,-22417,7884,-8410,-927470,-168558,-10176,10597,14924,-12860,32769,658932,-642446,-121475,108592,-29866,-56059,-756,-3624,7188,-8742,-2092,14535,20602,-31237,33014,24886,-9242,-1855,7040,40332,-18313,-22258,-4450,difficult
363637,71536,9003,9334,13966,14072,1957610,-17744,13138,7962,-7409,558,2158238,68497,39946,112109,36740,116157,422043,61277,-794,18449,4123,-2025,326727,-48302,933,-3665,-8493,-798,-61392,-34866,-2649,3639,-8776,-6041,200628,-1736195,-95316,-388119,86241,-7220,-109579,13436,26808,-40740,1727,-3582,104147,-93660,-22114,7304,44149,-32617,-12616,-283,115599,-118182,1227,-5243,easy
984710,166554,67998,22724,50668,56172,-833624,-136725,-9867,-9199,-37675,-7417,330713,-63016,-32897,13520,-4400,-35191,-979661,-142284,-58559,-19248,-33976,-17408,-931686,-110757,-27325,9454,-28983,-17354,-931686,-110757,-27325,9454,-28983,-17354,1164337,-1310374,47975,0,73709,-79268,31527,0,-23030,-25662,31234,0,22719,-32768,28702,0,33275,-29576,4993,0,-27774,17783,54,0,difficult
280522,187590,15252,16585,16528,45540,-157403,-181128,-13825,-7623,-12079,-29685,-203859,-162262,-13560,-15759,-13971,-16359,395045,-16393,-7718,12567,-5554,30321,196175,-157879,-6778,6041,6799,-22385,-127384,-76890,11696,15383,19342,-13118,-46456,598904,-198870,-323559,18866,145869,-141486,80989,265,5842,940,18474,-8136,28326,-6526,9342,-1892,8417,12353,12543,13326,46680,-52706,9267,easy
554056,180472,42463,37685,31500,57004,-502573,-146591,-36268,-21406,-11336,35348,-436158,-155707,-36045,-36588,-27765,-44046,-271395,-118100,-19879,-12048,-17647,-2791,-540780,-176402,-22837,-18342,-3061,38403,-474942,-169530,-37771,-36726,-28446,-46137,66415,164763,-269385,65838,-9116,37607,-58302,6872,223,16166,-2958,-14934,-15182,24540,-6294,-18384,-16429,10118,14586,-25385,-79394,41255,41194,-84540,difficult
569709,304551,36002,31087,23301,47522,-500814,-282935,-31912,-28864,-22303,-45733,-424417,-288390,-34362,-29185,-21774,-37012,-532368,-278757,-29034,-23080,-14769,-13594,-500354,-275557,-32534,-20813,-18939,-32253,-473185,-278146,-35031,-30691,-21906,-44757,76397,-107951,32014,27169,-5455,9633,3200,-2589,-2450,5328,-3500,-2497,-321,6105,2267,-9878,529,7005,-4170,-2967,8721,23418,-18659,-12504,easy
