delta_ave,theta_ave,lowalpha_ave,highalpha_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,state
161556,124483,8499,12210,390561,380365,5202,44978,390561,380365,5202,44978,275054,76546,61379,47031,665544,-43222,4789,853,easy
358370,365005,22080,10950,-205273,-320675,-12549,16808,-326641,-361875,-16647,-9465,1222759,64901,-20246,17317,-352433,-360458,-20352,-7911,difficult
267248,178404,63652,26535,695105,-25881,-48114,-18977,345287,-126217,-53804,-23528,-86333,-35188,-37814,-23238,-169804,-55760,-42256,-9615,easy
291107,141907,12928,4627,869068,-113401,20185,-3218,638004,41765,-1118,21151,-243145,-130442,-4978,-2091,-277460,-126036,-9207,-3550,difficult
89442,17285,5628,2116,2309,-11005,-1843,-309,466426,61948,5214,743,-31130,18692,2773,2333,-79166,-10696,-2075,-529,easy
523254,130181,27033,21711,-374949,75992,-20956,-18580,505188,84294,5145,4807,-292665,-21999,-15181,-11008,-365934,-79446,-12005,-14094,difficult
148792,59661,60271,22810,652285,31529,-55653,-20234,173696,-7931,-54707,-17733,1691442,72263,-45397,-7834,-4549,13733,-58760,-20828,easy
389489,145653,6201,28304,-229607,-86499,2274,-21743,36354,-4036,16533,-20578,63479,87584,6265,47250,-288174,-47959,26450,-12778,difficult
194763,74515,12632,6126,-105696,-15849,-159,-756,-15647,458101,21759,11919,-157055,-62622,-11316,-1047,555853,-34992,9241,3924,easy
563667,100989,10417,31427,253510,-53066,-1631,-25731,2111642,251406,148234,23434,1604327,246773,9457,545,1739416,151385,14680,45414,difficult
512587,125570,32346,17813,-440322,-102327,-28575,-16225,-440527,-112190,-31827,-16947,-462882,-87205,-22374,-15942,548981,2869,44813,2560,easy
382664,173645,41953,35604,71968,-3169,-16523,-15290,584822,2945,-25150,-28666,357906,89532,-10167,-24221,-317795,-160800,-41654,-34769,difficult
609183,205881,9905,8070,-600215,-178311,9083,-349,1214350,725296,216198,39808,-241197,-26061,16189,573,-464742,-201108,-7349,-7346,easy
72722,22955,11639,7593,-61792,-16129,-10486,-4763,22408,14358,5765,-3668,1845,-11704,-9700,-6860,8826,-2838,-4482,-5066,difficult
175553,37342,11979,12961,237274,171669,9801,-9989,445525,327,7176,-9775,-161037,-28526,-9346,-8153,-97371,-15669,-10761,-6584,easy
428174,77120,54375,26981,1185806,184187,-28667,-7769,748929,193,-42047,-3914,-66678,343094,-35293,-2879,-424060,-71328,-53455,-23425,difficult
666500,152110,35132,43399,129662,728649,12468,-2030,-488444,-94723,-24196,-42418,-505385,-124237,-22224,-35703,-245810,24761,-29596,-37258,easy
232511,85248,28542,9735,46406,-17549,-17023,-3613,-44118,-55287,-8988,-1879,471927,283957,-1190,23033,1199973,279067,-4451,5788,difficult
514169,184687,73770,11952,680898,1013862,35720,18027,-413111,-158682,-53807,11488,-332919,-158928,-49763,3712,1197047,525025,-15728,101293,easy
135427,21905,9510,15778,345950,147909,-2435,-13239,1324578,38430,10612,-6310,-21461,11072,-4866,-9795,330463,29237,-4875,-7279,difficult
183402,15048,3126,3368,2422614,56399,16695,11027,-154480,-5302,1597,101,32456,22956,1551,-2320,-162510,4688,8156,5061,easy
368131,60866,12651,6789,-225551,63962,26624,58694,-319985,-47406,-10385,-4781,-236067,-45281,-10851,-2921,-156664,2744,11681,9394,difficult
533603,152942,16772,9053,-455470,-119144,-10825,-6412,271643,41588,-6982,6829,-441245,-46105,10963,3449,142871,-124615,3173,12887,easy
529125,75789,47980,15548,-317752,222104,4985,-1298,-465187,-47077,-46702,-15088,-521868,-59499,-32429,4165,-339810,-49518,-44273,-12078,difficult
309420,74777,22409,12336,184416,-56638,-13720,1968,484872,-13450,37776,-10029,-300166,-69250,-16133,-8345,1852911,62105,-11644,621,easy
653110,177890,37137,13220,-316464,-149914,-29814,-8639,-546456,-157371,-30933,-8218,744601,179113,-23169,62386,-578605,-154989,-23102,-1091,difficult
190698,68577,20616,4220,-88381,-47572,-13049,679,-150310,-17655,-9383,1073,1029800,501452,235091,54616,1658167,244009,-7837,59369,easy
721111,210362,41803,12428,-359717,-123723,-6132,9578,-701414,-192956,-36430,-11106,-692378,-204224,-40579,-8627,-494235,13140,-4301,-7849,difficult
142204,49513,7945,8131,803262,179104,9840,84587,755317,153676,9819,89779,140558,434431,1538,15638,25985,-34754,-6945,-3009,easy
370302,128277,24304,17475,-140544,189432,-19096,-12347,-338712,-96138,-19196,-15676,-353680,-125327,-21661,-13394,392108,176856,-22424,611,difficult
277643,70280,9782,8762,92860,-18747,2252,-203,-103627,-62024,-4869,-6665,-126734,-53194,-7039,-5098,-267875,-23530,-3204,7965,easy
320374,149973,39653,21542,1605976,472028,184774,60394,1078171,3733,-27401,-8401,1566948,78655,-312,1129,2414459,100345,35990,52126,difficult
467174,116674,19793,24362,-263430,279766,87449,26758,-374589,-61509,-3609,-20721,1067088,-18421,44804,-536,769952,-101063,-14675,-12136,easy
146585,115809,16699,29879,361739,164942,429,-7715,22244,60628,54070,-21051,-110757,-113644,-13033,-28511,111907,-93527,899,-26079,difficult
256333,103784,20605,14115,-106483,145057,28185,14225,-135738,35047,-20100,-1127,-24119,-84204,-19976,-10821,424139,-60144,-5282,340,easy
218230,233638,16159,7633,-46543,-70149,-6729,587,843836,-58828,26722,22565,519053,50790,153363,18388,-52115,-193182,-14698,-2738,difficult
460245,53953,24323,19970,571699,-5049,-22272,10554,145872,2320,-17495,-18352,-172464,66571,-22926,-15449,-437357,-2025,-1769,-3557,easy
64454,51991,12633,3424,2752687,1686276,133162,39630,48599,4652,-5176,1414,499528,1596,7850,39145,53651,-21455,-937,6808,difficult
51763,48141,42715,10128,224714,74459,-20425,8379,85205,-22627,-40172,-7024,130851,72336,-7753,-4397,-45492,-40041,-33991,-4170,easy
692006,94623,40427,15871,-335230,1261,-12963,29211,-358323,60223,32170,4027,-679907,-89855,-39490,-13849,-569410,72578,-24997,-8295,difficult
