delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,state
259025,30617,4298,11733,2969,5725,3199,4091,-142028,-11504,-535,-5234,-1003,-3933,-1117,-3149,-251802,-18448,-2434,1609,1303,12350,1828,-896,difficult
430795,56127,8223,8883,3891,6017,2557,1379,-425389,-49233,5031,36544,-1351,-780,1428,335,-421752,-50815,2902,50646,497,-122,-1206,35,easy
580843,14392,14134,16298,13885,5968,5271,2406,3656,296283,-2042,135197,27723,35196,30210,10889,-560183,-10983,-12839,27937,10830,8556,7611,2593,difficult
115758,65909,8552,9170,6990,4380,3156,1726,-63284,-55836,-6058,-6793,-6484,-4144,-2829,-1545,72165,-18546,-7853,-6179,-5957,-3049,-2307,-958,easy
55114,43971,11552,44201,4948,5071,4311,2981,-42964,-30014,-6361,15707,-494,-980,-2829,-344,-39130,-37987,-8060,-7434,-1308,6833,-3197,-1278,difficult
48827,44044,12958,15323,8419,8358,6755,2676,-47352,-39454,-8882,57642,-3890,-1588,-4515,1071,-33608,-36061,163,36434,-1870,-3178,-4121,-1157,easy
37155,7724,4215,26620,10532,4902,2851,3351,-34340,3440,-1030,14325,-6954,60,-1906,-1545,-24768,7259,-163,-3246,-5082,-1117,-840,-1543,difficult
222685,48404,27511,6494,4224,5344,1032,1467,-163435,-30072,-26870,-5300,-3441,-3757,-513,-831,-167332,-27534,-20685,-4302,-3507,-4076,-501,-1058,easy
11480,4087,30873,50019,5551,11123,6424,2287,3076,-1547,-14127,63994,17858,206,14,1927,-6984,7229,-20777,-12860,5918,-4683,-3443,-454,difficult
153508,24383,6317,20672,3789,4668,1846,3055,-149431,-16874,5619,25735,1032,5071,3280,5483,-146426,-5569,345,39301,972,5416,1888,2012,easy
846539,301242,28442,7918,13287,7416,5069,2426,-698431,-270326,-24562,-2838,-9948,-6122,-4544,-1035,-837335,-286816,-24440,-5653,-11172,-2048,-4438,-1609,difficult
797283,104861,18891,10834,11792,3233,2842,2157,-473129,-52747,-14607,-4009,-6710,112,-2018,-988,-730229,-99277,-18471,-8084,-10691,-1652,-2224,-1380,easy
494483,71304,10028,9155,7908,4688,2975,1387,2052559,-40530,-5721,-228,172,4301,1848,905,-478374,-66527,-7767,-2866,-3783,3710,11416,2639,difficult
428354,38243,12572,18300,3804,7940,5292,4515,-420535,-12715,26302,143630,764,-765,-1410,-2107,-426823,-32546,8510,26878,212,-927,2188,-1520,easy
626484,51611,15497,22078,7748,9419,6736,9418,-621903,-43966,21733,7045,37322,12407,-1326,5729,-618232,-33501,17938,7985,-3631,4924,-1660,744,difficult
874916,323980,104084,153835,15932,28817,65387,50444,-814384,-276036,-102179,-145686,-14005,-27438,-64519,-49814,-834936,-308815,-101334,-114517,-13771,-23170,-62574,-49818,easy
