delta_ave,theta_ave,lowalpha_ave,highalpha_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,state
106800,15838,6913,3701,-12492,92162,17593,5769,140348,19933,27544,10132,-55337,30123,16028,61176,146056,113564,28115,14902,-67911,10764,-3398,2004,difficult
818791,235649,43702,14051,-646515,-173847,-39316,-11265,-496837,-213704,-40294,-10975,-789782,-213595,-25267,33550,-798591,-216642,-39362,37962,-731275,-194405,-38209,9211,easy
1244585,232085,6310,16911,-1235724,-226587,-22,-15213,-1230074,-223312,-5006,-14413,-1048471,-201790,-5201,-15492,-422674,-56978,344942,56910,-964386,-215218,1542,-9314,difficult
325855,71998,23300,9278,-316040,-65391,-15816,-2145,353994,-21563,-6414,-4148,-306447,-68946,-19746,-6639,-310927,-58612,-17324,-1532,385872,-36898,-15046,-4625,easy
55314,22971,1923,5312,358028,3349,-1562,-2437,-50483,-18101,1344,-675,-52942,-19532,10247,2100,169744,26250,5313,-846,-46096,-15013,532,-3445,difficult
41847,19455,4113,5289,-37311,-9590,206,10954,108141,58656,11983,-969,-25994,-4853,-2007,-826,2911099,173214,83931,12295,-34078,-13199,-348,-2059,easy
593469,143829,32073,15540,1061951,-11574,49698,54690,-526889,-120096,-30089,-3409,-590996,-137664,-31325,-14470,-576646,-139578,-10721,-2846,-565394,-126665,-25801,-12585,difficult
103811,22141,6006,2978,1979951,152881,33800,53750,-95873,-19112,-5060,288,-96598,-19757,-1054,6296,240381,60550,12740,11499,1609356,209776,90852,71619,easy
564348,36435,8921,8744,-559904,-32604,-2093,-5071,-478286,-26772,-5820,-7392,-560918,-22542,-6432,-4266,-430696,-10960,-7368,-5928,-518035,-22757,-2871,-3535,difficult
31228,14605,2830,6264,721281,11915,-999,-321,-22807,-7572,-870,-5368,347054,-3708,13949,2931,56797,-2488,-2404,-5413,-16286,-13027,-1144,-4256,easy
351591,58188,6230,7347,349623,61259,3588,-5192,-307193,-30429,-1457,-6457,-346784,-48007,-5197,-3342,-167975,22865,10153,1425,-277632,-53121,-5189,-6374,difficult
60837,28815,5760,2122,-28816,-9184,17854,34780,974914,170356,13133,13189,43367,41331,28914,14659,48631,-15519,-5135,-1949,-59937,-27587,-4572,-1232,easy
654735,135639,25649,29112,-469514,-99154,-22581,-11665,-639934,-131676,-24837,-25418,-653709,-120051,-22721,-26409,-607569,-113639,-23532,-26398,-653801,-116272,-24085,-26340,difficult
208109,26501,9348,5202,372384,94004,2079,8415,-168448,-16663,-3523,-1651,-198194,19988,6363,-276,270110,245301,29013,8686,65039,-187,-3791,-3623,easy
671463,202444,14418,19283,-556112,-102432,-8959,-13220,-525996,-137073,-11913,-15291,1391571,147918,5206,3648,-503110,-141975,-12529,-15074,-621024,-156840,-13784,-16891,difficult
143694,39132,3549,8685,59445,50830,49066,5763,-129497,-32567,23268,-5338,-140628,-33676,6210,-7178,-81038,-31013,-1843,-4757,84845,19676,10470,430,easy
19085,11521,6862,5043,140309,28068,-5992,-1137,-10797,-5303,-3587,65615,558407,-3389,-314,3667,-15986,-8968,-5593,555,179098,13691,6844,-2988,difficult
