delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
630308,48932,26129,12102,4960,6548,4453,3140,885766,89685,14196,19553,19221,13294,7655,8188,353933,64647,56757,-3196,-12209,-2501,-1691,-5434,-476095,-71443,3493,-7492,-10976,-7421,-180,-2644,-273819,-80039,-12701,-16684,-16765,-10760,-6551,-6636,-625852,-76176,181,-2431,-17095,-6301,-4386,-5478,easy
446712,82749,25686,12606,8502,7760,3467,8029,954185,589008,50808,133463,23332,23431,7953,7306,-165007,-376970,-23906,-114753,-289,-7799,1248,16646,-283945,-548963,-36733,-126601,-20983,-18629,-6582,-5529,-725210,-547115,-3922,-117829,-16401,-16566,-6981,-4262,-855730,-551987,-35929,-124246,-21647,-19690,-5629,-3963,difficult
1163183,107700,19295,30008,43169,14607,10751,8164,977969,204799,25690,37995,30085,31453,13418,6299,299476,-92232,-3020,12236,59995,-10656,8922,17523,-559454,-186825,-17271,-5496,-24637,-25788,-9503,-4213,-138778,-156109,-22034,-30839,-7128,-22940,-11823,-4719,1139612,46769,16746,-7850,24107,-8000,1735,-1133,easy
380127,112900,23086,20552,10506,6748,3438,3137,406339,73798,36532,44502,19102,12111,5360,3018,-23787,43170,-11534,-6919,-14539,-3735,-1848,-1055,-83217,-5629,-27974,-39811,-12133,-7520,-2970,-658,59042,149246,11782,-10960,7105,-2203,1535,3582,-56887,-30380,-26059,-38110,-14817,-7996,-4406,-1393,difficult
1088011,91372,73536,25886,14870,14091,5059,5559,636725,124016,51753,72923,30126,12789,6522,4101,1137581,20776,77332,-27164,-11797,-1241,-2046,7508,-529505,-104867,-50478,-69482,-28025,-10404,-5892,-3733,1354828,-27181,-13669,-56560,-19340,4099,1497,848,-157759,-19305,73947,-34944,-1862,12755,588,1210,easy
800396,196830,39027,25141,9251,16176,14967,9161,1125276,426498,107439,42379,19187,18712,9441,5909,-54358,-317597,-48957,1130,-13602,-1792,-1108,5562,-725599,-92374,-60261,-33539,-8308,4317,19657,3041,-249553,-289781,-82866,-37321,-7396,-12968,-2706,-2535,-270012,-218922,-81565,776,-10438,297,6260,6940,difficult
950560,174050,28075,17283,22858,19847,5205,5453,1015541,288527,95459,88237,42767,13409,15393,7896,763977,180669,-24801,-56732,23178,52056,-229,9652,-647654,-266508,-87402,-84835,-40191,-11923,-13616,-6842,349513,-114802,-70456,-60327,-26995,-3182,-13158,-5545,-725759,-257268,-86877,-81923,-35628,-11198,-13751,-7039,easy
1497430,148565,83920,57721,10653,19721,11169,7323,761555,333573,32760,27968,15361,9766,5231,4798,1240768,84473,143152,124876,9587,35768,30234,15409,-182603,-273272,-21057,-20553,-11419,-5935,-3292,-2435,1144125,-285102,-2643,12320,-12715,12700,-3028,-677,741210,-266133,85188,2370,-4284,-2712,-164,-2197,difficult
1191770,189614,14213,10958,9052,9297,4172,2550,995890,85013,35203,17084,8189,9496,4507,3239,-539881,-62561,-29309,-12594,-5903,-4856,-3827,-2682,512743,332882,-18054,-9319,5906,15647,1024,-129,-690997,-67266,-24640,-14206,-1343,-7601,-2533,-89,1501654,215350,-11956,11614,4793,-3986,3994,145,easy
479335,138137,67693,20035,13322,7474,6200,7706,1080950,176577,13426,6471,6142,3629,4160,3159,-679125,-167749,9789,8432,-3712,-1836,-2022,2028,-411651,-24225,111961,22056,8582,8635,1487,5414,-581159,27121,43073,20560,7334,6312,8142,9385,-734527,11091,52246,3207,16516,2268,552,1361,difficult
1109482,90772,14035,12050,4905,7524,5421,4242,881333,77098,23743,27307,13698,11382,9293,4800,743785,-26329,-11578,-23116,-10968,-6743,-5926,-3729,709567,-26698,1022,-11580,-3313,-2407,-3220,1440,252600,141421,-8273,-5720,-8681,3853,1733,4166,-793356,-33697,-20004,-20613,-12210,-10136,-8076,-4111,easy
765290,88718,25056,27693,14917,8167,6966,3393,838456,216464,45711,55666,24792,14892,10167,14186,-483712,-89998,-20996,-43244,-13830,-8058,3062,-9561,-302347,-125327,-17713,-38032,-9127,-9812,-5640,-11526,409382,-166427,-25335,-11422,-18393,-6620,-4243,-10195,84011,-129233,-18576,-19196,1848,-2409,-5983,-11892,difficult
672239,147656,20251,14025,9300,10890,4185,3012,993590,171596,63130,93386,54177,25330,9513,17320,-784029,-154683,-52994,-78381,-52122,-20183,-7215,-14923,998784,33275,-30448,-76649,-39622,-1080,-2078,-12730,-611266,169598,-47911,-77686,-43664,-12969,-4410,-12960,-888892,-143950,-40162,-84730,-44101,-23529,-7610,-16618,easy
720955,157191,28047,25445,16975,6998,5385,4570,1351336,206127,25316,24690,30191,9430,7834,4431,-619297,-107589,5576,-10819,-10841,156,-3959,-577,-1042537,162766,24962,4796,-13045,527,-2609,6242,-1088230,-175950,-2979,-20313,-26858,-7425,-6282,-3795,228539,-74973,-16635,29357,-2122,-2985,3053,-1314,difficult
696278,387488,58850,31190,11224,18670,4911,9299,624464,425007,34076,32524,27418,13198,11918,14349,65052,909230,176516,4385,4193,37566,-1512,11591,568828,-345515,-22826,7073,-22569,-5550,-8073,-9524,-200472,-315038,-24554,10771,-20587,981,-8363,-8744,-146154,-398752,-30041,-27566,-25812,-11110,-10080,-13523,easy
853150,145768,39340,35098,11772,10382,5481,3230,1236212,484644,136757,104842,39142,25074,15261,14550,-1154319,-392797,-133422,-93215,-34020,-22429,-13047,-13930,-591356,-121683,-10086,-81970,-28376,-18714,-8562,-11012,256845,-445540,-127303,-38784,-31337,-15043,-11198,-10021,-43420,-395484,-118859,-65009,-15747,-2581,-6315,-10317,difficult
1305159,304247,27294,33032,16676,18473,6109,7879,668752,110618,36190,32476,13117,12591,3550,3158,1986748,-15586,13654,-11862,16507,-8307,567,7423,1072700,942704,-2297,36809,15119,47021,7847,13575,130011,-55013,-14232,6123,-4522,-3095,4469,906,-643831,-97591,-32709,-28848,-12868,-12092,-2649,-3019,easy
1150503,111193,53617,50749,23862,20709,10970,6013,896491,82916,59270,22216,16031,17886,10037,10015,1028716,46102,-42341,30519,-383,-4069,4043,-5350,-716946,-59019,-47227,-20554,-1813,-15811,-8415,-9282,1488086,172491,117413,118588,45724,46043,16239,7644,-783807,-46468,-50456,-14420,-12206,-14873,-8137,-9021,difficult
1958456,397395,29412,85820,26024,16451,14844,3906,671994,213395,45141,54005,23045,12741,14281,16673,3016402,-14189,-32993,64804,18424,6773,800,-12706,736113,767444,39929,118313,-3087,1643,17231,-12431,1636929,130239,-27700,-19632,12475,10945,-3083,-10423,-243598,-147496,-42152,-36225,-15896,-4523,-12698,-15508,easy
958638,156735,61977,14149,13975,10237,12669,7434,1005120,74104,14184,27648,5812,8686,3480,4070,-945377,-25242,-8153,-25791,-1681,-5714,-1636,-2604,-820652,-24800,-6665,-24407,-4980,-7062,-2290,-3120,2067352,138570,166962,12589,27918,18480,35097,14745,-487253,241995,39026,-16388,11396,500,5585,4433,difficult
883803,52908,27863,11894,9515,4201,3776,1527,538915,113801,15656,17652,2758,10430,5500,2579,847145,-90813,-13435,-12006,-825,-8341,-3047,-998,-338385,-43050,32582,-13340,7114,-5943,-2421,-1233,689002,-61881,36274,-3407,17177,-3907,1978,-876,181791,-47828,-6595,5720,3563,-6727,-3405,-1100,easy
363683,42946,22493,6317,2564,2713,1664,2016,183704,19954,7894,4303,2764,2174,1204,899,430104,20674,23230,-2604,535,-627,266,1742,-39315,32503,874,7746,-1368,3345,212,21,403238,30601,14477,4822,1774,-203,1278,1957,-74110,8191,19813,-1907,-1741,-358,82,747,difficult
597824,309407,60319,43393,22544,19634,7584,6978,604052,429768,53191,66146,24780,17079,17779,8496,-307425,426327,116128,-15456,4977,7536,-8957,-556,264282,-294495,-23979,-6319,17035,13257,-10397,3657,-534437,-394973,-37682,-57154,-15045,-13642,-16336,-7142,552667,-218304,-25954,-12082,-15913,3068,-5089,-2032,easy
466416,112729,30185,37712,3694,6673,4497,2849,872902,597101,96011,50977,41617,17821,10663,11483,-43472,-555125,-51036,43120,-35812,-8076,-1163,-7196,-707113,-587645,-92332,-47247,-41112,-17009,-9876,-11336,-518351,-318560,-27886,-3565,-36504,-7437,-4732,-7076,-357009,-476160,-92049,-45368,-38266,-12070,-8892,-8928,difficult
1223844,79841,30753,9064,12137,8231,3890,3676,2357592,619777,161455,148690,26957,49154,29851,16781,-1818257,-610831,-156955,-145181,-22451,-44534,-27902,-16168,-1788577,-593261,-151398,-141995,-25293,-45563,-28550,-14741,-585429,-428863,-119979,-143124,-13991,-35779,-25525,-12925,-342730,-526789,-94476,-128203,2454,-37816,-21866,-8588,easy
1135176,125407,71733,19441,21463,8216,7043,5703,1711618,89844,47367,63012,22004,10397,6099,4864,-353040,-28143,3377,-37897,5287,-5549,6808,4013,-147728,203525,96170,-33811,4047,2515,-1787,816,-1124553,-36924,12499,-45853,-7299,-1195,-2589,-1965,-680446,3792,-14582,-56723,-4198,-4495,1343,492,difficult
774247,225091,18807,20053,10782,9549,4455,2364,945483,146735,28198,34017,8774,9611,4342,3681,-102587,-111103,-4114,-27807,676,-3364,460,-2357,-853996,-137981,-25574,-33403,-6138,-7983,-3878,-3091,-683456,-30378,-23796,-22596,-4966,-4271,-626,-802,955094,592886,15921,27948,18461,15370,4496,981,easy
519781,141252,47682,16645,11722,9150,7407,4899,359463,95440,22370,11506,12676,7225,4106,2499,-42737,75788,27050,29709,4700,3700,9046,1436,-79409,-50223,-9362,-6974,-10501,-6372,-3018,-1583,758374,107432,84992,1804,3977,11683,3848,2163,5042,50252,-1433,-3985,-1992,-1311,3329,7585,difficult
893983,149373,46291,37170,15727,19103,10588,9375,1405155,498759,41037,57875,38576,26566,13743,12688,-703186,-446587,-33577,-37494,-27919,-17571,-9342,-4888,230072,-257890,21543,-8089,-9564,15011,5546,-727,-936548,-458169,-33032,-49939,-36514,-19571,-11149,-8057,-635028,-234900,66080,12703,-17400,-7722,2325,419,easy
1004636,570370,63307,11678,12587,17039,6861,6394,871117,64320,18664,18821,10458,7225,5255,7074,228659,233514,16364,-10826,-3212,16279,-859,-2032,-806695,-16890,7023,-14082,-6277,-4638,-4106,-6071,-662826,-10210,-8320,-11281,-8525,-5963,-3267,-6169,1774938,1817786,163503,7616,26531,33579,14655,11551,difficult
530300,68752,32120,27988,5637,17054,4724,4921,420516,356878,52703,72287,21145,11339,5996,8414,-401024,-342089,-47377,-71226,-19680,-10062,-5576,-8191,464073,-335122,-39224,-69877,-16215,-7988,-4601,-4526,97066,-288661,-2468,-13523,-13470,11419,2793,1696,279022,-186633,6735,-22571,-12668,29490,2297,-2952,easy
950652,189871,23760,42896,17798,21685,16266,6608,1212430,608978,38353,37798,25661,38772,18464,21739,-332702,-508019,-29965,-5017,-11803,-30109,-7925,-16533,209252,-136507,8676,10538,5036,18345,26205,-9043,168172,-485294,-15699,46440,-2474,-20910,-13937,-15831,-1091836,-546610,-21386,-31571,-22212,-35674,-13134,-19116,difficult
