delta_ave,theta_ave,lowalpha_ave,highalpha_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,state
401964,39223,6570,10225,-301628,-27803,-1515,-3580,-363948,-23031,-3828,-6451,-350335,-30395,-3562,-4778,-385871,-32273,-5695,-8201,easy
566543,70652,9531,16856,91705,88819,54051,-3322,95435,87893,23797,-13774,-458998,-47329,-1769,-13140,-551518,-24313,-4174,-14201,difficult
352561,159406,20453,12011,-243148,-141332,-3379,-2674,-215458,-139829,-18702,-4024,-317240,-135205,219,10061,1102996,-93870,-13927,-2863,easy
357327,134321,23989,31477,338815,-66271,-20053,-11369,43770,82196,31619,-22888,216012,-71359,21011,34543,606728,59422,5551,-5328,difficult
145497,72664,12901,9181,528260,71712,96169,39309,1098408,174219,30153,-1842,252793,179614,-420,3554,2108765,253545,32025,-5653,easy
169883,47335,8819,9080,1507046,130874,67604,-6217,-97498,-5836,-4847,-4129,-115091,-18545,8478,-4885,516237,50955,20688,-4507,difficult
183072,57774,20126,3777,-42925,-26048,-16159,-2984,475807,14507,-17584,5673,66811,-35013,26932,1018,-94237,-9347,-4427,24231,easy
59558,36981,1401,5302,-23434,-22530,-3,-3511,591041,180882,82501,27989,106540,-17618,4490,-4083,-46092,-20851,1178,-2213,difficult
211959,50731,8336,3696,-201877,-37109,-6256,-1072,365185,-32176,187,6011,387316,24266,13382,13243,-175011,-10757,-6529,-45,easy
401609,95754,23943,10043,160135,-9450,-18000,-6767,48883,112062,19022,17011,-248703,-16757,-9272,2871,136393,-77988,-17925,5141,difficult
476738,133029,22730,9851,277251,154020,11187,16015,439262,474647,-779,20471,-449728,-116975,-17908,-8463,-372829,-99981,-11924,-6222,easy
428911,153602,40251,29159,-285334,-113914,-37830,-27533,1395010,-65824,-5553,28560,-378749,-131866,-36885,-10945,-252760,141632,-30975,-13243,difficult
285906,95535,31317,14007,-137353,-35127,-26519,-6668,410946,-59011,-6339,-10061,-279135,-88195,-29193,-6862,-196708,-63872,-24040,-13007,easy
655026,182818,13055,15130,566451,467480,91163,42386,-281238,-103293,29671,-1453,41580,-90855,20422,253,-151499,117432,-4398,-7509,difficult
1583718,130962,21894,23203,-1341392,-46115,27444,-15065,50896,375545,27968,-7468,-265418,386912,-14966,-2852,-1562477,-112034,-7561,-19999,easy
568606,35840,11225,13803,-498330,-20154,-2048,-9243,-524118,-20108,-6914,-10355,-393125,-24412,-8824,3430,-482920,-27970,-6284,-11578,difficult
745501,119977,11089,5833,-284635,-86174,-3544,-1499,-660763,-95600,855,-3205,596183,56817,48356,38801,-709546,-112897,-4304,-708,easy
586485,61992,17612,9043,-423221,2098,-3594,-282,-91326,15002,22252,15079,-582943,-57415,-14958,-4417,-495064,-55223,-16248,-6137,difficult
791126,86669,25657,5250,-463481,-74286,-21449,-1992,-670380,-9316,-949,26332,-402084,-48221,-20604,-4368,-712316,-64054,-23366,-1995,easy
1654684,360661,140413,138705,-1579628,-355083,-136698,-133313,-760888,-303533,-135331,-120980,326251,700989,236486,81718,-728057,-325839,-122589,-125372,difficult
1123621,66974,22647,27738,-578849,17192,102460,-1437,-558562,100808,5625,-5270,274792,881010,114532,62458,-925811,-30506,-15350,-22950,easy
135052,28343,1944,5379,-119109,-11382,-693,5392,60106,-23216,94,1133,-95385,30198,15973,2005,-51222,15558,48072,6136,difficult
647284,262744,59247,98371,848967,-89271,44446,-84290,1073158,427131,119016,-34162,-303907,-96327,-31616,-84766,1396425,-203058,-32700,-79392,easy
34103,17302,3944,8973,11006,15900,-375,-6198,-14305,-3503,-2375,-7026,-29010,-15071,820,24407,-28044,-7504,11756,-3816,difficult
524332,55052,6366,7601,172903,298623,70677,3759,-250619,-30190,-3685,733,174554,55191,10260,5997,1401671,462911,262322,73377,easy
468426,403029,69104,66386,-309958,-389371,-66107,-66147,-359362,-400704,-66118,-63355,-220849,-378301,-63987,-55688,1439810,-178497,216186,15975,difficult
675291,198252,27999,21287,652335,1004925,83735,16011,-525722,-172678,-13202,-14703,-503193,276581,-13858,3336,-637468,-150720,-4508,-17274,easy
1016004,41699,13619,5704,-121384,89893,15414,1839,-485956,28664,-5342,1344,512319,99585,94731,19894,-714761,76677,-71,29365,difficult
157163,28736,3608,3555,-11621,-2232,6575,-1063,256672,76908,27866,6460,-138281,-4167,-711,-2638,-149258,9658,6457,11867,easy
88352,33473,2895,6075,-49424,-21181,-2072,-5527,27307,-16870,-1683,-4607,-44247,-21667,-1766,817,-57257,-13603,-2390,327,difficult
275552,45155,7016,3692,-269367,-40957,-4629,-1141,-258911,-39898,-2545,3718,-117272,-24903,-4333,4438,-165636,-42038,-4449,-2451,easy
284201,43153,5211,9590,15450,-24331,-1053,-1202,-38875,55227,1245,-4660,-263947,-41600,-2656,-9079,-199826,8627,20996,-906,difficult
504816,87783,13747,12167,-326511,-10885,-1651,10980,-456746,-36974,-10417,-3297,-427724,-69856,-8129,3042,-422760,-49510,-4147,-10975,easy
426557,183665,56304,13658,1443669,-111864,-8938,-9399,-284483,15978,25176,44940,1114631,-83651,-45876,-1698,67634,-36728,-45846,-5352,difficult
407772,220494,15434,18162,-351154,-153863,-11819,-11777,-347038,-188731,-11667,-15038,-356975,-207116,-14577,-17329,-356951,-209298,-6826,-15751,easy
1333145,165767,25028,33167,1391544,178186,10718,-15055,-985999,-36166,-9055,-25320,-784862,-102814,-22230,-23149,-1027647,-102076,-12854,-5971,difficult
188209,25335,6268,8289,-98005,-9230,-3218,16728,-105398,-14068,1792,-2733,531632,283018,-1572,15063,111141,46012,29824,30685,easy
483022,53819,30981,18149,-473435,-37557,-20761,-14371,-364420,-15942,-29288,-14473,-183329,-37877,-25328,-16189,-478436,-45846,-21115,-16984,difficult
360568,82305,13847,9374,361376,-62758,3502,-3873,-25827,-21608,14987,-3732,-269897,-50742,-7505,-2391,-85102,-53593,-10334,-4493,easy
253791,134084,37568,18212,-212177,-132462,-36193,-15298,159726,-31833,-26976,-4757,-195429,120589,-24119,-3153,163367,-70199,27048,66417,difficult
1389877,603794,91345,40307,-1227254,-602105,-90803,-37930,-854450,-459904,-69233,-29741,1034217,-389473,35069,-12372,-1185715,-541756,-88444,-34542,easy
155984,90942,35172,3255,-104832,-63815,-30983,-829,638951,-25529,24830,57773,1052010,403351,25743,29549,621190,9396,-24759,11729,difficult
1192929,740350,81933,72467,-881371,-715149,-58242,-56405,-902659,-561481,-70504,-63001,-789827,-571866,-44389,-28888,451309,-362012,-55370,-16173,easy
91880,87700,34298,15198,1130024,58512,45891,374,-86746,-72404,-31475,-13589,56884,-66600,-28742,2986,-33517,-67511,14973,17425,difficult
607657,45647,42884,9793,160556,841462,203175,206318,545362,158238,2228,12976,1654630,497349,80479,125735,358847,161531,70315,51194,easy
23948,38232,17876,21601,63227,-35261,-16293,-19908,583,-23089,1126,22606,580134,149699,4800,-9278,11620,-8676,-8263,-14997,difficult
670500,280191,136422,84529,-470932,-78763,-107587,-74171,-532297,-127085,-104750,-72842,-361501,-225287,-123057,-81867,1947197,-77633,-19263,5327,easy
470679,115218,37212,21923,326572,64437,-28289,-6082,126628,-51071,-28363,-20036,-452594,-112431,-37148,-21736,-49163,95535,-13490,-6137,difficult
1033997,161617,43625,13944,898806,245815,45105,102976,782124,-128642,690,6492,-841742,-126101,-38613,-12116,-956536,-135324,-40369,-3032,easy
817316,320055,112649,28918,-799125,-317517,-112143,-27392,-103393,-224334,-59656,1879,1359410,-175408,-20704,20904,-768782,-286598,-110375,-27056,difficult
237116,30465,6563,1858,-143359,-6224,-5460,3568,-150066,63663,12155,12786,240357,579969,-3926,14397,-125875,794,-3454,91,easy
700433,47391,10641,7407,-96257,29611,27295,10383,2317699,164469,165175,54211,77411,93328,-7310,-4340,-331045,157691,81037,9068,difficult
293210,49221,8804,2278,-100871,114983,8751,7992,634624,265214,7314,13406,1993855,72323,16662,2196,-119908,-3099,-8224,3280,easy
137502,52905,6179,5629,-27393,-25171,-4842,-2502,-86182,-34759,-640,1406,-133059,-41408,-2881,-3187,-121141,-38682,9147,-2003,difficult
202775,140515,28247,73733,1496089,1597284,135606,64233,-92066,-118248,-26296,-70540,976331,77663,23221,-65030,-132456,-61710,-20540,-71517,easy
137275,32208,3170,3370,1123004,267209,40769,11910,9056,27474,12108,5031,-77573,-794,-641,1633,869536,202903,-2850,9258,difficult
506179,158686,45064,13231,-426672,-125357,-39545,-11319,-387377,-121981,-41442,-11658,-488449,-147525,-37822,15587,-287880,-112511,-42693,-9031,easy
160921,174524,27052,22248,595243,-125007,-5418,-16832,130184,-111548,2143,-5847,12472,-155620,-25030,-18342,277299,-96894,-7625,-13616,difficult
226635,17119,5695,3111,-2743,93073,5510,3050,303637,55874,25206,75551,749611,447404,156311,5579,-124744,5331,-4017,-1621,easy
1404818,247668,118027,18934,-786869,-181036,-104684,633,-780575,18620,-96311,28438,-258231,-217751,-115108,-9582,-351177,-188485,-97342,-9338,difficult
540750,161102,18210,29153,506591,47536,129476,62927,-239322,-117665,16731,-28730,280216,-50904,25058,-14829,-446867,-140726,-16526,-23043,easy
720398,63203,53321,34593,-717190,-58497,-50751,-32265,-716504,-57947,-51435,-33919,-566402,-42786,-44689,-21693,-648476,-43424,-40338,-30233,difficult
532373,112111,21771,16149,-440693,-86945,-18563,-12367,-93571,-33265,61146,-9295,181163,254061,-5385,-7588,-400929,-91317,-15410,-12282,easy
446624,67468,14798,5435,-396651,2282,-10565,-1194,-283377,-53795,-12726,-1149,-422084,-47476,-9809,4981,-407207,-59544,-4663,682,difficult
634948,169675,33605,27278,728172,819163,-1665,31818,-228877,-109564,-23897,-9616,-497372,-77799,-23713,-26875,617810,-90654,-14300,-21415,easy
315004,42849,20398,12528,-264908,56713,16972,-3424,-32494,14423,20538,1610,5472,180597,11297,-3915,-283272,-34999,-10285,-8778,difficult
