delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
106730,13283,30549,63804,6188,5827,1334,1793,13409,1140,-14145,-51946,-3941,-1648,-763,-1088,-98318,333,9223,40588,-2393,7707,2883,-453,-94946,10925,23549,10958,18173,9553,925,255,-101193,10056,80462,47682,-4225,9478,248,9,289770,33297,-14567,-49918,-89,-249,266,-929,difficult
156948,25883,20271,47995,13111,9127,1739,2123,362445,17446,11539,192107,18152,-3159,871,212,-132956,-2499,64803,52624,-1183,-704,976,-328,-142571,9601,-9772,-13316,-3658,-169,-600,-492,-144352,-17387,-13002,-4270,12328,-823,207,-292,-116061,-6063,622,11111,-8599,6634,566,-569,easy
165453,20683,15283,48329,4571,9938,4052,1663,-161408,-2965,180,155175,7428,-1800,-2492,459,-153578,-5031,4614,3809,4642,-1418,-1352,732,-155772,15359,56055,6400,3549,6326,-1821,-91,-162289,22228,84465,4524,12430,5720,-2351,630,653649,91114,7552,-33737,8401,1306,535,370,difficult
6393,12209,49818,118756,7890,17992,2166,1683,680,2779,141,96143,4121,-3982,276,-794,58755,11714,-35473,-63615,-2488,-15466,-1633,-1388,12106,-384,44866,54118,203,-1195,592,574,-3996,-9320,-10865,-10738,10681,-6336,-677,-204,26105,11513,-39623,-73323,1944,-9568,28,832,easy
26948,16136,10230,8998,11863,20262,12440,7567,91740,34447,-1360,-1267,-5481,-16882,-11208,-6667,405998,42562,12744,70056,13140,-6300,-10755,-5525,-2984,-12020,24352,61161,32620,7698,-10618,-6481,-16458,18263,20761,88648,-4579,-13224,-9544,-5278,161538,84705,-705,75280,7220,-287,-4969,-4672,difficult
22997,42853,32498,17731,11322,10903,1968,1259,176250,96918,64550,41525,38868,5399,1114,246,-10378,1491,103953,45701,-3192,2773,64,1906,-3903,-33980,9011,120599,-2634,-3500,-790,772,3415,-30570,-3963,121467,12566,-3622,1966,-2,107837,38608,-12777,3590,-8182,-7444,-1405,-823,easy
457042,112751,20523,17601,26097,14380,12597,8766,-126879,-35575,3572,34807,-15074,284,-6188,6850,-451576,-92128,30422,108253,-17237,-2614,-6977,-5917,-431544,-100481,-11212,79505,-15222,-2992,-10302,-8034,-449718,-92329,7705,24367,-21943,-2729,-11398,-7191,-241468,-54124,-532,-6591,-17691,-3327,-10839,-5982,difficult
156474,15980,8812,7920,4699,9536,3853,4367,277764,-2143,-1052,-60,-1084,-6480,-2406,-3412,-5284,147297,-5173,62078,15935,3458,4568,-921,-71191,4277,1528,73905,15804,2920,-1504,-2142,27188,192716,-1428,25859,3801,16525,13846,3152,231289,12282,1594,-4525,-1799,-3089,644,-2221,easy
401175,39381,15018,7470,3469,9025,2400,2913,-248017,-36631,-13118,-5978,-698,-7981,-2190,-2790,-391242,-33087,2669,145703,6140,-74,2421,-1829,-285995,608,581,86842,8293,5154,492,-1358,-242021,27827,-5659,1282,16904,2985,-786,-154,-323630,23518,-8779,642,2712,-3157,1207,742,difficult
420706,89403,38512,38872,15413,18874,5202,2555,-414336,-70775,-22342,21401,-4643,21865,-2984,689,-349565,-84250,-23806,-13810,-13648,-15692,-4570,-2277,-415268,-44889,-35703,23976,7288,14089,1303,-650,-386755,-57588,-4608,79718,4546,-6473,-933,279,291940,10544,-23354,-35821,-6185,7752,-305,686,easy
385566,41553,32185,93142,6123,7273,3986,2912,-355561,-21848,28757,29568,10287,12973,5445,-1294,-340019,-34569,-24642,-84544,-2473,110,-3311,-2082,-372128,12429,35692,69119,2988,3848,2835,-1573,-320118,-24534,-16630,-76076,-2669,-5108,-3530,-1867,413838,36600,-29991,-75785,8172,7497,1050,-614,difficult
