delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,state
546002,62926,60506,12570,27675,22542,1139955,349072,38559,28156,22380,63655,-922845,-249724,-22202,-21758,-11777,-52276,-1023204,-284512,477,-13644,-13973,-56212,-473732,-336198,-28864,-16289,2692,-44010,-974644,-290910,-33241,-16064,-10711,-52403,424662,-269384,193565,-10176,60245,-662,difficult
628796,296705,34457,36785,28337,40786,211657,42317,24425,13338,17280,34456,1017290,734545,9569,99385,49021,25422,1158742,254717,-1048,-543,13016,19001,-133435,52318,-13297,-8523,-6541,-17554,-166789,-6784,-12254,-13004,-12223,-25583,209887,237142,67191,39922,12011,30363,easy
270394,58555,37073,20177,28501,41784,494551,52764,13292,14947,27839,22306,115984,81219,130505,22617,13197,64412,183385,27031,-4189,28094,-8157,5814,-486966,-50537,1938,-12643,-810,6851,-475207,-23439,-1822,-13012,13889,16257,-457981,-5320,-7527,1094,-14808,4055,difficult
634505,131970,23217,20392,26241,22878,330857,86214,28012,13755,12387,21643,440511,123456,236,-3585,-3041,7169,341525,73776,-1234,3611,26952,-11686,302007,46038,-17596,1935,17124,-345,668415,28792,7732,41173,19890,28820,-234218,-43284,-13113,-9949,8343,-17785,easy
427629,61531,12982,11931,19631,26767,35345,31922,11509,7313,27137,15540,155930,-1228,-6826,2798,-9602,-4588,1429667,49257,26866,5815,-11008,10462,52658,111475,-2157,7157,4411,20967,130996,375,-4535,11978,2657,26845,192170,-11835,-5985,-4659,-23988,2451,difficult
1300543,499325,63576,56284,67878,40429,816001,62407,38493,5599,7098,10044,1171675,314491,38624,49755,16154,25535,-451698,-52252,-21972,33372,8039,2496,372467,1388121,58656,113067,195088,26106,1478842,129767,23534,46814,14206,34040,-148574,404462,26573,10418,70411,63746,easy
646319,43263,26896,20376,14507,11071,603335,200453,44336,57895,25398,30010,265602,-114325,-5164,-9775,-2435,-13297,-478844,-165310,-21322,-42991,-18280,-24706,-8024,-163347,-34967,-43695,-20479,-22412,120669,-176257,-7189,-44633,541,-16392,315515,-166713,-18560,-46502,-13800,-17887,difficult
856455,188192,47668,32256,40147,27322,384822,162286,48476,14594,11557,18009,-224461,-135920,-2174,-9967,1556,-10163,408302,90496,-20726,33567,53197,5518,10898,-82871,-27899,13219,11158,-2559,2424864,104680,14216,38637,37522,29886,-261440,153145,32544,12856,39515,23884,easy
224838,24320,7218,5617,8114,24131,441715,52626,2758,15408,11509,28748,150623,-20110,11191,-9708,1823,12769,-335691,-33956,716,-8415,-7852,-4643,-438513,-40834,-1087,-9191,-354,8516,-297517,-14438,2526,-11166,-3309,-13954,-163287,-32194,8955,-10473,-7284,-25775,difficult
1162068,402818,55502,49489,45740,37202,563012,95094,60853,60321,32409,25583,-324474,373813,22255,-30328,12423,915,1636317,513902,32501,3040,19965,35536,61246,-66707,-55470,-30080,-26198,-14620,1467396,6173,-41610,-20644,25,26749,154793,711437,15571,23854,60440,9514,easy
462151,35695,12944,14765,17494,29561,745431,218561,13011,10265,11059,40502,-694777,-185318,-11105,-8036,-7962,-37022,-681190,-175345,-1819,-4190,-957,-27418,-737762,-215489,-4181,-4188,35557,16950,-623562,-211114,-12380,-3226,-10373,-37804,1320890,-127062,29150,42140,15908,30588,difficult
763975,130021,29071,14458,16556,25277,859411,35782,27629,20190,24579,30645,111069,1530,-26466,-15305,-20694,-24481,-688990,302994,35554,17238,568,-3824,-575031,74870,-13787,-4128,-10631,-10093,1380380,120106,22191,-8485,10836,33416,-704607,-28303,-10281,-17979,-20193,-21860,easy
610401,158712,50886,35505,41985,41225,1549612,271334,35953,65972,14387,43134,-938566,270,-12070,-54357,10461,-21722,-1064462,-67465,130706,-17785,18580,9665,-411913,-98133,-19460,3089,111202,30851,-1297815,-200083,-27636,-40828,4879,4523,-983301,-197699,3125,-42454,-7133,-32860,difficult
150348,32069,9074,9287,14158,19558,1468827,179626,114279,65518,41088,27399,-1321032,-134096,-108440,-62994,-39289,-18066,-1457814,-170940,-108635,-55561,-25902,-6665,-1404620,-146465,-97338,-56955,-18395,-8117,-963288,-138472,-103872,-51168,-17576,-6157,-1445641,-147810,-107738,-54475,-33487,-200,easy
166675,90417,20988,16116,12065,14382,548565,33603,9265,3706,19230,24313,-181515,189220,-7837,23556,-6597,-5122,-530556,-18797,-6439,2020,-16515,-22476,-494981,84776,1352,11585,-3786,-44,-175007,5174,47035,21772,1517,-10030,-527393,23698,24503,3115,-10442,-11985,difficult
1151000,260609,68364,17848,19875,26417,215372,69719,26603,12951,11016,23529,547237,-40753,29145,-7031,15121,-11183,-125003,-47289,-15068,-3726,-1645,395,790145,10685,-21860,6891,-2039,-12226,713544,43291,10001,14229,5852,-10362,2752219,988516,206589,14123,27007,47817,easy
490512,112761,17981,27181,12753,46263,346992,73723,29417,33094,9679,13068,-133702,11533,-20544,-18231,-1694,-2387,-77447,-42480,-25922,-21388,-4719,-5987,1154183,206918,29938,9176,25965,153569,-7233,72119,-14573,27283,847,14519,-218199,-52901,-26081,-26405,-5027,6262,difficult
45488,39243,19648,7131,20002,20011,968112,139890,20553,11039,21042,41784,-957360,-115495,-8536,-8216,-6647,-19671,-875244,-111536,-3732,10216,4078,-18774,-951182,-135960,-19785,-9686,-11674,-35855,-889014,-123758,-12043,-8939,12981,-12109,-940322,-16487,39571,-2913,-3938,-22455,easy
564304,45647,11070,7590,22069,19524,388411,215179,26970,32998,26302,35739,426841,-188703,-22484,-25716,-18550,-25814,10035,-169530,-12611,-25835,-18898,-22145,-363725,-203660,-18509,-25157,10496,-11298,763179,-90059,-8600,-24567,12892,-7404,43133,-195707,-17294,-25766,-7107,-14413,difficult
248706,29317,7255,7689,15319,23163,429703,172907,22777,9786,6717,11672,-327978,-157098,-17000,-3843,3312,-4480,-123223,-151641,-7397,-4382,11410,12706,-370473,-140386,-20498,-995,7243,19794,-129695,-107794,-14614,7539,24308,39077,46382,-161033,-18103,-8804,-3264,-9644,easy
681469,134020,20453,32847,39328,55327,718322,169123,26693,34659,28809,34977,996229,125110,-6193,-2634,-11880,-6592,-326647,-108109,22596,-31541,23042,40040,-694817,-120121,-17336,-11339,-20895,27085,-158274,55099,-9331,58870,85078,68816,-754,-127495,-20938,-22417,-22749,-27598,difficult
