delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
776186,170358,40380,39093,26905,40835,24121,15794,-480835,-92662,-13622,-32975,-22157,-29977,-18261,-13456,-767812,-155236,-34144,-20519,-18664,-15917,-11712,-4884,-675215,-158259,-38286,-35010,-21648,-33262,-15374,-12003,-80463,77352,76370,17049,8906,-1187,-2992,-5783,-705713,-161757,-35573,-38256,-25129,-39353,-23031,-14064,easy
143262,141467,20179,17707,20158,21936,18190,7111,178938,75224,8656,11748,-11859,-12311,-9471,-2898,1912216,85537,-1867,45654,25006,6207,19389,5395,206328,-123810,-18907,-13927,-14641,13520,5932,29304,-109632,-107621,-11769,445,-18239,-14666,-16362,-5241,-128739,-108011,-7707,-8027,-8756,22597,-3928,2509,difficult
631756,130806,9148,7522,5107,26116,34780,12677,295896,-8076,15488,37752,40391,27827,5436,-4190,-173681,-86249,-1777,13832,3033,27792,-13262,10662,-513810,-103568,-7405,8779,1204,-19952,-31501,-9976,-484157,-45608,11865,5790,29402,18713,-2873,-1516,276541,-41591,28165,-3791,15083,3274,-17249,125,easy
1372136,165489,24563,19486,23221,43787,20231,12831,-1370562,-159240,-21696,-10106,-18139,2071,-5817,23229,-1356487,-152356,-20033,-17505,3544,7835,-4850,8906,-1350232,-139033,-3967,-14879,-16990,-19773,-7618,398,-1292994,-157159,-22602,-10965,-15273,-38296,-15193,-11037,-1350148,-146077,-10492,-6937,-17822,-38914,-18370,-10585,difficult
653714,26575,15233,14615,9979,13756,5594,5462,-612910,96441,1473,-10530,9559,51891,38454,7064,-641434,-13366,30421,16884,8246,81686,6122,26491,-540824,11677,-3636,-54,7413,-4872,-1282,-3382,-647618,-23230,-14638,-13979,-6208,-10286,-2248,-1366,-569566,30002,14751,-3453,545,1882,-2937,-2688,easy
314577,41892,14919,7457,7594,13772,12333,9381,-42197,-24510,4920,5366,-5118,-3587,-9197,-5067,-308499,-19636,-5321,2555,-699,43157,32003,11953,-301460,-32776,-407,59,-1631,33459,1567,-1838,-193255,76240,7781,23133,-3851,5719,-819,8704,-26440,187565,8900,17645,26696,55207,51995,16760,difficult
649380,48397,17982,12374,12539,20863,13263,5483,308843,-38827,-12068,-5935,-10708,-12110,-10098,-2047,-13062,197076,10689,-1489,2630,-6674,-9025,3492,-350124,12464,-10730,-4279,-5818,21731,9849,36081,-644906,-41737,-16051,-7681,12328,-282,18135,-101,-616722,3880,3058,-6963,-7763,-12920,-12568,-3479,easy
90854,14503,4371,11030,7078,12801,4220,5119,222412,88222,-1137,-6493,-3223,-3182,4915,-487,16766,2652,3265,-7318,914,-2792,-645,-2053,-64105,-6354,7279,2849,11891,21315,5057,2031,-77178,3553,-1770,4402,7846,8265,11296,3445,-480,391,-884,-7815,-3420,-10710,-2018,-4212,difficult
545954,66870,15663,27432,10296,64779,26742,21171,-375115,-49225,11691,-24901,-6352,-57510,-17456,-10912,-203914,-22652,-2174,-10689,18910,-14180,1177,-11465,-472267,-63799,-15204,-26468,-9410,-63757,-25326,-20215,-509038,32913,11960,1374,15115,-15521,-10420,2466,-539419,-66008,-13253,-25909,-9007,-61484,-24286,-20368,easy
262201,63557,11313,8515,6276,5119,2332,1846,-196244,-56327,-7010,-1850,-3134,-2784,270,195,-231340,-38836,-1434,1709,9448,12014,2872,5066,-191429,13640,20673,16734,2585,18316,4580,7762,631502,11240,4096,5228,6926,4183,3895,1876,-250640,-52803,-7469,-3390,-918,12859,4890,2579,difficult
397776,134453,13982,24462,4896,15194,5362,2329,-218302,-99021,-2290,-18465,3940,-4868,2053,857,300883,24449,13985,-15207,12546,-10361,395,543,-283335,-112186,-7966,-23072,11475,-10871,6361,3264,-255073,-58585,2712,6486,5703,2056,12970,9266,-327030,-240,7171,-17311,-1601,-10125,-2702,162,easy
137847,47345,10739,5804,4895,8631,4764,4979,-26223,-23665,-5275,-1172,-4274,-7259,-3290,-4225,-101347,-29929,-2122,2589,3804,-4828,-1867,-3769,10846,14968,5590,13850,881,-4211,-2807,-2781,-124294,-39137,-7763,-3754,-1859,-5005,-3714,-3775,-133231,-36117,-5767,-2742,-890,-2491,6640,-300,difficult
