delta_ave,theta_ave,lowalpha_ave,highalpha_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,state
62294,39626,20494,7485,86297,-16865,-14941,190,11159,40806,-15272,-4463,1091321,54458,-11453,1528,-55615,-30757,56962,10328,138158,7710,-3050,-6135,difficult
924984,261817,39452,30841,-911793,-254413,-34229,-28914,-661918,-260090,-36832,-29549,-908385,-62587,-9212,-26889,-699417,-225387,-7096,-23833,-880289,-231795,-31332,-25975,easy
575790,257662,17946,19666,-543198,-239926,-10325,-12319,383958,-122654,19993,-11521,640432,-188706,11870,-11268,-575029,-256229,-17241,-19193,424778,116410,36309,33229,difficult
177356,17733,4205,3435,-167216,-11416,103,898,-168280,-2190,9466,7938,601805,8827,22969,6899,-73494,-11003,3017,-878,-155685,2344,2971,5545,easy
297732,113548,21211,10426,-292234,-107902,-17967,-9073,-185155,-97489,-13798,-7655,-156823,-47491,-18303,-2349,-246442,-101946,-16410,-9664,-160356,-102826,-20237,4530,difficult
188218,44855,10673,8027,-54825,-1724,6169,8741,-125034,-33810,-9016,-4451,-72478,-18849,21273,-2566,-160404,-30331,-4660,-6760,-17883,-14842,875,-5274,easy
387369,20649,12536,12616,-56632,290494,10895,21137,-383398,-12667,-9872,-10888,45959,68024,10732,-6362,-15459,-3876,4030,-1223,-281777,4050,-10413,-787,difficult
115372,52227,11074,7170,-9774,-29758,6117,-2676,-89192,-43726,27995,7513,21244,-47114,4855,-5276,-87728,-34191,-6316,3070,-84968,-5446,-7961,5170,easy
58387,16178,9438,6691,-30253,-10207,-1237,-3507,29750,186564,28842,33419,-56109,-8529,-6075,-6012,182927,6701,-7094,-757,10179,24910,-3548,-5430,difficult
813916,84323,14192,8951,-775839,-78868,7474,-1617,-557142,-67805,-12341,-3866,-793252,-79818,24040,35984,221153,-31630,26905,13680,-603166,-73499,-8971,-7176,easy
774035,156214,25478,48161,-445534,13768,22390,-25448,-759401,-151738,-25012,-46168,-624965,-101561,-14651,-44372,-763986,-152860,-7538,-36023,-176085,-137274,-23596,-44424,difficult
94985,36950,7849,4532,-35094,-15030,-7278,-499,-93405,-25185,-2821,4219,-92887,-24037,12367,532,-89040,-31090,35175,791,-4397,-15862,-7168,-2323,easy
236467,62600,12474,37332,-221993,-50709,-2170,-34095,-226992,-55723,11851,-30634,-43050,15822,20116,-18550,-234948,-59926,-6537,-32379,-169690,119298,15274,-13566,difficult
373894,37481,13478,4424,-289221,18269,28280,1307,-364563,-34711,-7286,-1415,-315184,-24014,9511,30038,1433481,67051,4251,21137,-350123,-35755,-12559,-2087,easy
76031,29665,22113,5064,-60395,38329,-13104,5281,53407,-15074,-5536,2321,-73037,-17814,-12206,2955,21560,-22164,-14603,-3482,35104,3717,-2538,-2702,difficult
255434,105148,38780,18821,-234487,-98820,-30521,-11108,-143998,-83519,-36735,-16044,-246988,-85076,-28474,-13826,185608,-89591,-34911,-14881,-217048,-99181,-36606,-10737,easy
704464,133683,30275,11777,-701017,-120954,-19473,365,-689641,-109276,-10747,-4782,-394979,-122044,-22403,-3716,-686883,-128188,-28289,-6055,-588128,-98838,-23113,-2254,difficult
155729,64409,18626,14044,-140490,-58920,-10843,1218,-148609,-55420,27893,-1294,-114680,-47191,-10508,-12084,-88785,-9379,-1119,-1561,810918,23804,-2560,-3597,easy
330835,26528,14279,15310,-118434,-716,-4882,-12822,-256153,5009,-7563,-11409,-227646,16334,8010,-12312,-321387,-18803,-12785,-14023,-223685,11117,-12241,-10120,difficult
174323,20474,7606,4527,15993,4700,-5650,-2482,-83632,-17770,-1324,-4096,-127799,-6039,-6341,-3067,-163216,119435,156610,23019,-10199,43985,11127,140,easy
63136,25432,3464,6332,24823,-15764,-1809,-5875,263204,5256,-1236,-5314,-55870,-17825,-12,6659,-13563,17058,452,-718,1979412,308294,20983,36402,difficult
329939,59611,22330,9392,-320349,-56166,-20246,-8673,-325674,-51876,-10287,-4125,-13115,-12346,10351,8095,-314130,-52188,-8173,2060,-300323,-41330,-20013,-7792,easy
194120,108272,14159,13882,-117133,-55437,5359,410,-163188,-77792,7435,-10110,63427,-72915,-11382,-11512,609779,14093,-2000,-2164,-111398,-103339,-6749,-4433,difficult
99937,34568,11812,18401,350153,87200,-2334,64251,997676,24944,9692,-15355,-12409,-29612,-3642,-18157,-93902,-28771,34192,-7208,117875,-21198,-10365,-17811,easy
251156,58143,15549,18398,-140927,35264,-10180,-15590,-56387,748,-7377,-12037,1609413,310051,23991,18874,-241831,-40316,-13909,-14268,-176268,-26599,-14398,-16153,difficult
467964,61380,32078,18149,-456367,-53320,-17206,-11581,-352781,-43617,-27329,-13572,-240926,-12864,-13390,-6969,373531,4624,-19724,-12985,139481,6042,-13351,8836,easy
145850,15788,9131,4135,1339071,94044,-6094,16735,1614071,307288,26991,137182,40161,131484,32810,3215,390935,35385,13839,9980,-136372,21017,1176,13461,difficult
99955,24227,13542,7207,997475,80490,35379,8395,-96306,-16178,33847,7598,-95880,-8207,-10874,35278,173421,32670,61504,22288,10497,1409,-2087,684,easy
251027,34308,9800,10480,-227979,-9870,29726,-2660,-122445,40554,-8430,-8596,-247731,-26595,-8627,-3969,-228601,-18846,-4973,-1635,-167817,-27066,-7204,-9364,difficult
1352087,222607,63771,27943,-533074,-182718,-41069,-11229,-983967,-140406,-50152,-13698,-1077547,-213259,-53927,-2655,-622139,-125520,-59312,-4709,-1348149,-221486,-59412,-19667,easy
130032,34280,11401,7852,-103026,-469,-9660,-3811,3003338,362629,27599,14805,-42703,-13339,-8029,-4967,-124621,-27417,-3167,4038,37090,19865,848,11879,difficult
69022,26631,25481,5276,122009,-5802,-21100,-2252,-66762,-10246,8099,6451,-1208,-4588,-3677,-2632,-65069,66135,132228,7097,29042,195218,-10959,55,easy
62739,28865,5452,3674,-50530,-11875,8148,2979,-53485,19119,36395,10863,34357,-14474,-1531,4655,127259,9389,14729,10114,2008807,573736,181156,53235,difficult
255306,125160,15455,13272,-128453,-81280,-10322,-6285,-239458,-120274,-14830,-10996,63506,55446,69313,-6734,-169283,-69607,-5882,-1434,438160,535328,31414,59105,easy
168398,72045,14118,9171,-93888,-35625,-5091,-3613,-51614,-22036,-10311,-3556,-156574,-42722,15918,45024,-165742,-46935,47804,-6024,38220,-51607,-6574,6519,difficult
44358,15439,22647,5327,-37165,-12345,-7870,-2612,13553,19579,-11470,-3911,-20786,15607,-13570,-1425,112667,31190,8705,31784,283982,58085,-10726,-2919,easy
632347,45081,20810,11686,-629440,-29643,-8460,-4187,-526006,-16354,-8093,-8186,-533899,34034,-15312,-8370,-619001,-32373,-13301,-5839,-151103,-20642,-12230,-1859,difficult
727552,46005,16054,20399,-318117,68154,-12946,-14772,-511158,29286,-615,7231,72442,49788,-443,49973,110462,182609,85970,28536,153349,387950,26992,3160,easy
291090,42711,12682,5667,-222634,18069,-8242,-280,-286094,-39526,-4486,2997,-280620,-34932,4300,3750,-155512,33924,-2638,-340,2582940,226599,51760,44255,difficult
323738,46366,8098,4846,732024,-12475,37135,52253,-183507,-28271,-1827,-3237,-236439,-28161,-764,2430,-119084,-30421,2714,3199,1180142,93395,5051,44249,easy
1466131,149992,93502,17003,-1072901,-15386,-80011,35701,-1392729,-69876,-86483,-5117,-1073764,133161,-40485,9709,-1463375,-123287,-32356,3163,-1411237,-139935,-90616,-5187,difficult
76031,20761,28476,15769,48035,29851,-22476,-12403,12313,-6462,-24014,-13632,-74326,-19284,-19614,-3532,-43119,-10923,-22529,-13255,108762,200,-18830,-12700,easy
219207,35778,12828,14597,-181881,-30683,-1600,-10127,-217589,-33171,-11853,-12923,-217126,-23746,23697,-7443,-147619,-10109,-9424,-2912,-212778,-30711,93573,13276,difficult
363895,75940,9932,6008,-248572,-61674,-4436,10579,164161,-37280,-4440,-3114,-217903,-54367,-6276,-743,-347115,-71389,-7120,-4899,-53649,-32413,3300,1695,easy
114066,33597,9890,7926,-89981,-14165,3467,6286,396436,-13105,-998,-4190,-22553,-23573,7651,-6544,-38376,-24949,407,-1628,-80477,12778,133136,9590,difficult
270860,64439,74343,19459,1265902,108340,-31284,3667,-111976,90028,-68846,-13305,-245284,-34823,-65947,-11833,-187415,-39723,-63175,-17431,-202479,-56496,-71751,-17827,easy
1010683,87432,46802,24014,-449211,51980,11887,-9487,-929928,-78752,-45473,-21727,-991389,-50368,-37890,-18846,-942362,-57259,-43732,-20266,-901257,-51267,-44854,-13079,difficult
148502,23977,4693,5296,-34765,20806,13445,-3233,983412,241904,18358,25072,6123,10025,6897,1445,87280,138594,48217,26959,-143395,-11834,20936,-1598,easy
279954,72088,6828,11467,-264634,-29105,2056,-7193,-275218,-52307,35314,-8870,-32497,-48151,1183,-7511,-275189,-64165,14059,48563,257381,-34747,1347,-8267,difficult
790071,65598,14648,8109,-710290,-40954,-6407,4421,-650094,-41806,3371,-5021,-777738,-55584,-7925,-1462,-626100,24847,58114,13783,1327555,-18874,62670,37395,easy
37696,15056,4385,2049,244467,260443,31416,3456,663,-8498,4140,15718,301612,66468,8571,-959,803813,180239,73892,16074,116290,-5659,8672,3067,difficult
970812,93562,50114,32459,462995,70007,-11463,-13034,-905951,-78694,-48747,-31511,-769794,-72786,-40059,-26279,-964571,-69368,200247,-13854,-937324,-62530,-34854,-14272,easy
450682,284087,22654,8671,-416330,-270803,-14312,-1707,-273779,-246730,-9457,-5240,-435409,-256350,-16618,3231,-88259,-244212,-21765,-5089,-326274,-206984,5005,19083,difficult
515329,52046,20585,13250,8618,692487,16261,16202,-511312,-50512,-18337,-9956,-322388,-7729,-42,-9712,-510915,-50270,-15793,-9328,-389326,-47243,-18231,-10575,easy
419257,59863,16630,9486,-376430,24337,-4239,-474,-374645,-44624,730,-8008,-399121,-24855,7830,82344,-207655,-24331,-7268,3339,-413946,-50602,-5558,-3677,difficult
