delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
873624,199573,50458,21293,18491,14494,7428,7076,179069,38124,9242,7989,7133,4086,3763,3684,-152412,55381,22718,1244,561,-1942,-1265,248,2268986,305382,157915,61325,44617,20742,7804,3703,-152007,-12783,14796,6941,-5492,-1184,1145,-2131,1583936,489990,18074,1947,20603,35002,9386,16146,-75726,-30723,-7425,-4939,-3500,-579,1255,-1006,difficult
651822,180178,32237,15057,8043,7923,4871,2966,429424,181923,26841,17884,20959,18803,10650,18360,-254338,-166546,-24563,-14771,-15919,-17423,-9674,-17422,-228912,-128242,-10979,-10728,-17497,-15292,-7155,-15881,-27526,-159209,-17079,-10173,-16724,-12685,-6139,-15927,-299630,-165627,-24916,-13806,-18418,-14635,-8880,-17069,1922394,610901,104517,35341,3979,5633,2952,-10671,easy
1080775,210635,32209,16246,32304,19180,16153,10987,958110,379404,44743,19475,24002,21798,13679,12105,-761252,-144146,-12339,3888,48694,6799,7539,-273,1385809,113992,41434,14263,9727,14550,30617,10949,136898,-99075,-16046,936,17857,661,-3094,-774,-879589,-362622,-43575,-18676,-22863,-21237,-13023,-11805,731459,-351994,-32142,-16556,-11905,-13863,-9671,-3685,difficult
255092,59310,16550,11187,11076,5836,4184,2881,96749,44401,12146,7416,5364,3992,4679,1606,-25864,4683,6980,7485,7934,1707,-3182,-687,555033,76691,5189,5496,10789,5802,1601,4195,131483,-25349,3700,3546,1232,-1706,-2027,-212,-72999,1780,3363,5054,11007,1843,2046,2509,204063,16740,2790,-2727,-2404,1573,-915,571,easy
399759,58147,35648,23761,7620,10247,7746,6094,1005568,358896,11971,34382,13652,26444,8902,8294,30639,-224381,145198,74237,8129,3971,20174,14284,-328300,-249773,1002,-31706,-10939,-21301,-6250,-6603,-839292,-324090,-7855,-29861,-9523,-20065,-5410,-4935,-979658,-354684,-10449,-32503,-4740,-17846,-5906,-5720,-912435,-350818,-9513,-33273,-13086,-25742,-8386,-8027,difficult
626595,188264,60700,29198,21512,25773,15984,15160,410218,264970,39177,33902,14086,21946,13787,19747,137809,422873,86506,3519,32866,26762,27632,11545,1387913,-108703,92161,45733,23537,29034,4909,4787,-134415,-235661,-26637,-24360,-3282,-10578,-7229,-15287,-47157,-236064,-21993,-19127,-9202,-6744,-2289,-6460,-262264,-225976,-22421,-29283,-6790,-19340,-12040,-17521,easy
720507,92027,9227,24499,17848,13874,8667,8841,661674,68764,23868,14896,17106,21725,15272,7920,1326338,32227,-18939,44990,10113,-9714,5047,4403,103717,-31918,-5360,5797,-10930,-11327,-7462,6085,-429185,-779,-20412,-2625,-11570,-17010,-10838,-5502,-589880,-18887,-17497,-13020,-13295,-17853,-12990,-4302,-116827,135674,-10997,12872,29394,16647,-6784,3920,difficult
662344,261616,22922,18476,21507,10862,6553,4445,458313,211884,103941,21151,26836,13881,10032,6400,-275264,-157601,-97850,-17029,-11010,-7723,-1381,-3277,80828,-147598,-53473,10366,11339,10368,-3481,-352,777358,-150140,-86157,-11173,-19723,-9437,-7083,-226,-117616,-154607,-102391,-13789,-21051,-10331,-6874,-5225,554849,858606,-65223,18251,13801,2029,1426,-693,easy
577408,131748,13654,8931,7220,7190,3098,2728,72059,36735,4719,3477,3743,7828,8779,4404,1755806,178892,18016,19934,13969,8247,-3899,362,110055,52668,12498,9984,1595,-6010,-6685,-2568,-68815,-25378,-889,-555,-1312,-3991,-7456,-2567,674110,160391,4035,-247,2278,461,-5436,-2335,55588,108494,11016,-1844,853,-1897,-4930,-1271,difficult
340452,76123,24484,14045,8013,9373,5980,4084,956909,334666,12460,7948,7503,7376,8243,5980,71247,-265417,61288,53910,12610,23828,15191,6105,-648862,-321866,-9010,-6228,-4892,-6255,-7864,-5543,-617446,-52019,23478,-4126,4460,-2961,-7416,-4611,-936587,-330760,-8217,-7373,-5745,-4977,-7367,-3830,-950635,-322651,-7419,-5698,-3885,350,-3860,-1603,easy
217687,47219,8255,6155,8051,8239,4032,4722,333157,58761,23560,13951,3644,6540,5988,2936,-159087,8871,-19222,-8320,3530,2048,-3306,2343,-114906,-38700,-15964,-10538,-253,-3334,-4684,-1886,-118490,-4229,-9201,-7502,19330,14452,5383,12090,-238651,-54277,-18267,-11677,-2884,-4294,-5550,-2624,53783,30624,-13873,-945,2313,-376,-1625,-991,difficult
520693,201571,20329,11055,13759,15881,6392,3452,35594,18440,4101,5133,1644,3711,1200,720,539260,177029,23645,7717,23777,3212,8270,1038,256651,10644,14,-2568,712,-1710,446,-322,1184173,599809,46325,11178,18571,28279,12289,6717,468405,136610,6378,16503,12000,32080,4506,5437,-22993,-8435,4779,-3221,5514,-1011,449,788,easy
236873,81262,7973,7209,5151,5314,3245,2409,688437,58311,19258,19308,13238,10926,3930,2849,-532475,38881,-17759,-9284,-3412,-1763,291,1984,-650168,-43067,-19025,-18705,-11020,-9604,-2595,-1567,-601778,111243,-2288,-14317,-6659,-3260,146,-1149,-652347,-52034,-18450,-17264,-11452,-9139,-211,443,178949,59730,1095,-927,-7893,-4295,-1058,-1910,difficult
301496,158504,41473,16819,27167,33215,44115,13833,346644,195821,18293,21918,19116,14985,29744,10748,340647,111282,132501,44240,57498,117653,158423,45074,-252522,-151092,-1478,-14826,-9385,-10114,-25987,-7884,-90197,138617,-9274,-18271,20523,3122,-5088,-2560,-267293,-186475,-11514,-19543,-16079,-10429,-27816,-9884,43623,-98916,5663,-17093,-12302,-9084,-27678,-9319,easy
176333,166893,8421,11599,5861,3395,4282,3335,387330,126518,37606,13150,15291,12437,9405,10286,-194579,318956,-24276,19553,-4926,-6485,-6118,-6344,-36242,13611,-20383,-9601,-10516,-9502,-2507,-4451,-279716,90258,-34363,-2819,-4798,-7228,-3743,-5217,-194232,-109888,-35131,-10710,-13941,-11643,-8982,-10121,-350215,-111060,-31774,-4177,-12970,-10350,-4267,-8621,difficult
643358,300825,31200,48965,34477,20088,7690,6993,161556,124483,8499,12210,9893,14000,14322,10804,390561,380365,5202,44978,34915,-2263,-8583,-6529,390561,380365,5202,44978,34915,-2263,-8583,-6529,275054,76546,61379,47031,50045,8927,-1309,-5081,665544,-43222,4789,853,-5489,-6228,-12376,-9534,687288,87656,36931,45937,8536,32269,-2310,8617,easy
412887,103269,6663,13951,11083,5609,4275,2456,358370,365005,22080,10950,5395,11901,6678,4054,-205273,-320675,-12549,16808,1939,-4278,368,-2708,-326641,-361875,-16647,-9465,-3290,-9290,-2364,-910,1222759,64901,-20246,17317,20784,-554,-1998,-1918,-352433,-360458,-20352,-7911,-2745,-8857,-3015,-1711,-65825,-330571,-7292,-1743,11751,-8483,-5007,-742,difficult
374542,95188,15091,6663,7735,5416,2935,1627,267248,178404,63652,26535,14882,18301,20895,20372,695105,-25881,-48114,-18977,-8859,-11731,-17541,-18489,345287,-126217,-53804,-23528,-8129,-12816,-16539,-19335,-86333,-35188,-37814,-23238,-1200,-11308,-17413,-18347,-169804,-55760,-42256,-9615,-6757,-12056,-18517,-18339,-247784,-173036,-60819,-24004,-10788,-16513,-19791,-19217,easy
453789,63755,12967,6868,5776,4570,3218,3378,291107,141907,12928,4627,3854,7995,4838,6043,869068,-113401,20185,-3218,7869,-729,-863,-3933,638004,41765,-1118,21151,3991,-4362,-1775,-3848,-243145,-130442,-4978,-2091,-495,-4613,-3227,-780,-277460,-126036,-9207,-3550,-1055,-2843,-861,-2996,-173059,-62644,-4685,-1088,-700,-4580,-1376,-1769,difficult
323471,80342,12952,11146,5259,4753,3506,3706,89442,17285,5628,2116,4164,3409,1692,1336,2309,-11005,-1843,-309,-2910,-2010,-1284,-927,466426,61948,5214,743,3031,-809,797,64,-31130,18692,2773,2333,-778,3001,284,1528,-79166,-10696,-2075,-529,-2333,-1158,1436,1313,811705,256345,32551,42910,8465,7697,7836,9874,easy
397285,127407,16518,10620,10803,11069,6282,3216,523254,130181,27033,21711,14698,19304,9237,12160,-374949,75992,-20956,-18580,-1069,-3570,-6546,-10188,505188,84294,5145,4807,11746,-2923,-282,-7827,-292665,-21999,-15181,-11008,-9010,-5171,5974,-5546,-365934,-79446,-12005,-14094,-9840,-13563,-5542,-9484,-101486,-72713,-9578,-16582,-11303,-15950,-8378,-11676,difficult
677056,83840,6204,5583,14557,8362,7029,5013,148792,59661,60271,22810,7230,16292,5389,6373,652285,31529,-55653,-20234,28,-10820,2411,-2960,173696,-7931,-54707,-17733,1398,-12612,-2129,-1884,1691442,72263,-45397,-7834,27966,9065,7731,4399,-4549,13733,-58760,-20828,2203,-13539,-1169,-1576,128448,11302,-55818,-19506,5039,-11745,1356,-4781,easy
240069,108264,20237,22730,16114,11833,5672,5592,389489,145653,6201,28304,29906,17524,9668,10947,-229607,-86499,2274,-21743,-23041,-6615,-4216,-7333,36354,-4036,16533,-20578,-22741,-9613,-5851,-7113,63479,87584,6265,47250,20928,9930,758,-1358,-288174,-47959,26450,-12778,-24280,-13842,-6298,-7059,-329152,-136037,18656,-20023,-19826,-8313,-4374,-3913,difficult
322105,179283,16856,10070,12090,8976,3309,2914,194763,74515,12632,6126,3427,4114,2231,2404,-105696,-15849,-159,-756,3457,310,452,494,-15647,458101,21759,11919,32597,18673,3897,3650,-157055,-62622,-11316,-1047,121,-2436,-1833,-2142,555853,-34992,9241,3924,935,1377,1342,-402,359254,179204,1596,5682,6207,6386,1533,949,easy
1750219,256315,57693,37969,23647,17978,17108,10191,563667,100989,10417,31427,18321,25185,26530,9097,253510,-53066,-1631,-25731,-10717,-20384,-19754,-5838,2111642,251406,148234,23434,3661,-4342,-15967,-2907,1604327,246773,9457,545,-12118,-18107,-14999,-3103,1739416,151385,14680,45414,48772,3091,11408,13560,223866,180133,65640,-10950,-2968,3705,-7797,3757,difficult
259241,45442,23391,7204,6407,6779,2982,2377,512587,125570,32346,17813,20656,12079,8916,5633,-440322,-102327,-28575,-16225,-19400,-11070,-8042,-5050,-440527,-112190,-31827,-16947,-18441,-10923,-8399,-5143,-462882,-87205,-22374,-15942,-19331,-7596,-7205,-3771,548981,2869,44813,2560,-12684,-5883,-6498,-3347,-471979,-101785,-6812,-6490,-1390,8973,474,1029,easy
