delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_cc0,delta_cc1,theta_cc0,theta_cc1,lowalpha_cc0,lowalpha_cc1,highalpha_cc0,highalpha_cc1,lowbeta_cc0,lowbeta_cc1,highbeta_cc0,highbeta_cc1,lowgamma_cc0,lowgamma_cc1,midgamma_cc0,midgamma_cc1,state
58096,14994,6911,3843,2045,1785,715,865,55695,27876,2706,4280,5431,8297,9689,3724,1636917,1247383,57704,89347,113613,173373,103653,45705,911549,766472,108255,33734,34233,38397,7121,27281,1581222,-725368,1219507,-480911,54998,50551,85067,-55613,108182,-79380,165076,-134976,93964,-96532,41981,-18424,difficult
125184,50580,8169,6834,5440,5514,2834,3142,-35296,-34008,-7435,-5001,-2403,354,-1227,-2198,-83559,-20559,-507,-3438,-4457,-2463,730,-2301,192859,-45030,2986,2142,1324,224,4085,-196,-48263,276418,13449,-24471,6928,3493,1563,5580,-2054,5781,-2817,2687,1957,3355,-103,2105,easy
86274,23697,4428,11533,3281,4695,3479,1170,80806,6291,978,-9416,1075,4065,-105,4020,-70428,-12502,-1456,-2558,-276,-1712,-1256,-115,-73030,-10899,5767,17865,-270,-1085,608,510,-151234,-2602,-18793,1603,-2434,7223,6858,20423,-1351,6,-5777,627,-1151,1864,-4135,625,difficult
58727,37485,3763,6551,1829,3229,3275,1727,1683078,393823,17284,-1735,17440,3206,-1850,4906,-10338,-33543,-3469,-5338,-1510,-2628,-3114,-1626,59955,70575,-1205,2145,6557,19232,-1236,3248,-1693416,70293,-427366,104118,-20753,2264,-3603,7483,-18950,8067,-5834,21860,-1264,1878,-6532,4874,easy
37870,10506,15922,12231,5580,9956,7622,4670,-13737,-2415,-6542,-3455,161,2099,270,-939,454662,62288,82173,3814,12697,17216,26315,12896,437962,12813,-7076,-9956,39,-4466,-5318,-1370,468399,-16700,64703,-49475,88715,-89249,7269,-13770,12536,-12658,15117,-21682,26045,-31633,13835,-14266,difficult
486885,72654,14741,7983,3344,6233,9418,4570,-355747,-26872,5917,5857,-430,-3003,-5284,-2607,-298845,134790,44604,10,1897,10109,675,902,-158891,-49176,-9661,-5421,-2433,-5271,-7614,-3788,56902,139954,161662,-183966,38687,-54265,-5847,-5431,2327,-4330,13112,-15380,5959,-8289,3509,-4690,easy
58600,32291,7661,9170,12842,3283,3133,3959,-18701,-15310,-4304,-5361,-10736,-2010,-1095,-2370,-15212,1560,4790,-7941,-12077,-1631,-1379,-2720,-44887,-27875,-2130,-6344,-11459,4122,70,-859,3489,-29675,16870,-29435,9094,-6920,-2580,1597,-1341,618,379,5753,-284,1449,-350,1861,difficult
295879,40036,3930,8844,2720,4034,6942,3075,-291140,-30693,5905,-1959,5269,8565,-800,639,212633,-20170,29558,17599,2319,7444,1001,5598,-181781,-2257,-844,-7876,6999,3445,-3838,771,503773,-394414,10523,17913,23653,-30402,19558,-25475,-2950,4680,-1121,-3999,1801,-4839,4959,-4827,easy
50879,27440,5880,12461,5074,7298,8522,3561,-37477,-21435,-5009,-5486,1176,-1890,-1396,1322,-6319,2800,2398,-5957,1837,73,-2573,723,-47594,-21325,476,-3696,638,-2930,-1808,327,31158,-41275,24235,-24125,7407,-1922,-471,2261,661,-1199,1963,-3003,-1177,765,-599,-396,difficult
104020,25454,1183,8937,10322,3381,4451,7839,-42230,-8940,4673,-8262,-9657,-2925,-4206,-7219,-55918,-19674,2392,-5909,-8828,-2376,-3755,-6815,728678,48412,80793,134217,90328,26150,53872,11411,-13688,784596,-10734,68086,-2281,78401,2353,140126,829,99156,549,28526,451,57627,404,18226,easy
210758,43463,13618,11684,4803,4513,2739,2636,333878,19032,1249,11308,7505,6742,3169,3445,-183374,-34361,-2993,3508,10818,472,6015,4036,-110557,-25340,-10726,-9892,-392,-1153,-1068,-1869,-517252,72817,-53393,9021,-4242,-7733,-7800,-13400,3313,-11210,-6270,-1625,2846,-7083,591,-5905,difficult
