delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,delta_cc0,delta_cc1,delta_cc2,delta_cc3,theta_cc0,theta_cc1,theta_cc2,theta_cc3,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,lowalpha_cc3,highalpha_cc0,highalpha_cc1,highalpha_cc2,highalpha_cc3,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,lowbeta_cc3,highbeta_cc0,highbeta_cc1,highbeta_cc2,highbeta_cc3,lowgamma_cc0,lowgamma_cc1,lowgamma_cc2,lowgamma_cc3,midgamma_cc0,midgamma_cc1,midgamma_cc2,midgamma_cc3,state
194180,70913,31394,9156,6904,10366,5362,6311,239061,-2788,-15257,-4965,-3436,1261,-3820,-3778,-7999,-64346,-27883,-7966,-6055,-8991,-2888,-5708,-58550,-63535,-30525,-6807,-5408,-9574,-3535,-5592,72179,46417,-10214,446,-3722,4708,-3074,-4426,-163857,-54550,-30485,-7556,-4626,-8308,-4606,-5547,-247060,-50551,130729,-236036,-61558,811,109952,-100967,-12626,-2642,20311,-20271,-3001,1159,7253,-8002,-2619,647,1686,-904,-10252,-583,14282,-13016,932,-647,461,-1532,-1930,116,1166,-1121,easy
119370,56491,15793,11647,4559,5287,5451,1969,909766,84275,35481,36631,54455,6125,4957,17048,390142,-48280,-7252,-9212,-1818,-4207,-2863,-754,791825,270082,16653,-6554,42583,30229,28723,16220,57668,22459,-10554,-8085,207,96,-3661,-1350,1453695,749377,28045,22259,27876,19620,21390,4203,-519624,401683,-734157,1396027,-132555,318362,-247623,726918,-42733,23905,-27207,38599,-45843,2658,-1531,30344,-56273,44401,-42376,27669,-10332,34436,-30133,19524,-7820,31586,-32384,25051,-17802,16974,-17570,5553,difficult
208396,74310,36314,4251,10984,15406,5719,4623,-130955,-61005,-35517,-1963,-9972,-14294,-5332,-4136,997885,18009,-26036,5528,-6429,-3287,2695,-1961,-185937,-60332,-26787,-835,-7983,-12045,-4530,-3152,-111859,2911,-27153,2543,-2657,-9495,-4095,-1378,-139054,-53699,-26370,-799,-7212,-13285,-4807,-3855,1128840,-1183822,74078,-27195,79014,-78341,63243,-56610,9481,-751,-366,783,7491,-6363,3378,-3342,3543,-1554,5326,-4555,11007,-8758,2550,-3790,8027,-7225,435,-712,2175,-1191,1774,-2477,easy
716909,431412,101135,11414,46757,14547,14771,8726,1012444,-366340,-61622,21240,-10108,3472,-9347,-3690,-611886,-378657,-86633,-3354,-38666,-5489,-12879,-7792,301084,-276167,-38673,4847,-26736,4141,-6989,-1823,-229298,-403542,-92953,-4289,-36025,-8295,-12614,-7100,-656358,-344692,-80843,-9143,-42644,-12306,-12484,-7304,-1624330,912970,-530382,-427060,-12317,102490,-127375,58850,-25011,47960,-54280,12110,-24594,8201,-9136,-4854,-28558,11930,-9289,-6619,-8961,9630,-12436,-4011,-3532,5890,-5625,130,-4102,5969,-5277,-204,difficult
800048,185483,16397,38099,23194,16311,6695,6764,-364713,-41216,18459,-11053,-2738,-8389,-2575,-2302,147075,-69154,-8894,-2631,-8617,4730,1848,-1829,-790138,-181094,-10536,-24238,-16585,-768,6210,13745,-587246,-109628,-8957,-36903,-20030,-9341,-3006,-4291,-790474,-181035,-16126,-36753,-21886,-13302,-3113,-5970,511788,-937213,202892,-203228,-27938,-111940,71466,-71407,-27353,-1642,1579,-7169,8422,-21607,-12665,150,-5879,-7968,-3445,-1856,13119,-5498,-8573,-3961,4423,4362,-9216,-107,473,15574,-18036,-1679,easy
266584,37747,4422,4521,2363,3446,1056,1117,535721,273795,22477,104221,5842,1846,609,149,-55623,-18022,822,1077,4244,-781,435,-361,-217446,-3805,3026,-3350,1569,3199,772,-421,-119556,61122,-578,-400,1235,1603,2496,245,546021,79906,33917,16973,8573,9387,5829,1564,-591344,-161823,97890,665577,-291817,14217,64927,18784,-21655,2204,-3604,34495,-103144,-4427,2950,17373,-1598,-2675,-334,7338,-2627,3980,-1596,7784,-174,337,1724,3333,-510,-60,666,1319,difficult
808685,88034,17421,11969,15239,4032,3595,6177,-733729,-23217,6426,-6872,-9945,5287,-1554,-3405,1111214,-36578,-8892,-9503,-12051,-262,-2134,-4197,827075,140807,73782,8223,10800,18183,14768,14861,550220,382500,205577,91698,11865,94237,94210,35953,-660464,-66653,-10128,-7135,-13951,-2108,-947,-3407,1844943,-284139,-276855,-1210684,-13361,177385,241693,-449153,-15318,82674,131795,-215705,-2631,17726,83475,-98833,-2106,22851,1065,-25816,-5549,18445,76054,-96345,-580,16902,79442,-95157,-792,19058,21092,-39360,easy
471630,293254,32690,17901,26045,10548,4906,4199,884395,-146977,-17069,-10536,-14815,-4970,-1133,-1917,-94836,-262837,-25552,-11221,-22678,-8148,-3522,-2620,-437760,-273473,-29947,-16056,-25138,-9576,-4502,-2795,-452798,-289696,-31433,-16751,-25123,-3096,-448,-1005,-420978,-273520,-31161,-16277,-24257,-9793,-4252,-3590,-979231,-342924,-15038,31820,-115860,-10636,-16223,16176,-8483,-4395,-1486,272,-685,-4835,-695,474,-7863,-2460,15,866,-3178,-1428,6480,-6697,-2389,-980,4054,-3804,-703,-175,1790,-2585,difficult
155298,53553,5930,3217,3100,3181,2006,1420,-54123,-39157,599,793,1056,935,-818,137,68648,87199,29343,17357,1610,9021,7922,3871,532410,28549,78737,77711,622,5513,5221,8050,393783,-4527,-1660,20831,15558,40241,30549,13138,1009358,328666,10515,63189,99901,25154,20573,23291,122771,463762,-138627,615575,126356,-58650,-33076,333193,28744,49394,-80397,12175,16564,60354,-56880,42358,554,-988,14936,84343,8086,-3508,34728,-15087,8740,-2701,25328,-9976,3734,4179,5088,10153,easy
217754,98530,16200,28074,9493,7368,5428,6509,-193159,-85177,-11634,-27252,-4710,296,6106,-1806,-82806,201506,10824,-22823,-1299,441,5883,-1544,93416,124524,10237,-12981,-1080,5807,21508,8200,1348020,23799,75805,-5435,4419,46744,100556,29710,404934,55604,69691,1863,34857,13526,26837,15143,110353,176222,1254604,-943086,286683,-76982,-100725,31805,22458,-587,65568,-6114,4429,9842,7546,7298,3411,219,5499,30438,145,5366,40937,-33218,-223,15625,79048,-73719,262,9744,21510,-14567,difficult
