delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_cc0,delta_cc1,delta_cc2,theta_cc0,theta_cc1,theta_cc2,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,highalpha_cc0,highalpha_cc1,highalpha_cc2,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,highbeta_cc0,highbeta_cc1,highbeta_cc2,lowgamma_cc0,lowgamma_cc1,lowgamma_cc2,midgamma_cc0,midgamma_cc1,midgamma_cc2,state
925297,94286,82281,16022,41248,28261,7253,6517,1773929,1661242,-5166,58175,74033,61915,7865,4683,-775933,-1922,-61113,3290,-35375,-21043,-4175,-4746,-731747,-83727,-79426,-14087,-38091,-24561,-6601,-6050,467958,-40647,-63625,2192,-12897,-10835,-1635,-3561,-2549862,44186,1199705,-1663164,-81805,43080,-55947,-18313,15801,-54885,-17377,16279,-109408,-2716,25194,-82958,-3518,13726,-12040,-2426,4966,-9429,-1304,2489,difficult
235404,50018,7588,11225,8301,7652,1842,1032,408834,228217,4292,4253,1878,1022,3626,4262,-165581,6763,5790,10251,-1045,2613,3654,1799,-129813,-7559,3911,-1175,-1674,-5486,83,-419,-155158,-29772,46757,24212,994,312,362,400,-574415,35768,-25345,-221454,-14322,-22213,1498,-1879,42846,5998,-11426,25387,-2923,-629,2668,1591,-8099,5798,28,-3571,279,-2463,-2218,819,easy
331063,97496,37249,23696,15895,13317,8924,7291,1805783,26474,-790,-10230,-8193,10139,-2912,-2109,715984,-20097,-15880,-10522,-10124,-6908,-5870,-3943,-253055,-53601,-15039,-20148,-5346,-7451,-7235,-6069,-295700,-79025,-30002,-21769,-12170,-8401,-7297,-6404,-1089799,-969039,-42645,-46571,-33504,-25424,-15090,841,-14963,-292,-9626,-1621,-1931,4778,-6824,-17047,-543,-950,-2958,-1365,-62,-1834,-2126,-335,difficult
395502,110304,39389,20315,21273,10750,3753,3163,-273022,-60056,-19278,-11083,-13597,-6495,-1557,-2158,-238730,-75081,-18421,3481,-6405,-6876,948,-2174,-158444,90651,5625,-8581,-17134,-5504,1065,-1466,-35684,-55805,-19974,-7859,-15079,-2656,-2630,-1560,34292,80286,122760,-15025,165732,-146456,857,24046,-25599,14564,-12062,722,7192,-10729,2055,-381,1372,2848,2505,117,-3695,-16,708,-94,easy
819521,204221,28689,35318,10308,12380,7646,7286,-183173,7234,28181,31676,38843,56665,6021,-1084,-304882,-166760,-14398,-31016,-4994,-7262,-6783,-5825,-463250,-164533,-24138,-27142,-1642,-8415,-5975,-6202,-133275,-118800,-10990,-18505,-3784,-3535,-6471,-5176,-121709,-158368,329975,-173994,2227,45733,-42579,-9740,13148,-62692,3874,8637,-43837,3352,-2142,-63927,-1153,4880,-12804,808,-496,-4741,-377,1026,difficult
265209,37319,19396,16499,22306,23931,11903,2507,23624,8128,-9488,-11549,-8606,-18532,-9313,-801,233550,26417,-6562,-3699,-12597,-21822,-9600,-1314,-99829,33694,-8067,7243,-12444,-20014,-9449,-1612,852531,58953,-11605,2859,-18953,-16590,-5238,-1041,209926,-333379,952360,18289,7277,25259,2926,-1505,-3538,7850,10942,-4384,-3991,153,-6509,-3290,1808,3424,-287,151,4211,-513,-298,571,easy
197022,76466,10358,16698,12982,10929,4302,4154,-140870,-13823,15825,-13699,-3431,-4137,-365,-3167,-60400,987,-914,-4750,-6068,4167,-685,-212,896513,36555,27726,36952,49284,25831,7858,3120,489289,264171,83619,39773,1,23344,10742,3124,80470,956913,-407224,14810,35568,227616,-16739,28640,55893,8949,41702,2821,-2637,55352,-49283,8304,21664,-2487,-320,8543,2884,2955,3332,4,difficult
300789,36314,16667,13941,15536,11370,2698,1899,-287525,-26384,-5931,37656,10385,7658,709,-435,-146571,-10173,6523,-9989,-9021,-8512,-2356,-1336,-230442,-26252,-3976,7713,-2915,-1848,-778,1217,-210011,-2103,16094,-9884,-9811,-9192,-1830,-1367,140954,-83871,20431,16211,-16079,24149,12454,-10499,20070,-47645,17702,-17597,-19406,6106,-6896,-16170,6664,-7344,-3065,1578,-1052,-901,2553,-2584,easy
233424,54242,26440,15877,15718,5727,3241,2555,511531,98490,13071,10065,-853,2229,3549,4010,-144613,-36506,-25630,-13772,-15069,-3131,-2181,-2291,-119361,-47162,-24592,-15106,-13531,-3979,-2703,-2025,-146600,37850,8196,-3813,5504,2649,892,2367,-656144,25252,-27239,-134996,-10656,85012,-38701,1038,32788,-23837,-1334,11293,-14216,1538,19035,-5360,-848,6628,-5730,-522,3595,-6301,266,4392,difficult
253464,65074,26709,13538,21273,13934,8114,6071,1376626,1533,-7465,-5767,-1444,-2905,2784,-2875,1353256,117576,3417,7610,-8316,-529,-3380,-3618,794704,59851,9591,576,19270,4925,3395,7111,587696,5283,-2458,-2523,-16372,-8741,-5263,-2306,-23370,-558552,-207008,116043,-57725,-54568,10882,6174,-12049,13377,-7034,-3099,-6872,27586,-35642,2376,5454,-13666,-6164,6775,-8658,-743,10729,-9417,easy
