delta_ave,theta_ave,lowalpha_ave,highalpha_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,state
1095756,225714,52413,36125,-1077083,-215358,-48941,-34470,-476389,-191471,-39120,-22995,-1084683,-179792,-49919,-30756,easy
158592,72861,10444,11359,142409,17931,12395,-4748,-29509,-63878,-3726,-475,778427,-56739,-3244,-7233,difficult
179444,19303,8343,14629,44720,57475,-5142,3797,-173991,-16693,-5385,-10643,25722,49240,-3198,-9784,easy
144791,12250,7226,6888,1931773,740410,81376,59265,1638903,119033,13449,13112,-141312,-968,-5852,6463,difficult
43539,19281,6918,3022,643179,222056,2859,44440,35522,24982,6290,29030,2015087,245817,15442,130754,easy
101414,24385,4242,3749,-81999,10756,4975,5604,-13702,6612,427,13400,-320,55518,22504,33179,difficult
175736,54526,5186,15647,-102809,-46463,-242,-13001,108555,-29799,-3677,-7875,-171277,-49478,421,-12292,easy
472045,92507,23116,8849,-344109,-1768,-20565,3218,-15414,-23000,-17611,4051,-470701,-86069,-21820,-7814,difficult
266150,239124,31395,14433,-139562,-185412,-22393,-7233,1194365,-55423,-12685,9696,-17360,-212204,-28001,-11578,easy
785371,158857,9723,9861,-660902,-97751,-1392,7305,-772858,-153974,-2644,-3546,-768133,-127788,7114,-4269,difficult
25274,14522,9210,7392,12606,-634,-7528,-5515,28458,5891,-8107,-3727,28458,5891,-8107,-3727,easy
483154,65330,5351,7383,-172132,25967,1339,-3117,17295,-18259,15178,41899,94881,-19252,-2810,7233,difficult
383897,213893,23665,21143,101529,-80573,-564,-5134,141133,-137451,-14929,-18562,-131967,-186733,283,-11945,easy
259058,25845,15500,18974,302899,42509,60452,92306,-178450,12155,61332,59417,-242763,-6843,7160,71572,difficult
1462651,191780,15737,15117,-1396741,-63508,-3655,-10819,-613606,-105454,1385,21625,-1283458,-97534,-7657,-10375,easy
124904,37718,13238,3524,365264,17179,-3279,1011,-119850,-29671,-11226,-346,-65891,-4957,-8485,-2738,difficult
520008,239507,75347,46585,-314239,-197740,-70615,-33991,-505216,-223235,-54249,-31697,-430138,-230866,-62375,-1081,easy
534382,130165,14949,22226,-523892,-114879,-6640,-16243,-226211,-47406,15680,-11154,-532416,-126191,-11927,-19516,difficult
