delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,state
743188,242577,123113,48240,19556,23496,12305,10214,29012,-34974,-103401,-39107,-7531,-18213,-8461,-7970,308577,58517,-50368,-28702,11475,510,4605,3844,-719653,-216202,-105650,-32332,3712,-9586,-2346,-5358,154082,-45212,10682,-7579,41230,-768,5281,-1198,easy
1006823,155642,17698,21127,17978,19320,30407,11107,-295180,-37906,22464,-3821,-3109,-4275,-19643,-8569,83465,64409,-7253,-5057,-8810,-10354,-24909,-3902,-1488,160735,20636,-12764,-829,-6673,-25908,-8226,1568692,-73996,142318,-1580,23568,20598,-18817,6894,difficult
851104,40627,10026,7453,13861,11021,7054,6791,-798171,-370,-5076,-5762,-13306,-9968,-6210,-6365,779615,8952,21029,53195,-1448,36314,11434,3646,-724209,-16833,-2182,-4644,-9512,-8705,-5885,-6146,183200,12214,-4023,-4452,-9375,-8212,-5698,-5843,easy
549511,124551,34428,40636,17034,19179,14790,12621,-358049,-86181,-24028,-39847,-13140,-17707,-13645,-11752,-454164,-105434,-32204,-38839,-13980,-15071,-9076,-11078,-449035,-115960,-34161,-39705,-15817,-16954,-13156,-12217,3534,297801,51438,-21191,17637,-1271,-1703,4381,difficult
611580,121925,11674,20165,9760,4378,2906,1932,-419189,-32565,-4541,-14584,-6212,-760,716,151,-600493,-114174,-7583,-17510,-9103,-3806,-2450,-1672,-402630,-81608,3604,-13893,-7152,-37,-1875,-1043,-522336,-113355,-9107,-18072,-8226,-3444,-2246,-1250,easy
859480,50328,18084,18964,16156,20695,17074,4822,-538867,-6476,-6236,-14962,-11762,-16478,-15327,-3451,-850917,-41582,-13111,-11673,-8925,-3906,-9069,9283,-395930,36287,35564,-6293,-9887,-13718,-12281,-2564,-839236,-38814,-14341,-14306,-14697,-16856,-15715,-3191,difficult
201673,51092,6748,3651,6635,6981,2429,1534,-186166,-45730,-632,-1097,-2905,-3024,-839,9,-30929,26003,-3345,-509,-6176,-5975,-1657,-960,-175760,-33724,-4464,-644,-4057,-3473,200,576,114578,-924,3831,2675,-1665,1119,77,2498,easy
136679,91170,11093,5166,5225,6254,2675,1767,-50279,69727,24205,456,2529,718,504,321,138814,-45908,-3245,-1486,-1983,-3059,-1331,-1319,215010,-73011,-8478,-3647,-3547,-2731,-2010,-1307,46832,57240,13372,6253,12035,18282,8768,2274,difficult
1192779,199257,22770,27452,17303,22180,17076,15407,2115240,390304,31566,9819,-11570,14241,-7007,17085,264131,234587,-7825,33794,19971,46376,8720,4039,-221763,194842,116806,1450,1878,53556,15974,9167,-1075088,-196617,-21757,-25117,-15876,-19882,-16281,-15162,easy
369887,49058,31250,7175,5796,12923,5481,2211,-310594,-27902,-29359,-4317,-2123,-10016,-4384,-821,-353053,-44257,-30105,-2331,3091,-3808,7019,-103,-329799,-34594,-15034,-4830,-1171,-8111,-2231,872,105057,10418,-25248,2940,31448,4486,2525,4208,difficult
1023591,58060,19145,24818,8392,15048,4850,3736,-125508,36849,-2511,-17102,-2642,-10665,-2763,-1648,-811275,-23668,-14801,-21294,-2732,-12084,-4309,-3079,-920490,37633,-15419,-14318,5506,-11272,-966,-1959,-128732,-16888,-17510,-20247,1246,-12911,-2387,-393,easy
337337,148771,22185,17435,7497,14521,20415,7082,396215,-53630,-5859,-8255,-1947,-5754,-17593,-3064,-241639,-137567,-20342,-7668,-5401,-10369,-15296,-1954,-15123,-56467,-11964,-10070,7190,-8918,-17961,-4550,335821,-5106,8242,-12267,4810,9073,-12045,6778,difficult
993228,104324,48814,21162,14317,13561,8245,5130,-947833,-92890,-46484,-18416,-13811,-12569,-7599,-4801,-881035,-90806,-41783,-19701,-11997,-11346,-7728,-4633,-505562,114713,-25612,5615,5168,19745,-2188,851,-930492,-97362,-46481,-17808,-13726,-10927,-7652,-3754,easy
458581,74310,19571,8340,6260,6611,4173,4210,729618,85973,-8788,31172,6328,2449,128,1092,-404447,-28465,20,586,-3248,2989,1938,1141,985421,18995,8636,-2443,5754,3265,2309,-903,-426095,397,17535,7558,289,2415,-137,-2133,difficult
863852,101951,14074,7045,12086,7640,6291,2610,907264,16211,1930,18609,10379,10296,2248,2586,-7218,5871,13936,456,-3969,-4419,-2085,387,140065,122412,41442,34823,5689,15781,564,1168,-783031,-74290,-5394,-3180,-6364,-4906,-3930,-2215,easy
1023793,78005,51624,19872,11148,21359,19917,6682,-764816,-36280,-48118,-18980,-10080,-18546,-17281,-5252,-305258,200012,-21631,-8846,-1938,-12587,-3180,3372,-602496,-45831,-40750,-15079,-6474,-17684,-13852,-5444,227808,106094,20982,10958,-1701,-778,8085,9697,difficult
204987,29546,4368,9194,4419,5574,2644,2030,373032,54999,2968,-3281,1993,-2300,-1335,-1551,-160008,-19646,7068,-85,422,-1243,-844,-29,-49001,88995,5934,-6325,-25,115,-522,-420,1150147,211070,9960,41552,8566,14933,12169,4664,easy
1729568,178292,144635,184017,102731,85857,67374,34348,-233214,-42795,-30648,-158672,-87371,-60119,-27554,-21728,-1118091,95612,-90667,-168214,-83507,-58267,-41873,-27471,-1407573,-23160,-108549,-164062,-89460,-70823,-47903,-28735,-479395,-141074,-128708,-181572,-97397,-80648,-63655,-30571,difficult
1148436,163435,68851,31514,38553,23851,23508,12668,-849416,-96948,-50638,-24340,-24234,-20530,-21986,-11577,-1102547,-156104,-62480,-28217,-33927,-18920,-20323,-10070,-1058549,-60497,-56004,-27993,-35336,-19603,-20305,-9920,-1092576,-127181,-56529,-28981,-35237,-18742,-21065,-10459,easy
1305285,89693,16952,25270,8503,6607,4203,2268,-1221245,-76449,-1284,-23105,-4759,-3810,-3229,-690,-1172879,-77910,-12839,-20753,-6576,-4410,-848,-149,-1219471,-74072,-15010,-23156,-7185,-4498,-1445,-601,-1128229,-47971,-14217,-22026,-5479,-1564,-2050,148,difficult
321112,25431,11241,9544,9117,9623,4455,2799,451286,202742,40167,50502,5977,1065,8287,5013,-238579,9955,-8178,-7107,221,-3701,-3412,-807,-303616,-8448,-6197,-4396,-6587,-8167,-2917,-1264,-255849,10374,6427,2462,-5774,-3460,-2564,-1112,easy
331668,73842,11598,10406,12437,14497,10037,4747,29309,24506,2073,-4145,-7397,10453,80,99,-280952,-56063,-9086,-3050,-10489,-10350,-8648,-2823,-316714,-48719,-9029,-8676,-10856,-13599,-9562,-4622,-243140,-54321,-10622,-8523,-11399,-13688,-9430,-4499,difficult
748749,66233,10049,23491,8206,11660,11532,6996,11950,161999,-598,-8643,43488,11066,9570,4249,-138113,-5011,-4957,-9930,-257,-7294,-6602,-3741,-570168,133583,467,-13967,-3180,-6940,-6860,-5128,-651272,-62784,-8592,-23179,-7473,-10682,-11118,-6427,easy
292005,110508,3702,10347,11760,16804,8499,4307,-232330,-56034,16838,-1838,-9440,-15214,-6045,-512,-274856,-102675,-2638,-8624,-8686,-13039,-5642,-3634,-41880,-88046,349,-6751,-10262,-14682,-7439,-3981,-176998,-69727,40550,-5078,1799,-11719,-5871,-3441,difficult
1750065,202933,29230,37701,21639,19799,9766,6904,-1031125,196999,114694,-25514,-4750,1402,6564,8075,-1369417,-175535,-15427,-32162,-17273,-18140,-8609,-6368,-1629057,-190520,-8157,-32939,-16344,-17769,-6251,-5068,-344973,27830,5166,-28079,-11247,-12896,-6711,-3090,easy
110549,33561,3539,5155,4388,4104,2672,2099,135562,107672,24444,-1502,6954,2706,-146,-46,204421,88782,18811,20350,-1687,18666,4921,13847,44000,20831,13814,-1744,2231,2299,1526,87,595299,8919,21487,-393,21163,9438,10685,6234,difficult
578542,298960,58853,40870,19806,13358,7296,10380,-393190,-219767,-56015,-36978,-14289,-7244,-796,-6852,-428615,-296213,-58410,-39420,-19309,-12768,-6547,-9926,1268569,-26590,-8399,-10641,2894,25014,10339,-5055,-326286,-176370,-52394,-32137,-14844,-5204,-4675,-7048,easy
84299,24870,6926,1871,3690,3639,1973,1967,-69464,-17762,-5271,431,-1562,1629,1549,759,34318,40690,-90,5482,-172,2100,728,-389,-52921,37858,-5103,1736,-1592,2938,2924,948,35586,34856,-2663,916,13861,-460,1678,1181,difficult
1021421,322166,51751,17609,11547,14704,4328,7086,796352,-77012,-29296,-7194,13381,15767,3285,18397,-858450,-188586,-34624,-2357,12462,2771,4756,9764,-249085,-159120,-47231,-13407,7355,11903,9756,4837,-50528,-41644,-20164,554,14293,6343,10899,2738,easy
836839,123479,40288,12629,16386,13867,14363,12948,-198262,174414,62590,16410,-3695,-145,24564,1386,25196,259477,10493,41333,21846,10220,-5084,-131,-724544,-34493,-34971,-8367,-13813,-10909,-12554,-11978,-711981,-107241,-38901,-11475,-12690,-8464,-10379,-10809,difficult
1185012,373963,61428,41944,21596,38694,22667,26532,-283730,603597,262231,2401,10501,23153,931,-2459,-1150602,-366157,-51266,-34958,-19393,-37411,-21425,-25539,-882819,-240402,-2076,-27391,4892,-32768,-17828,-23725,-876598,-365974,-53475,-40171,-17878,-35566,-22157,-25058,easy
477885,169790,14872,11817,16740,13119,5338,6768,-233787,-6073,-4301,-3896,-9067,-6582,-1284,-4015,-373891,-115222,-13688,-5185,-12012,7821,14497,-2920,-207339,-96799,1739,-700,-13675,1188,-754,-4309,-220009,-147544,-4612,-767,-9215,-9996,-4656,-5849,difficult
740459,36694,31953,7840,6588,5781,2944,1245,1011216,921579,189495,8329,8217,18552,11578,8628,-698297,-15668,-27245,-4113,-2600,1186,-486,126,-720703,-26175,-30639,-5295,-4690,3277,-1849,451,-563837,59115,-27549,-5876,-2287,1533,687,129,easy
350049,44286,10777,4698,5620,6303,3051,1500,-191136,220836,5547,1289,12280,16376,15669,9074,-56483,-31827,-8493,-1995,-3384,-2297,-1054,931,745045,13962,24479,7039,4372,4986,5978,3154,-213750,-33324,-2354,-2051,-1443,-5484,-1897,-502,difficult
598369,420202,31569,23036,15029,26927,7276,5858,-442224,-389099,-20063,-16728,-9657,-20789,3860,-3263,-131887,-304534,-8163,-13145,-8133,-18526,-4384,-2353,341754,-284769,12990,34054,30334,10845,18974,7663,365872,-262929,25024,46090,-6552,-10657,-812,-2152,easy
84375,24372,11613,23311,15750,9631,6256,4087,195328,15437,8747,-13904,-13537,-6045,-545,-1845,-28422,41343,-10098,-21653,-14133,-8119,-4922,-3574,2240355,847440,172423,3912,83024,42342,12159,20467,366464,1467,-7983,-20664,-13402,-7815,-5097,-3773,difficult
1464719,283925,48243,93514,28541,28724,12351,13718,-1076610,521944,-15593,-82833,-24413,-22655,-9404,-3677,-177957,-35312,-16914,-21965,-24131,-19212,-8959,-10603,-1170479,-267957,-45077,-89851,-27138,-28036,-11459,-13477,-129611,133927,105510,-85991,-1855,5822,-2262,-8475,easy
248946,82196,17949,12636,4175,5864,5274,1940,-98384,-70055,-13839,-10622,-3009,-4939,-4730,-1495,-18142,-74241,-17166,-12321,-3099,-5236,-5105,-1439,1080296,298321,76531,56741,53173,9753,-1006,4832,-183713,-69108,-12619,-7997,1284,2002,-3363,69,difficult
154208,41364,7394,6720,9010,7933,3467,4117,-29219,-18399,4056,-2204,-5240,-6459,-1610,-3198,1643919,40055,52417,3573,-3929,-1021,5393,-1041,908207,247227,66258,12716,371,-2364,280,3020,236651,50598,32500,6536,8481,2978,3741,2475,easy
299297,97331,16276,9813,4685,4754,3096,1798,493880,489288,4852,117,16050,9867,10471,1540,-109474,-5153,3667,-7012,2732,-2566,-563,383,-215040,-69094,-4712,-2785,-898,-1072,-452,-900,-182748,-39714,-5307,-7624,-2205,2074,92,-916,difficult
1278372,65893,10724,31744,9759,5633,12178,2923,-1051189,-39318,4990,-16926,-8149,-2619,-4080,-808,-570857,481281,167032,107328,84393,112525,48181,15039,-275131,11761,-5220,-6169,4069,1177,588,8730,-612954,-40859,4424,14475,-1462,29657,932,4623,easy
287172,88833,40138,6324,11772,21772,13980,8571,372680,337867,40839,17979,19163,-2274,-5842,2617,-174539,-30490,-29315,-5763,-10179,-19645,-10976,-6828,-248112,-69975,-39458,-5492,-10407,-20318,-12892,-8004,2356664,169247,47138,16746,776,-6941,-1443,976,difficult
