delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_cc0,delta_cc1,theta_cc0,theta_cc1,lowalpha_cc0,lowalpha_cc1,highalpha_cc0,highalpha_cc1,lowbeta_cc0,lowbeta_cc1,highbeta_cc0,highbeta_cc1,state
578758,213256,39361,22554,7746,24195,-509044,-142294,-36421,-14503,3097,-18304,474968,742263,239670,83939,63956,43430,814695,1995095,-1194,11334,87744,111243,984012,339727,884557,1252832,276091,-240864,98442,-72605,60859,23788,61734,67813,easy
789885,179747,20368,36723,13963,53804,-371626,-4499,52490,-15088,4446,-7919,-739916,-136598,-4302,-23543,-7288,84794,-199796,86092,-9359,7235,8471,72262,-368290,540120,-132099,222690,-56792,-5057,-8455,30778,-11734,15759,92713,-12532,difficult
968792,307557,103571,31128,46820,66857,484432,64538,-49094,-8705,-9305,-25936,-714764,-280070,-97644,-24705,-41097,-57857,-588933,-252100,-67510,9971,-38291,-9897,-1199196,125831,-344608,27970,-48550,30134,-16000,34676,-31792,2806,-31921,47960,easy
634694,51242,17929,16960,8114,18399,-534519,-23075,-17536,-13626,3067,-13557,-210278,25040,-4426,-5233,6768,17581,-118303,225041,28319,-4772,18437,36058,324241,91975,48115,200001,13110,32745,8393,461,3701,11669,31138,18477,difficult
822624,88498,32237,15483,14672,16745,-737311,-26144,-18895,-6033,-4284,53129,-778671,-36435,-14380,-4229,601,10577,-168106,10266,-22389,-12111,-7564,2120,-41360,610565,-10291,46701,4515,-8009,1804,-7882,4885,-8165,-42552,-8457,easy
1071968,132029,66240,16966,21505,69476,-1024061,-125550,-62046,-9408,-10466,-31215,-577944,-17007,-61542,-1429,4197,10572,-856935,-71513,-57417,-12249,-14762,-45002,446117,-278991,108543,-54506,504,4125,7979,-10820,14663,-18959,41787,-55574,difficult
1223564,142650,37541,57753,21191,28643,-811955,-70289,-6048,-45884,-13055,-9348,-925541,-115893,-19907,-55047,-19006,-17219,-796601,-67679,-22770,-32819,-14282,-21254,-113586,128940,-45604,48214,-13859,-2863,-9163,22228,-5951,4724,-7871,-4035,easy
1139955,349072,38559,28156,22380,63655,-922845,-249724,-22202,-21758,-11777,-52276,-1023204,-284512,477,-13644,-13973,-56212,-473732,-336198,-28864,-16289,2692,-44010,-100359,549472,-34788,-51686,22679,-29341,8114,-2645,-2196,16665,-3936,12202,difficult
211657,42317,24425,13338,17280,34456,1017290,734545,9569,99385,49021,25422,1158742,254717,-1048,-543,13016,19001,-133435,52318,-13297,-8523,-6541,-17554,141452,-1292177,-479828,-202399,-10617,-12249,-99928,-7980,-36005,-19557,-6421,-36555,easy
494551,52764,13292,14947,27839,22306,115984,81219,130505,22617,13197,64412,183385,27031,-4189,28094,-8157,5814,-486966,-50537,1938,-12643,-810,6851,67401,-670351,-54188,-77568,-134694,6127,5477,-40737,-21354,7347,-58598,1037,difficult
330857,86214,28012,13755,12387,21643,440511,123456,236,-3585,-3041,7169,341525,73776,-1234,3611,26952,-11686,302007,46038,-17596,1935,17124,-345,-98986,-39518,-49680,-27738,-1470,-16362,7196,-1676,29993,-9828,-18855,11341,easy
35345,31922,11509,7313,27137,15540,155930,-1228,-6826,2798,-9602,-4588,1429667,49257,26866,5815,-11008,10462,52658,111475,-2157,7157,4411,20967,1273737,-1377009,50485,62218,33692,-29023,3017,1342,-1406,15419,15050,10505,difficult
816001,62407,38493,5599,7098,10044,1171675,314491,38624,49755,16154,25535,-451698,-52252,-21972,33372,8039,2496,372467,1388121,58656,113067,195088,26106,-1623373,824165,-366743,1440373,-60596,80628,-16383,79695,-8115,187049,-23039,23610,easy
603335,200453,44336,57895,25398,30010,265602,-114325,-5164,-9775,-2435,-13297,-478844,-165310,-21322,-42991,-18280,-24706,-8024,-163347,-34967,-43695,-20479,-22412,-744446,470820,-50985,1963,-16158,-13645,-33216,-704,-15845,-2199,-11409,2294,difficult
384822,162286,48476,14594,11557,18009,-224461,-135920,-2174,-9967,1556,-10163,408302,90496,-20726,33567,53197,5518,10898,-82871,-27899,13219,11158,-2559,632763,-397404,226416,-173367,-18552,-7173,43534,-20348,51641,-42039,15681,-8077,easy
441715,52626,2758,15408,11509,28748,150623,-20110,11191,-9708,1823,12769,-335691,-33956,716,-8415,-7852,-4643,-438513,-40834,-1087,-9191,-354,8516,-486314,-102822,-13846,-6878,-10475,-1803,1293,-776,-9675,7498,-17412,13159,difficult
563012,95094,60853,60321,32409,25583,-324474,373813,22255,-30328,12423,915,1636317,513902,32501,3040,19965,35536,61246,-66707,-55470,-30080,-26198,-14620,1960791,-1575071,140089,-580609,10246,-87971,33368,-33120,7542,-46163,34621,-50156,easy
745431,218561,13011,10265,11059,40502,-694777,-185318,-11105,-8036,-7962,-37022,-681190,-175345,-1819,-4190,-957,-27418,-737762,-215489,-4181,-4188,35557,16950,13587,-56572,9973,-40144,9286,-2362,3846,2,7005,36514,9604,44368,difficult
859411,35782,27629,20190,24579,30645,111069,1530,-26466,-15305,-20694,-24481,-688990,302994,35554,17238,568,-3824,-575031,74870,-13787,-4128,-10631,-10093,-800059,113959,301464,-228124,62020,-49341,32543,-21366,21262,-11199,20657,-6269,easy
1549612,271334,35953,65972,14387,43134,-938566,270,-12070,-54357,10461,-21722,-1064462,-67465,130706,-17785,18580,9665,-411913,-98133,-19460,3089,111202,30851,-125896,652549,-67735,-30668,142776,-150166,36572,20874,8119,92622,31387,21186,difficult
