delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,delta_cc0,delta_cc1,delta_cc2,delta_cc3,theta_cc0,theta_cc1,theta_cc2,theta_cc3,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,lowalpha_cc3,highalpha_cc0,highalpha_cc1,highalpha_cc2,highalpha_cc3,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,lowbeta_cc3,highbeta_cc0,highbeta_cc1,highbeta_cc2,highbeta_cc3,lowgamma_cc0,lowgamma_cc1,lowgamma_cc2,lowgamma_cc3,midgamma_cc0,midgamma_cc1,midgamma_cc2,midgamma_cc3,state
59870,54413,10119,5262,2756,5770,4443,3309,282042,84715,-5785,13296,16895,23356,9117,11713,113280,-43720,-6426,-1455,8861,-2292,-1362,-2800,-34633,-13433,53,5137,16385,12253,1629,2070,2151450,884169,155665,121162,77822,110230,185452,43236,2373586,232209,250609,25396,39949,41645,72132,39040,-168762,-147913,2186083,222136,-128435,30287,897602,-651960,-641,6479,155612,94944,-14751,6592,116025,-95766,-8034,7524,61437,-37873,-25648,14545,97977,-68585,-10479,2991,183823,-113320,-14513,4870,41166,-4196,easy
864965,189524,15979,11553,5498,17330,10069,7226,879197,-20802,-8513,13105,-642,12736,-2381,10605,-233937,-124088,-15222,-5721,4405,-11984,-4459,-216,-774304,-134612,-865,41621,12197,-3445,-3399,-4335,-847321,-183019,-14836,34728,1956,-2654,-2927,-5483,-196644,-33260,8661,9626,1441,51,4362,10141,-1113134,-540367,-73017,650677,-103286,-10524,-48407,149759,-6709,14357,-13971,23497,-18826,47342,-6893,-25102,5047,7792,-10241,-515,-24720,8539,791,2705,-2078,1060,472,7289,-10821,-4119,-1148,15624,difficult
742346,80025,14086,26969,7748,23548,10650,7696,-545359,-68295,-12660,-26314,-6107,-21941,-7883,-6429,-249008,58531,33770,-10485,630,-8801,-2542,-2582,789418,2414,11765,-8579,3844,12097,-5368,-1782,-450975,-72386,-11746,-25768,-7375,-21972,-9122,-7014,-704637,-73006,-11040,-21571,8950,7312,-2193,9966,296351,1038426,-1240393,-253662,126826,-56117,-74800,-620,46430,-22005,-23511,706,15829,1906,-17189,4197,6737,3214,-11219,16325,13140,20898,-34069,29284,5341,-2826,-3754,6929,3847,800,-5232,16980,easy
159370,55682,10422,5003,4679,12984,6187,4334,496084,-46201,8233,-723,3913,-4719,-2214,-873,743787,333254,21705,43100,14946,23824,1884,8345,-25044,-31262,-7125,-3776,-2759,-723,3881,-2503,-66648,-16872,-10259,-3889,-2840,-9145,-2126,-383,1481292,122427,6997,10277,5766,-1381,6420,3896,247703,-768831,-41604,1547940,379455,-364516,14390,139299,13472,-28830,-3134,17256,43823,-46876,-113,14166,11033,-17705,-81,8606,28543,-24547,-8422,7764,4098,1997,-6007,8546,9218,-10848,2120,4279,difficult
844300,52081,18718,17700,14903,15824,6678,8279,-774062,-41590,-18442,-15999,-13592,-14797,-5859,-7759,-704140,23903,29891,-9304,-4238,12875,1399,-2209,-682069,115239,43536,-15189,-1233,25800,11793,4556,-800457,-50170,-16974,-14968,-13236,-11021,-4351,-6578,-834946,-50461,-16050,-14978,-12815,-9663,-5441,-6932,69922,22071,-118388,-34489,65493,91336,-165409,-291,48333,13645,-60510,924,6695,-5885,221,-10,9354,3005,-12003,421,27672,12925,-36821,1358,7258,10394,-16144,-1090,5550,6765,-11134,-354,easy
916070,48453,7976,4771,13804,14959,16845,6642,-826983,-24282,-2624,-3093,-13485,-12378,-12222,-4257,-692877,-25652,-4961,-3431,-12066,-8621,-11858,-5580,-404928,74968,62910,30687,642,8136,62910,5724,2837235,1503634,101152,81272,22289,96663,139907,34240,-705841,-23256,-1843,-409,-11686,-11576,2558,-4764,134106,287949,3242163,-3543076,-1370,100620,1428666,-1526890,-2337,67871,38242,-102995,-338,34118,50585,-81681,1419,12708,21647,-33975,3757,16757,88527,-108239,364,74768,76997,-137349,-1323,11304,28516,-39004,difficult
156091,26776,12581,9306,6217,10427,4307,3167,233146,97975,-8608,-3671,3995,4409,2480,3198,-106917,38141,11651,-6609,-662,-2269,12,3565,1777539,73703,68074,41340,-2193,25093,7513,15885,-130675,-9716,-6225,-372,3559,-5752,597,-145,237692,117853,7477,571,20287,16978,4231,12670,-340063,1884456,-1908214,368367,-59834,35562,-83419,127569,20259,56423,-74299,13702,-2938,47949,-41712,943,-4657,-1531,5752,16728,-6678,27362,-30845,22730,-2468,7501,-6916,3634,367,12320,-16030,12815,easy
1034323,76778,37925,38936,23350,12842,63041,13879,-183459,-57703,-33916,-35908,-19249,-5094,-57485,-8427,-845500,-3712,-29266,-33165,-20410,-2969,-58743,-11022,-929108,-27887,-26305,-35499,-20230,-3772,-59198,-11638,1558522,15164,46961,2664,-16115,10229,-39797,-7808,-436115,-35092,-27632,-19857,-19281,-6646,-56414,-6668,-662041,-83608,2487630,-1994637,53991,-24175,43051,-50256,4650,2961,73266,-74593,2743,-2334,38163,-22521,-1161,180,4115,-3166,2125,-803,14001,-16875,-1258,-455,19401,-16617,-2595,-616,3830,1140,difficult
299896,75447,35819,23514,18731,24507,28286,17193,70182,-37664,-26759,-19539,-15528,-11459,-22172,-10487,349244,572192,30556,-7577,21783,18142,11516,10049,260274,-65177,-30058,-19907,-15743,-11256,-21473,-13784,-287030,-48311,-32095,-15646,-4706,-4237,-19260,-6601,-250671,-62527,-28213,-21209,-15419,-20876,-22416,-15065,279062,-88970,-547304,36359,609856,-637369,16866,-14216,57315,-60614,-2037,3882,11962,-12330,4261,-5563,37311,-37526,11037,-10713,29601,-29398,7019,-16639,33688,-32989,2213,-3156,20536,-23833,7183,-8464,easy
547628,279231,56747,32896,14753,33874,64625,23416,1153470,-153546,-14291,-13511,-6838,-25160,-56869,-18309,-340254,-254268,-52918,-23238,-10623,-24481,-47334,-19767,-340254,-254268,-52918,-23238,-10623,-24481,-47334,-19767,1114425,2651,-26249,-20051,1909,36843,-47407,-866,-406000,-178128,-50212,-21396,-11563,-31701,-56060,-20483,-1493724,0,1454679,-1520425,-100722,0,256919,-180779,-38627,0,26669,-23963,-9727,0,3187,-1345,-3785,0,12532,-13472,679,0,61324,-68544,9535,0,-73,-8653,-1458,0,18901,-19617,difficult
