delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,state
788646,84683,10431,9773,5690,28288,11777,9874,-569907,-38881,-6120,-8452,-3101,-24638,-3174,-6612,-701435,-22836,-7596,-6463,-3223,-24159,-8026,-7147,-459839,-22866,-8304,-5406,7243,-10870,4749,2262,323390,508474,101890,99170,18029,72619,43269,53362,difficult
554123,267858,20907,5711,24985,22758,11300,8369,121456,-211295,-7960,-754,6517,76,-4038,-1769,260518,16816,-4491,8322,-13726,6031,3243,-1361,1341518,-146478,-12156,24670,-18828,-2287,-3260,1110,-146654,13205,29671,42972,6799,27510,22431,8930,easy
423049,222653,14276,18185,47669,26298,52598,27895,285735,-135896,5461,-9392,-44399,-12603,-38907,-9311,75478,-167966,2983,-15055,-36545,-13105,-36632,-16997,153539,-188519,578,-1288,-15983,37576,-17547,14190,-295842,-205060,-13976,-13824,-42302,-9796,-43876,-18094,difficult
727003,121454,32580,29795,21081,45693,36243,18775,-650390,-86959,-29613,-27019,-18534,-44358,-35612,-18482,-429026,-111771,-24780,-19945,-17851,-41734,-34255,-15684,-707362,-109871,-25263,-25982,-20375,-41492,-34278,-17462,414549,-75956,29058,9394,24583,-15491,2968,12282,easy
263161,72363,13494,16617,19389,30500,13219,13419,584090,-16457,6206,-7999,-11490,-10168,-6101,847,121649,12517,17019,734,-8368,-1974,5439,-7988,-111992,-47438,-9833,-14411,-14870,-20692,-5711,-6727,-32135,22458,7811,-13949,-14830,-2900,803,-7873,difficult
443452,74130,14940,5292,5293,15964,24464,4573,24770,-30071,-9096,3269,1883,-4870,-18988,2757,-312172,-48620,1807,3327,7613,1560,-4,10710,96449,119883,-2580,6167,13352,9798,3041,20839,-405300,-71117,-13534,-2885,-2667,-4090,-21506,-1526,easy
448809,36768,4321,3919,2183,3180,5688,2726,-91014,47930,21164,20902,2013,11983,5643,6976,942285,-13460,111050,618,14766,7378,40,3654,-298619,-19028,3490,645,5011,15415,3506,2537,-35850,16144,8267,-1565,15314,42375,56345,32569,difficult
853744,63901,24923,19752,13842,54962,51121,22633,612394,331801,-10250,-240,13283,23535,3685,4043,-548201,6868,-10106,-14946,-10201,-39204,-40596,-8471,-660408,50463,-12052,28920,405,-5321,-2476,9447,-410863,937,-2083,-4894,-4442,-31584,-39718,-13066,easy
477618,156621,33790,12005,13901,34636,29451,13186,-189007,-150667,-32647,-9783,-13353,-31800,-27607,-12407,-372280,-144285,-31893,-10502,-3153,-30353,-24517,-10409,-468201,-145281,-21332,-6740,-6933,-4486,6111,2902,-379662,-144089,-24091,-8710,-9008,-26473,-25142,-11682,difficult
698518,206339,40332,15195,21468,91102,26644,15160,1375781,-158501,-38009,-696,-18089,-79499,-16380,-8909,-626937,-190470,-24880,-11429,-13651,-79385,-14156,-7607,-693787,-197558,-28446,18017,-7100,-47133,40397,6374,118991,-187549,-32637,4308,-14082,-74510,-16375,-4842,easy
847070,64909,12686,14605,7747,10458,14290,10803,-829094,2191,-8650,-13630,-6038,-8390,-12236,-8620,-578423,5434,-4444,-7825,-426,-3942,-13373,-9313,-838330,-49672,-11528,-6541,4235,14482,-2382,-4767,-822196,-57745,916,-3782,4650,8139,-3604,-7205,difficult
559925,74972,12195,12331,8662,27934,32777,15916,-27736,196834,8606,40644,73187,26276,-6602,23041,-266429,53488,-7238,-10739,-3166,-22843,-26928,-11207,-435659,-60349,55610,-1344,9962,9685,-3759,-3319,-505437,-70438,-11567,-9274,-7449,-24602,-32022,-14827,easy
766220,170927,14966,8883,10632,11057,17257,9989,1353930,144767,38882,13654,9364,41195,8011,19405,-202194,-38356,11667,11544,8054,15268,9945,-1763,-578726,-80009,-13640,806,-4717,4569,6075,7823,51548,41956,18361,-469,3014,18370,-3750,-4353,difficult
206584,71170,10669,10041,7682,8806,5121,2404,2666393,40485,52664,16212,8081,-987,4475,11594,-84276,-69724,-7484,-7257,-6846,-3718,-2663,-524,387954,122887,15370,53023,15078,51336,23881,20675,-59631,-36500,-4531,-7852,-4120,-4174,-4138,-1841,easy
238703,49220,17559,11680,10370,27091,17802,17737,435398,23173,-16966,-10852,10591,-10560,509,-15717,2628353,681752,6653,5403,35199,18682,27814,-1527,-126456,419,21107,-4542,12844,13797,3707,5607,-104933,-43891,-15685,-8932,-2020,-13048,-12513,-14034,difficult
494574,157805,31834,13078,24352,39505,18146,12323,338610,-88149,-17954,6997,-19695,-23997,-333,-276,1883356,27250,78166,89219,-3429,38537,80706,13054,240481,280267,54248,81605,16618,66410,36342,25963,1489231,-8700,-12268,26878,11713,29868,24436,14739,easy
53924,53933,8935,5338,8821,9892,8288,11739,224134,11924,-6811,-1610,-2529,5218,6381,-3257,226512,-14368,5871,1118,-3734,11711,-704,-3429,24681,-35197,-3353,-2978,-5893,-1041,-3787,-8406,11383,11656,6945,18729,12212,89428,30949,5459,difficult
295468,88404,15173,12287,4432,8845,2815,3225,20316,-16986,-62,2719,3708,-5065,-227,-1823,-212918,-35092,2395,16932,11291,4223,10851,1833,-141322,-82939,-10942,-2660,6617,4281,3404,3191,-168000,21618,-12154,-3877,1439,-5843,583,-1287,easy
115176,23418,14511,12349,11783,23323,5856,8923,-71118,-8612,-13212,-9336,-8398,-16190,-1773,-4114,598582,141779,34906,9566,8219,12228,25009,5710,-101788,-521,-11249,-7510,-6573,-16979,-2378,-5760,-42136,26827,-9431,-7242,-9360,-19269,324,-6362,difficult
517305,58785,6352,7018,5727,16027,21379,6599,678866,22834,59563,21694,33948,19332,6872,24214,535654,127430,38006,44621,26957,82958,1578,6670,9626,-9575,14458,19829,39769,25100,45707,16887,-443903,-52332,486,-4616,-3822,-3261,-14559,801,easy
103279,20429,8843,1747,4585,6415,3476,4510,12618,-3222,-8220,-770,-2949,-3257,-2411,-4092,1262278,185521,16319,11472,9171,3897,3988,-769,109870,-6288,-1959,519,260,-2701,492,-2266,598315,47791,27370,12935,6956,8343,7726,610,difficult
527117,50024,19065,14330,15485,16463,17257,9801,279894,-36708,-15878,-8855,-6986,-9650,-11946,-4426,447436,-6652,-9686,31753,4779,7367,6536,441,-513063,-4177,-9822,-3682,-10068,13317,-8850,8856,-360620,-36348,-6334,-9845,-12318,-6432,-10226,-8132,easy
1070148,33564,10319,11187,8724,10837,12583,7536,-1002121,-14709,-7710,-10389,-2588,-8794,-11062,-5939,-1016335,-7051,-1536,-8794,4072,-4357,985,-2791,-857248,21477,10522,8476,-1358,27400,4039,12708,-842076,-20210,-8872,-5041,-4098,-4501,-8658,-6079,difficult
127255,26586,6452,11041,5987,6153,6346,3684,18744,63701,37656,-3442,1424,1915,-1722,-1884,-109474,-19613,-5003,-3949,-4603,-3677,-3735,-1958,-67923,30319,68648,4560,1672,-191,-2671,44,256427,25710,51336,-1692,34804,7921,6335,-625,easy
506170,69779,8581,5695,9129,28194,10730,15113,-387845,-41512,-2861,3852,3234,-21901,-4905,-10083,-95741,-38968,7062,7179,5823,14497,5124,13142,-395775,-59569,-6158,-4192,-6386,-16886,-4530,-8116,137350,30499,-1249,4608,-2529,-24106,-4963,-10811,difficult
804731,323913,19742,23656,17181,39809,80577,13308,-158285,-213393,-15738,-21777,-13465,-31132,-69299,-8663,-118416,-303133,-4051,-9797,-10155,-26364,-62772,-9538,-294331,-206553,2845,2136,-8912,-17358,-68119,4238,-779299,-293244,-6395,-15046,21176,-6217,-48582,8490,easy
743238,476218,98343,28192,29583,52606,46539,28597,-213464,-304703,-92322,-18647,-10449,-22232,-33216,-21915,567518,-378382,-47349,15806,18881,9631,-31163,-8110,-689941,-456201,-94867,-20258,-24986,-46589,-41475,-23970,113215,-455956,-82725,-20162,-22905,-47991,-40392,-26011,difficult
316814,172967,55555,21846,19902,16297,18257,13800,220783,-102419,-50135,-7096,-15956,-12962,-10366,-9721,-115720,-107214,-39587,-3164,-11960,-868,-9830,-5635,-174740,-152896,-52730,-18127,-12881,7242,-5539,-7684,110131,-20528,-43574,4531,-236,37008,15507,14158,easy
1365274,173770,70557,77356,37782,47617,15987,12622,-1200855,-122378,-48478,-67613,-31315,-43086,-13045,-9371,-998202,-154588,-61104,-69520,-29980,-39001,-12516,-10741,-1069096,-161931,-68618,-70634,-34235,-45478,-15382,-12393,-551563,-137838,-66240,-63240,-33118,-42323,-13865,-11238,difficult
