delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_cc0,delta_cc1,theta_cc0,theta_cc1,lowalpha_cc0,lowalpha_cc1,highalpha_cc0,highalpha_cc1,lowbeta_cc0,lowbeta_cc1,highbeta_cc0,highbeta_cc1,lowgamma_cc0,lowgamma_cc1,midgamma_cc0,midgamma_cc1,state
631756,130806,9148,7522,5107,26116,34780,12677,295896,-8076,15488,37752,40391,27827,5436,-4190,-173681,-86249,-1777,13832,3033,27792,-13262,10662,-513810,-103568,-7405,8779,1204,-19952,-31501,-9976,-469577,-340129,-78173,-17319,-17265,-5628,-23920,-5053,-37358,-1829,-35,-47744,-18698,-18239,14852,-20638,easy
1372136,165489,24563,19486,23221,43787,20231,12831,-1370562,-159240,-21696,-10106,-18139,2071,-5817,23229,-1356487,-152356,-20033,-17505,3544,7835,-4850,8906,-1350232,-139033,-3967,-14879,-16990,-19773,-7618,398,14075,6255,6884,13323,1663,16066,-7399,2626,21683,-20534,5764,-27608,967,-2768,-14323,-8508,difficult
653714,26575,15233,14615,9979,13756,5594,5462,-612910,96441,1473,-10530,9559,51891,38454,7064,-641434,-13366,30421,16884,8246,81686,6122,26491,-540824,11677,-3636,-54,7413,-4872,-1282,-3382,-28524,100610,-109807,25043,28948,-34057,27414,-16938,-1313,-833,29795,-86558,-32332,-7404,19427,-29873,easy
314577,41892,14919,7457,7594,13772,12333,9381,-42197,-24510,4920,5366,-5118,-3587,-9197,-5067,-308499,-19636,-5321,2555,-699,43157,32003,11953,-301460,-32776,-407,59,-1631,33459,1567,-1838,-266302,7039,4874,-13140,-10241,4914,-2811,-2496,4419,-932,46744,-9698,41200,-30436,17020,-13791,difficult
649380,48397,17982,12374,12539,20863,13263,5483,308843,-38827,-12068,-5935,-10708,-12110,-10098,-2047,-13062,197076,10689,-1489,2630,-6674,-9025,3492,-350124,12464,-10730,-4279,-5818,21731,9849,36081,-321905,-337062,235903,-184612,22757,-21419,4446,-2790,13338,-8448,5436,28405,1073,18874,5539,32589,easy
90854,14503,4371,11030,7078,12801,4220,5119,222412,88222,-1137,-6493,-3223,-3182,4915,-487,16766,2652,3265,-7318,914,-2792,-645,-2053,-64105,-6354,7279,2849,11891,21315,5057,2031,-205646,-80871,-85570,-9006,4402,4014,-825,10167,4137,10977,390,24107,-5560,5702,-1566,4084,difficult
545954,66870,15663,27432,10296,64779,26742,21171,-375115,-49225,11691,-24901,-6352,-57510,-17456,-10912,-203914,-22652,-2174,-10689,18910,-14180,1177,-11465,-472267,-63799,-15204,-26468,-9410,-63757,-25326,-20215,171201,-268353,26573,-41147,-13865,-13030,14212,-15779,25262,-28320,43330,-49577,18633,-26503,-553,-8750,easy
262201,63557,11313,8515,6276,5119,2332,1846,-196244,-56327,-7010,-1850,-3134,-2784,270,195,-231340,-38836,-1434,1709,9448,12014,2872,5066,-191429,13640,20673,16734,2585,18316,4580,7762,-35096,39911,17491,52476,5576,22107,3559,15025,12582,-6863,14798,6302,2602,1708,4871,2696,difficult
397776,134453,13982,24462,4896,15194,5362,2329,-218302,-99021,-2290,-18465,3940,-4868,2053,857,300883,24449,13985,-15207,12546,-10361,395,543,-283335,-112186,-7966,-23072,11475,-10871,6361,3264,519185,-584218,123470,-136635,16275,-21951,3258,-7865,8606,-1071,-5493,-510,-1658,5966,-314,2721,easy
137847,47345,10739,5804,4895,8631,4764,4979,-26223,-23665,-5275,-1172,-4274,-7259,-3290,-4225,-101347,-29929,-2122,2589,3804,-4828,-1867,-3769,10846,14968,5590,13850,881,-4211,-2807,-2781,-75124,112193,-6264,44897,3153,7712,3761,11261,8078,-2923,2431,617,1423,-940,456,988,difficult
75337,17397,3558,5708,7022,30643,12572,5521,174184,149552,44723,24146,2466,-18766,991,6097,1143292,14892,2707,-1218,-1859,-27221,-6225,-3101,-53894,-10169,-1896,-3738,-4721,-23640,-4831,-2737,969108,-1197186,-134660,-25061,-42016,-4603,-25364,-2520,-4325,-2862,-8455,3581,-7216,1394,-9198,364,easy
