delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_cc0,delta_cc1,delta_cc2,theta_cc0,theta_cc1,theta_cc2,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,highalpha_cc0,highalpha_cc1,highalpha_cc2,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,highbeta_cc0,highbeta_cc1,highbeta_cc2,lowgamma_cc0,lowgamma_cc1,lowgamma_cc2,midgamma_cc0,midgamma_cc1,midgamma_cc2,state
401964,39223,6570,10225,4845,15236,5116,3272,-301628,-27803,-1515,-3580,-3669,-7883,2107,-784,-363948,-23031,-3828,-6451,-3377,-9527,711,-2602,-350335,-30395,-3562,-4778,-1749,-7562,-2198,-1394,-385871,-32273,-5695,-8201,-1809,-3484,5997,-1654,-62320,13613,-35536,4772,-7364,-1878,-2313,266,-2133,-2871,1673,-3423,292,1628,-60,-1644,1965,4078,-1396,-2909,8195,-1818,1208,-260,easy
566543,70652,9531,16856,7068,4946,1830,1266,91705,88819,54051,-3322,5118,4585,3712,1328,95435,87893,23797,-13774,-1021,-1300,372,177,-458998,-47329,-1769,-13140,-4454,-3435,-1287,-952,-551518,-24313,-4174,-14201,-6336,-3558,-1223,-1012,3730,-554433,-92520,-926,-135222,23016,-30254,-25566,-2405,-10452,634,-1061,-6139,-3433,-1882,-5885,-2135,-123,-3340,-1659,64,-1151,-1129,-60,difficult
352561,159406,20453,12011,10053,27216,14908,4385,-243148,-141332,-3379,-2674,-2575,-19578,-10566,-1728,-215458,-139829,-18702,-4024,-7736,-20393,-12048,-2725,-317240,-135205,219,10061,6838,-3839,-2270,9821,1102996,-93870,-13927,-2863,-2653,14604,-1968,2972,27690,-101782,1420236,1503,4624,41335,-15323,18921,-14146,-1350,14085,-12924,-5161,14574,-9491,-815,16554,18443,-1482,9778,302,-997,12546,-6849,easy
357327,134321,23989,31477,9514,24933,10097,2157,338815,-66271,-20053,-11369,-5765,-20184,-8288,569,43770,82196,31619,-22888,19811,-1683,-1070,9834,216012,-71359,21011,34543,3769,5684,-1225,5373,606728,59422,5551,-5328,22768,15311,3457,6850,-295045,172242,390716,148467,-153555,130781,51672,-10608,-15460,-11519,57431,-39871,25576,-16042,18999,18501,7367,9627,7218,-155,4682,9265,-4461,1477,difficult
145497,72664,12901,9181,6597,15723,6251,4606,528260,71712,96169,39309,11224,22073,33979,3346,1098408,174219,30153,-1842,166,-2773,3333,-1245,252793,179614,-420,3554,-2292,-3902,991,160,2108765,253545,32025,-5653,4158,-3144,-4046,447,570148,-845615,1855972,102507,5395,73931,-66016,-30573,32445,-41151,5396,-9207,-11058,-2458,6450,-24846,-1129,758,-30646,-2342,-5037,-4591,1405,287,easy
169883,47335,8819,9080,3069,2626,2278,903,1507046,130874,67604,-6217,14764,14345,2389,3158,-97498,-5836,-4847,-4129,-1340,-1838,-1323,-325,-115091,-18545,8478,-4885,8289,9066,1524,939,516237,50955,20688,-4507,7852,5157,1992,880,-1604544,-17593,631328,-136710,-12709,69500,-72451,13325,12210,2088,-756,378,-16104,9629,-437,-16183,10904,-3909,-3712,2847,468,-3483,1264,-59,difficult
183072,57774,20126,3777,2802,6674,2576,2051,-42925,-26048,-16159,-2984,-1000,-5134,-1913,-1619,475807,14507,-17584,5673,3489,-2858,4500,-578,66811,-35013,26932,1018,4738,595,1281,642,-94237,-9347,-4427,24231,2972,1279,2299,549,518732,-408996,-161048,40555,-49520,25666,-1425,44516,-31359,8657,-4655,23213,4489,1249,-1766,2276,3453,684,6413,-3219,1018,1041,1220,-93,easy
59558,36981,1401,5302,2841,9717,4574,1804,-23434,-22530,-3,-3511,289,-634,8366,-112,591041,180882,82501,27989,33502,8647,18406,9192,106540,-17618,4490,-4083,285,-2970,-967,2795,-46092,-20851,1178,-2213,1631,9340,-1766,-565,614475,-484501,-152632,203412,-198500,-3233,82504,-78011,-3312,31500,-32072,1870,33213,-33217,1346,9281,-11617,12310,10040,-19373,-799,9304,-6397,-3360,difficult
211959,50731,8336,3696,7366,6794,3920,2841,-201877,-37109,-6256,-1072,1387,20768,20080,12796,365185,-32176,187,6011,-3626,2447,-730,-14,387316,24266,13382,13243,4003,12637,3982,2322,-175011,-10757,-6529,-45,-5210,-2546,-1114,45,567062,22131,-562327,4933,56442,-35023,6443,13195,-19911,7083,7232,-13288,-5013,7629,-9213,-18321,10190,-15183,-20810,4712,-5096,-12810,2336,-2277,easy
401609,95754,23943,10043,11451,34241,8683,5302,160135,-9450,-18000,-6767,-8607,-31548,-7075,-2918,48883,112062,19022,17011,-813,-20959,13396,12382,-248703,-16757,-9272,2871,-2406,-15265,4443,2628,136393,-77988,-17925,5141,-5800,-19196,3616,5202,-111252,-297586,385096,121512,-128819,-61231,37022,-28294,-8653,23778,-14140,2270,7794,-1593,-3394,10589,5694,-3931,20471,-8953,-827,15300,-9754,2574,difficult
476738,133029,22730,9851,21769,21132,7116,5963,277251,154020,11187,16015,7429,89111,5270,12969,439262,474647,-779,20471,9056,13969,13721,1270,-449728,-116975,-17908,-8463,-19924,-19836,-6181,-5328,-372829,-99981,-11924,-6222,-16326,-18695,-5224,-5457,162011,-888990,76899,320627,-591622,16994,-11966,-17129,5984,4456,-28934,2241,1627,-28980,3598,-75142,-33805,1141,8451,-19902,957,-11699,-6598,-129,easy
428911,153602,40251,29159,14246,6740,4434,3423,-285334,-113914,-37830,-27533,-10612,-5535,-3984,-3262,1395010,-65824,-5553,28560,16524,13611,1718,-1200,-378749,-131866,-36885,-10945,-6410,-1667,-1505,-555,-252760,141632,-30975,-13243,40109,1072,1992,2563,1680344,-1773759,125989,48090,-66042,273498,32277,-31332,5910,56093,-39505,-2298,27136,-22934,46519,19146,-15278,2739,5702,-3223,3497,2062,645,3118,difficult
