delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,state
1549612,271334,35953,65972,14387,43134,17754,17977,-938566,270,-12070,-54357,10461,-21722,-6564,-3831,-1064462,-67465,130706,-17785,18580,9665,6203,39115,-411913,-98133,-19460,3089,111202,30851,48516,7773,difficult
1468827,179626,114279,65518,41088,27399,38375,11148,-1321032,-134096,-108440,-62994,-39289,-18066,-34778,-8827,-1457814,-170940,-108635,-55561,-25902,-6665,-18816,-5016,-1404620,-146465,-97338,-56955,-18395,-8117,-33455,-6636,easy
548565,33603,9265,3706,19230,24313,14591,18489,-181515,189220,-7837,23556,-6597,-5122,-8642,-10456,-530556,-18797,-6439,2020,-16515,-22476,-10092,-17460,-494981,84776,1352,11585,-3786,-44,-2995,-10064,difficult
215372,69719,26603,12951,11016,23529,13130,14044,547237,-40753,29145,-7031,15121,-11183,-3928,-11765,-125003,-47289,-15068,-3726,-1645,395,-6240,-8134,790145,10685,-21860,6891,-2039,-12226,5423,-640,easy
346992,73723,29417,33094,9679,13068,18040,7513,-133702,11533,-20544,-18231,-1694,-2387,-9084,-5330,-77447,-42480,-25922,-21388,-4719,-5987,-15213,-4202,1154183,206918,29938,9176,25965,153569,7170,21084,difficult
968112,139890,20553,11039,21042,41784,19411,11446,-957360,-115495,-8536,-8216,-6647,-19671,-12499,-4023,-875244,-111536,-3732,10216,4078,-18774,-6815,-5401,-951182,-135960,-19785,-9686,-11674,-35855,-17109,-8089,easy
388411,215179,26970,32998,26302,35739,37073,19593,426841,-188703,-22484,-25716,-18550,-25814,-26835,-15036,10035,-169530,-12611,-25835,-18898,-22145,-29883,-13376,-363725,-203660,-18509,-25157,10496,-11298,-6049,2544,difficult
429703,172907,22777,9786,6717,11672,9028,4223,-327978,-157098,-17000,-3843,3312,-4480,-4350,-554,-123223,-151641,-7397,-4382,11410,12706,9009,5752,-370473,-140386,-20498,-995,7243,19794,6352,4987,easy
718322,169123,26693,34659,28809,34977,29381,17139,996229,125110,-6193,-2634,-11880,-6592,6816,39752,-326647,-108109,22596,-31541,23042,40040,2671,6492,-694817,-120121,-17336,-11339,-20895,27085,12355,-4599,difficult
117076,44610,8799,7935,7615,7414,7609,3165,3947,22954,13529,-2821,5251,28,-5204,-2108,-98345,-18500,3400,16358,15885,26139,14756,8279,195783,4043,-2217,-4423,-3249,9728,-3228,55,easy
506320,77646,26573,14264,24017,34891,21827,21089,-492158,-63913,-25689,-9136,-12424,308,4551,-9482,-435011,-54883,-21476,-5674,-12338,-27240,-14035,-19327,-478218,-67859,-23272,-10175,-18745,-29455,-19263,-19101,difficult
