delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,delta_cc0,delta_cc1,delta_cc2,theta_cc0,theta_cc1,theta_cc2,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,highalpha_cc0,highalpha_cc1,highalpha_cc2,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,highbeta_cc0,highbeta_cc1,highbeta_cc2,state
30620,22860,8456,8104,5632,17150,-26006,-574,-3848,-3149,3779,37139,179486,30881,-4036,6079,-4327,-6677,-24109,-17280,-4849,12749,2852,9841,-20356,-14750,-4833,-4925,9682,27256,205492,-203595,3753,31455,-48161,2530,-188,-813,16,9228,6670,-17674,-8106,7179,6830,-43816,16518,17415,easy
247801,74685,12316,4123,4263,9713,-82362,-38149,959,22863,9825,20290,-41031,73586,-5713,32905,7042,21278,-235030,-61335,-1798,4270,2899,6934,-183932,-58339,-11060,-1436,-1818,-3443,41331,-193999,51098,111735,-134921,2996,-6672,3915,-9262,10042,-28635,-5706,-2783,-4143,-4717,988,-14344,-10377,difficult
90080,10664,8675,17089,9560,16085,30838,17517,-4162,-9026,-3285,-11081,-68996,1243,-912,-8739,840,15971,-83924,2070,10408,-9432,-2549,13286,14582,-4565,-7563,-14728,-7456,-11832,-99834,-14928,98506,-16274,827,-6635,3250,11320,-17971,287,-693,-5296,4125,-3389,-4907,27052,-2685,-25118,easy
95346,78825,7624,15111,7602,15037,-58212,-56883,-1471,-3917,-4416,21698,-71013,-60822,-151,-7451,-4062,-7783,-81051,-24948,18204,-10285,5512,12114,-82757,-67570,3817,791,2287,-2781,-12801,-10038,-1706,-3939,35874,-42622,1320,18355,-14387,-3534,-2834,11076,354,9574,-3225,-29481,19897,-14895,difficult
74511,41981,5979,2659,7808,7692,576711,-32435,389,13711,17112,27882,-68529,-33242,36163,14959,-2231,15831,-59375,-26151,-4956,4205,-883,17893,-62926,-38315,-252,13069,3944,23370,-645240,9154,-3551,-807,7091,-12164,35774,-41119,4704,1248,-10754,8864,-19343,1348,4827,-12051,2062,5477,easy
129614,37017,10132,8832,4114,8732,-97369,27579,-291,-3627,140,36463,71352,-29779,-9050,-5244,-2874,-2110,-122917,-17241,-7241,7397,-2682,62458,-123014,-27285,1193,-5800,2627,6382,168721,-194269,-97,-57358,12538,-10044,-8759,1809,8434,-1617,12641,-13197,-3014,192,5309,-38573,64568,-56076,difficult
356240,103234,33718,20983,10513,7259,-350900,-99317,-30782,-19932,-7990,-2793,-109126,-95510,-29795,-13504,-8018,-4233,-337197,-96052,-30108,-971,-758,11961,-286287,-47606,-24774,-17855,-3636,-4394,241774,-228071,50910,3807,-542,48446,987,-313,5334,6428,12533,-16884,-28,7260,-2878,-1440,16194,-16355,easy
131861,53569,8120,13201,7651,9496,-112721,-32033,3542,1046,12240,20539,-107336,-33607,5225,-9601,-5008,-802,-120778,-44801,-6690,-12197,-6721,-2624,-126561,-44160,-5858,-7764,-4327,12083,5385,-13442,-5783,-1574,-11194,641,1683,-11915,832,-10647,-2596,4433,-17248,-1713,2394,-21341,-1822,14707,difficult
282444,197186,32168,55063,12461,29758,-264421,-192814,-26673,-47714,-11271,-19535,-278817,-194275,-30229,-48775,-9207,-15531,-279059,-187231,-27623,-51112,-2778,-10853,-264627,-161997,-19129,-53437,-8342,12557,-14396,-242,14432,-1461,7044,25234,-3556,2606,8494,-1061,-2337,-2325,2064,6429,-5564,4004,4678,23410,easy
140900,38022,7164,11779,7207,9356,561989,108896,2669,41436,1360,48892,-136108,-32354,-1015,1780,-1481,40715,-78458,100391,4686,28336,9218,12300,-123367,-20514,8915,585,12001,27068,-698097,57650,-44909,-141250,132745,-120905,-3684,5701,4229,-39656,26556,-27751,-2841,10699,2783,-8177,-28415,14768,difficult
31342,38404,5877,9360,3240,8112,137113,-34527,-4707,-4527,-1123,1209,-15441,-30704,-5004,162,5871,7893,51673,-25755,1335,-8293,-2038,-3588,-9299,-14737,5990,1228,-1563,-3490,-152554,67114,-60972,3823,4949,11018,-297,6339,4655,4689,-8455,9521,6994,-7909,475,6684,-11481,98,easy
574634,238771,34928,26289,30143,26123,152400,-62170,91781,40304,-4668,9582,-329101,-194235,-30751,-22008,-27415,-14645,-285315,-151023,-15571,85890,-24604,19546,568983,-228633,-25021,-12581,-16965,-20589,-481501,43786,854298,-132065,43212,-77610,-122532,15180,-9450,-62312,107898,-98471,-22747,2811,7639,-24227,34191,-40135,difficult
