delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
1020567-1086612-270334-945824-1835916-1781215-748602-2487147,138340-107175-128230-269628-131188-700955-162993-332149,7450-18937-17481-91370-164754-123775-1805-42388,4848-24255-5723-24667-41364-26631-45887-49183,23153-4608-22861-59970-65660-32782-18218-83414,8310-22253-19303-30846-75278-52334-28540-65970,6933-24962-20105-32778-58556-46783-23399-65099,6968-10786-8398-14478-19333-26683-20279-38726,easy
1086612-270334-945824-1835916-1781215-748602-2487147-454643,107175-128230-269628-131188-700955-162993-332149-253439,18937-17481-91370-164754-123775-1805-42388-27832,24255-5723-24667-41364-26631-45887-49183-39375,4608-22861-59970-65660-32782-18218-83414-75893,22253-19303-30846-75278-52334-28540-65970-107283,24962-20105-32778-58556-46783-23399-65099-28285,10786-8398-14478-19333-26683-20279-38726-17138,easy
270334-945824-1835916-1781215-748602-2487147-454643-48099,128230-269628-131188-700955-162993-332149-253439-22118,17481-91370-164754-123775-1805-42388-27832-10595,5723-24667-41364-26631-45887-49183-39375-11952,22861-59970-65660-32782-18218-83414-75893-13646,19303-30846-75278-52334-28540-65970-107283-18023,20105-32778-58556-46783-23399-65099-28285-13044,8398-14478-19333-26683-20279-38726-17138-13148,easy
945824-1835916-1781215-748602-2487147-454643-48099-56704,269628-131188-700955-162993-332149-253439-22118-11585,91370-164754-123775-1805-42388-27832-10595-4619,24667-41364-26631-45887-49183-39375-11952-2816,59970-65660-32782-18218-83414-75893-13646-3102,30846-75278-52334-28540-65970-107283-18023-2693,32778-58556-46783-23399-65099-28285-13044-742,14478-19333-26683-20279-38726-17138-13148-1010,easy
1835916-1781215-748602-2487147-454643-48099-56704-20703,131188-700955-162993-332149-253439-22118-11585-13293,164754-123775-1805-42388-27832-10595-4619-8628,41364-26631-45887-49183-39375-11952-2816-13558,65660-32782-18218-83414-75893-13646-3102-13116,75278-52334-28540-65970-107283-18023-2693-8353,58556-46783-23399-65099-28285-13044-742-12543,19333-26683-20279-38726-17138-13148-1010-5278,easy
1781215-748602-2487147-454643-48099-56704-20703-39920,700955-162993-332149-253439-22118-11585-13293-10312,123775-1805-42388-27832-10595-4619-8628-15539,26631-45887-49183-39375-11952-2816-13558-23996,32782-18218-83414-75893-13646-3102-13116-7056,52334-28540-65970-107283-18023-2693-8353-6674,46783-23399-65099-28285-13044-742-12543-2926,26683-20279-38726-17138-13148-1010-5278-3432,easy
748602-2487147-454643-48099-56704-20703-39920-40037,162993-332149-253439-22118-11585-13293-10312-43324,1805-42388-27832-10595-4619-8628-15539-24776,45887-49183-39375-11952-2816-13558-23996-12224,18218-83414-75893-13646-3102-13116-7056-12536,28540-65970-107283-18023-2693-8353-6674-12189,23399-65099-28285-13044-742-12543-2926-6495,20279-38726-17138-13148-1010-5278-3432-3939,easy
2487147-454643-48099-56704-20703-39920-40037-61830,332149-253439-22118-11585-13293-10312-43324-21045,42388-27832-10595-4619-8628-15539-24776-10076,49183-39375-11952-2816-13558-23996-12224-9664,83414-75893-13646-3102-13116-7056-12536-8829,65970-107283-18023-2693-8353-6674-12189-11489,65099-28285-13044-742-12543-2926-6495-7541,38726-17138-13148-1010-5278-3432-3939-3289,easy
454643-48099-56704-20703-39920-40037-61830-304196,253439-22118-11585-13293-10312-43324-21045-90919,27832-10595-4619-8628-15539-24776-10076-48504,39375-11952-2816-13558-23996-12224-9664-19289,75893-13646-3102-13116-7056-12536-8829-18076,107283-18023-2693-8353-6674-12189-11489-14471,28285-13044-742-12543-2926-6495-7541-14719,17138-13148-1010-5278-3432-3939-3289-5628,easy
48099-56704-20703-39920-40037-61830-304196-931129,22118-11585-13293-10312-43324-21045-90919-133869,10595-4619-8628-15539-24776-10076-48504-12230,11952-2816-13558-23996-12224-9664-19289-24291,13646-3102-13116-7056-12536-8829-18076-7241,18023-2693-8353-6674-12189-11489-14471-17475,13044-742-12543-2926-6495-7541-14719-14906,13148-1010-5278-3432-3939-3289-5628-26167,easy
