delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
25449-114462-403319-25367-23299-83622-724133-15329,7508-12693-73273-42278-14673-73423-161018-23890,637-24611-8122-24336-10987-7285-13219-846,1343-16259-25379-9227-55815-15616-79989-58730,2046-6360-11280-8063-4361-4202-7836-16856,747-13989-8244-16018-10411-3868-10489-20046,855-8719-6079-16445-4977-1460-11204-15368,1222-5812-5640-16593-7577-9000-6761-17350,hard
114462-403319-25367-23299-83622-724133-15329-105080,12693-73273-42278-14673-73423-161018-23890-21849,24611-8122-24336-10987-7285-13219-846-806,16259-25379-9227-55815-15616-79989-58730-3193,6360-11280-8063-4361-4202-7836-16856-3526,13989-8244-16018-10411-3868-10489-20046-4403,8719-6079-16445-4977-1460-11204-15368-5593,5812-5640-16593-7577-9000-6761-17350-1287,hard
403319-25367-23299-83622-724133-15329-105080-33929,73273-42278-14673-73423-161018-23890-21849-35306,8122-24336-10987-7285-13219-846-806-35072,25379-9227-55815-15616-79989-58730-3193-36294,11280-8063-4361-4202-7836-16856-3526-13479,8244-16018-10411-3868-10489-20046-4403-14502,6079-16445-4977-1460-11204-15368-5593-35767,5640-16593-7577-9000-6761-17350-1287-10378,easy
25367-23299-83622-724133-15329-105080-33929-57213,42278-14673-73423-161018-23890-21849-35306-17535,24336-10987-7285-13219-846-806-35072-33288,9227-55815-15616-79989-58730-3193-36294-14653,8063-4361-4202-7836-16856-3526-13479-16339,16018-10411-3868-10489-20046-4403-14502-20160,16445-4977-1460-11204-15368-5593-35767-12646,16593-7577-9000-6761-17350-1287-10378-5928,hard
23299-83622-724133-15329-105080-33929-57213-192998,14673-73423-161018-23890-21849-35306-17535-92243,10987-7285-13219-846-806-35072-33288-6127,55815-15616-79989-58730-3193-36294-14653-10882,4361-4202-7836-16856-3526-13479-16339-5679,10411-3868-10489-20046-4403-14502-20160-3057,4977-1460-11204-15368-5593-35767-12646-3482,7577-9000-6761-17350-1287-10378-5928-2143,hard
83622-724133-15329-105080-33929-57213-192998-74391,73423-161018-23890-21849-35306-17535-92243-39387,7285-13219-846-806-35072-33288-6127-14529,15616-79989-58730-3193-36294-14653-10882-20238,4202-7836-16856-3526-13479-16339-5679-20635,3868-10489-20046-4403-14502-20160-3057-26221,1460-11204-15368-5593-35767-12646-3482-14443,9000-6761-17350-1287-10378-5928-2143-19594,hard
724133-15329-105080-33929-57213-192998-74391-127983,161018-23890-21849-35306-17535-92243-39387-51772,13219-846-806-35072-33288-6127-14529-3018,79989-58730-3193-36294-14653-10882-20238-10548,7836-16856-3526-13479-16339-5679-20635-5229,10489-20046-4403-14502-20160-3057-26221-5113,11204-15368-5593-35767-12646-3482-14443-4840,6761-17350-1287-10378-5928-2143-19594-6176,easy
15329-105080-33929-57213-192998-74391-127983-50313,23890-21849-35306-17535-92243-39387-51772-7817,846-806-35072-33288-6127-14529-3018-8942,58730-3193-36294-14653-10882-20238-10548-37654,16856-3526-13479-16339-5679-20635-5229-20586,20046-4403-14502-20160-3057-26221-5113-21167,15368-5593-35767-12646-3482-14443-4840-8442,17350-1287-10378-5928-2143-19594-6176-15419,easy
105080-33929-57213-192998-74391-127983-50313-34309,21849-35306-17535-92243-39387-51772-7817-12826,806-35072-33288-6127-14529-3018-8942-9516,3193-36294-14653-10882-20238-10548-37654-33735,3526-13479-16339-5679-20635-5229-20586-11122,4403-14502-20160-3057-26221-5113-21167-13979,5593-35767-12646-3482-14443-4840-8442-9624,1287-10378-5928-2143-19594-6176-15419-5086,easy
33929-57213-192998-74391-127983-50313-34309-18200,35306-17535-92243-39387-51772-7817-12826-18613,35072-33288-6127-14529-3018-8942-9516-18933,36294-14653-10882-20238-10548-37654-33735-4798,13479-16339-5679-20635-5229-20586-11122-12445,14502-20160-3057-26221-5113-21167-13979-22581,35767-12646-3482-14443-4840-8442-9624-6507,10378-5928-2143-19594-6176-15419-5086-5345,easy
57213-192998-74391-127983-50313-34309-18200-14592,17535-92243-39387-51772-7817-12826-18613-22120,33288-6127-14529-3018-8942-9516-18933-16374,14653-10882-20238-10548-37654-33735-4798-6515,16339-5679-20635-5229-20586-11122-12445-7815,20160-3057-26221-5113-21167-13979-22581-6538,12646-3482-14443-4840-8442-9624-6507-7351,5928-2143-19594-6176-15419-5086-5345-2602,hard
192998-74391-127983-50313-34309-18200-14592-17490,92243-39387-51772-7817-12826-18613-22120-28171,6127-14529-3018-8942-9516-18933-16374-15694,10882-20238-10548-37654-33735-4798-6515-42847,5679-20635-5229-20586-11122-12445-7815-9335,3057-26221-5113-21167-13979-22581-6538-14203,3482-14443-4840-8442-9624-6507-7351-7668,2143-19594-6176-15419-5086-5345-2602-5302,hard
74391-127983-50313-34309-18200-14592-17490-10837,39387-51772-7817-12826-18613-22120-28171-34842,14529-3018-8942-9516-18933-16374-15694-6524,20238-10548-37654-33735-4798-6515-42847-5538,20635-5229-20586-11122-12445-7815-9335-18265,26221-5113-21167-13979-22581-6538-14203-5915,14443-4840-8442-9624-6507-7351-7668-4254,19594-6176-15419-5086-5345-2602-5302-4294,hard
127983-50313-34309-18200-14592-17490-10837-49778,51772-7817-12826-18613-22120-28171-34842-63581,3018-8942-9516-18933-16374-15694-6524-22113,10548-37654-33735-4798-6515-42847-5538-16909,5229-20586-11122-12445-7815-9335-18265-8541,5113-21167-13979-22581-6538-14203-5915-13202,4840-8442-9624-6507-7351-7668-4254-3114,6176-15419-5086-5345-2602-5302-4294-4279,easy
50313-34309-18200-14592-17490-10837-49778-153538,7817-12826-18613-22120-28171-34842-63581-44003,8942-9516-18933-16374-15694-6524-22113-7986,37654-33735-4798-6515-42847-5538-16909-8556,20586-11122-12445-7815-9335-18265-8541-2343,21167-13979-22581-6538-14203-5915-13202-4845,8442-9624-6507-7351-7668-4254-3114-3785,15419-5086-5345-2602-5302-4294-4279-1585,easy
34309-18200-14592-17490-10837-49778-153538-83770,12826-18613-22120-28171-34842-63581-44003-9642,9516-18933-16374-15694-6524-22113-7986-28293,33735-4798-6515-42847-5538-16909-8556-3702,11122-12445-7815-9335-18265-8541-2343-2328,13979-22581-6538-14203-5915-13202-4845-5071,9624-6507-7351-7668-4254-3114-3785-2037,5086-5345-2602-5302-4294-4279-1585-3891,easy
18200-14592-17490-10837-49778-153538-83770-99551,18613-22120-28171-34842-63581-44003-9642-45077,18933-16374-15694-6524-22113-7986-28293-15140,4798-6515-42847-5538-16909-8556-3702-12511,12445-7815-9335-18265-8541-2343-2328-7695,22581-6538-14203-5915-13202-4845-5071-16335,6507-7351-7668-4254-3114-3785-2037-5263,5345-2602-5302-4294-4279-1585-3891-4900,easy
14592-17490-10837-49778-153538-83770-99551-25831,22120-28171-34842-63581-44003-9642-45077-49033,16374-15694-6524-22113-7986-28293-15140-5415,6515-42847-5538-16909-8556-3702-12511-14309,7815-9335-18265-8541-2343-2328-7695-19348,6538-14203-5915-13202-4845-5071-16335-12840,7351-7668-4254-3114-3785-2037-5263-9370,2602-5302-4294-4279-1585-3891-4900-6638,easy
17490-10837-49778-153538-83770-99551-25831-210521,28171-34842-63581-44003-9642-45077-49033-21710,15694-6524-22113-7986-28293-15140-5415-7330,42847-5538-16909-8556-3702-12511-14309-7341,9335-18265-8541-2343-2328-7695-19348-14354,14203-5915-13202-4845-5071-16335-12840-5344,7668-4254-3114-3785-2037-5263-9370-3424,5302-4294-4279-1585-3891-4900-6638-2626,easy
10837-49778-153538-83770-99551-25831-210521-51492,34842-63581-44003-9642-45077-49033-21710-12952,6524-22113-7986-28293-15140-5415-7330-4824,5538-16909-8556-3702-12511-14309-7341-1222,18265-8541-2343-2328-7695-19348-14354-3132,5915-13202-4845-5071-16335-12840-5344-2937,4254-3114-3785-2037-5263-9370-3424-2377,4294-4279-1585-3891-4900-6638-2626-2639,easy
49778-153538-83770-99551-25831-210521-51492-8417,63581-44003-9642-45077-49033-21710-12952-5209,22113-7986-28293-15140-5415-7330-4824-9825,16909-8556-3702-12511-14309-7341-1222-11186,8541-2343-2328-7695-19348-14354-3132-14647,13202-4845-5071-16335-12840-5344-2937-19691,3114-3785-2037-5263-9370-3424-2377-4613,4279-1585-3891-4900-6638-2626-2639-9410,easy
153538-83770-99551-25831-210521-51492-8417-111822,44003-9642-45077-49033-21710-12952-5209-12323,7986-28293-15140-5415-7330-4824-9825-9781,8556-3702-12511-14309-7341-1222-11186-2479,2343-2328-7695-19348-14354-3132-14647-1505,4845-5071-16335-12840-5344-2937-19691-1077,3785-2037-5263-9370-3424-2377-4613-1491,1585-3891-4900-6638-2626-2639-9410-622,easy
83770-99551-25831-210521-51492-8417-111822-1470424,9642-45077-49033-21710-12952-5209-12323-54715,28293-15140-5415-7330-4824-9825-9781-36389,3702-12511-14309-7341-1222-11186-2479-5736,2328-7695-19348-14354-3132-14647-1505-7523,5071-16335-12840-5344-2937-19691-1077-5200,2037-5263-9370-3424-2377-4613-1491-10135,3891-4900-6638-2626-2639-9410-622-9512,easy
99551-25831-210521-51492-8417-111822-1470424-385698,45077-49033-21710-12952-5209-12323-54715-47806,15140-5415-7330-4824-9825-9781-36389-2995,12511-14309-7341-1222-11186-2479-5736-6685,7695-19348-14354-3132-14647-1505-7523-8327,16335-12840-5344-2937-19691-1077-5200-5131,5263-9370-3424-2377-4613-1491-10135-7149,4900-6638-2626-2639-9410-622-9512-5387,easy
25831-210521-51492-8417-111822-1470424-385698-205035,49033-21710-12952-5209-12323-54715-47806-47023,5415-7330-4824-9825-9781-36389-2995-32601,14309-7341-1222-11186-2479-5736-6685-8394,19348-14354-3132-14647-1505-7523-8327-18511,12840-5344-2937-19691-1077-5200-5131-3363,9370-3424-2377-4613-1491-10135-7149-6300,6638-2626-2639-9410-622-9512-5387-3004,easy
210521-51492-8417-111822-1470424-385698-205035-539369,21710-12952-5209-12323-54715-47806-47023-48908,7330-4824-9825-9781-36389-2995-32601-54872,7341-1222-11186-2479-5736-6685-8394-54876,14354-3132-14647-1505-7523-8327-18511-53192,5344-2937-19691-1077-5200-5131-3363-16001,3424-2377-4613-1491-10135-7149-6300-11253,2626-2639-9410-622-9512-5387-3004-6164,easy
51492-8417-111822-1470424-385698-205035-539369-22924,12952-5209-12323-54715-47806-47023-48908-73275,4824-9825-9781-36389-2995-32601-54872-8410,1222-11186-2479-5736-6685-8394-54876-6503,3132-14647-1505-7523-8327-18511-53192-13759,2937-19691-1077-5200-5131-3363-16001-4794,2377-4613-1491-10135-7149-6300-11253-4133,2639-9410-622-9512-5387-3004-6164-2009,easy
8417-111822-1470424-385698-205035-539369-22924-800444,5209-12323-54715-47806-47023-48908-73275-477530,9825-9781-36389-2995-32601-54872-8410-51526,11186-2479-5736-6685-8394-54876-6503-29471,14647-1505-7523-8327-18511-53192-13759-102577,19691-1077-5200-5131-3363-16001-4794-22535,4613-1491-10135-7149-6300-11253-4133-47613,9410-622-9512-5387-3004-6164-2009-15767,easy
111822-1470424-385698-205035-539369-22924-800444-23053,12323-54715-47806-47023-48908-73275-477530-95246,9781-36389-2995-32601-54872-8410-51526-45422,2479-5736-6685-8394-54876-6503-29471-29844,1505-7523-8327-18511-53192-13759-102577-12089,1077-5200-5131-3363-16001-4794-22535-10784,1491-10135-7149-6300-11253-4133-47613-7749,622-9512-5387-3004-6164-2009-15767-17226,hard
1470424-385698-205035-539369-22924-800444-23053-387195,54715-47806-47023-48908-73275-477530-95246-46763,36389-2995-32601-54872-8410-51526-45422-6670,5736-6685-8394-54876-6503-29471-29844-2012,7523-8327-18511-53192-13759-102577-12089-5998,5200-5131-3363-16001-4794-22535-10784-2075,10135-7149-6300-11253-4133-47613-7749-1390,9512-5387-3004-6164-2009-15767-17226-1313,hard
385698-205035-539369-22924-800444-23053-387195-126145,47806-47023-48908-73275-477530-95246-46763-15782,2995-32601-54872-8410-51526-45422-6670-40832,6685-8394-54876-6503-29471-29844-2012-40044,8327-18511-53192-13759-102577-12089-5998-20741,5131-3363-16001-4794-22535-10784-2075-13882,7149-6300-11253-4133-47613-7749-1390-8001,5387-3004-6164-2009-15767-17226-1313-8460,hard
205035-539369-22924-800444-23053-387195-126145-4127,47023-48908-73275-477530-95246-46763-15782-83241,32601-54872-8410-51526-45422-6670-40832-23924,8394-54876-6503-29471-29844-2012-40044-28099,18511-53192-13759-102577-12089-5998-20741-10814,3363-16001-4794-22535-10784-2075-13882-4033,6300-11253-4133-47613-7749-1390-8001-8719,3004-6164-2009-15767-17226-1313-8460-6874,hard
539369-22924-800444-23053-387195-126145-4127-73642,48908-73275-477530-95246-46763-15782-83241-125507,54872-8410-51526-45422-6670-40832-23924-4838,54876-6503-29471-29844-2012-40044-28099-35723,53192-13759-102577-12089-5998-20741-10814-27429,16001-4794-22535-10784-2075-13882-4033-4049,11253-4133-47613-7749-1390-8001-8719-5111,6164-2009-15767-17226-1313-8460-6874-6342,hard
22924-800444-23053-387195-126145-4127-73642-50247,73275-477530-95246-46763-15782-83241-125507-40281,8410-51526-45422-6670-40832-23924-4838-22926,6503-29471-29844-2012-40044-28099-35723-24938,13759-102577-12089-5998-20741-10814-27429-20960,4794-22535-10784-2075-13882-4033-4049-10258,4133-47613-7749-1390-8001-8719-5111-6896,2009-15767-17226-1313-8460-6874-6342-7189,hard
800444-23053-387195-126145-4127-73642-50247-57096,477530-95246-46763-15782-83241-125507-40281-4208,51526-45422-6670-40832-23924-4838-22926-56365,29471-29844-2012-40044-28099-35723-24938-10770,102577-12089-5998-20741-10814-27429-20960-29039,22535-10784-2075-13882-4033-4049-10258-6909,47613-7749-1390-8001-8719-5111-6896-7818,15767-17226-1313-8460-6874-6342-7189-2755,hard
23053-387195-126145-4127-73642-50247-57096-70133,95246-46763-15782-83241-125507-40281-4208-13617,45422-6670-40832-23924-4838-22926-56365-3874,29844-2012-40044-28099-35723-24938-10770-8968,12089-5998-20741-10814-27429-20960-29039-2127,10784-2075-13882-4033-4049-10258-6909-5494,7749-1390-8001-8719-5111-6896-7818-5517,17226-1313-8460-6874-6342-7189-2755-1311,easy
387195-126145-4127-73642-50247-57096-70133-1731635,46763-15782-83241-125507-40281-4208-13617-167993,6670-40832-23924-4838-22926-56365-3874-9345,2012-40044-28099-35723-24938-10770-8968-14549,5998-20741-10814-27429-20960-29039-2127-42854,2075-13882-4033-4049-10258-6909-5494-37641,1390-8001-8719-5111-6896-7818-5517-11437,1313-8460-6874-6342-7189-2755-1311-2588,easy
126145-4127-73642-50247-57096-70133-1731635-1273370,15782-83241-125507-40281-4208-13617-167993-211381,40832-23924-4838-22926-56365-3874-9345-31624,40044-28099-35723-24938-10770-8968-14549-72491,20741-10814-27429-20960-29039-2127-42854-175956,13882-4033-4049-10258-6909-5494-37641-70035,8001-8719-5111-6896-7818-5517-11437-24611,8460-6874-6342-7189-2755-1311-2588-17077,easy
4127-73642-50247-57096-70133-1731635-1273370-110089,83241-125507-40281-4208-13617-167993-211381-196410,23924-4838-22926-56365-3874-9345-31624-46807,28099-35723-24938-10770-8968-14549-72491-17452,10814-27429-20960-29039-2127-42854-175956-23266,4033-4049-10258-6909-5494-37641-70035-27803,8719-5111-6896-7818-5517-11437-24611-18323,6874-6342-7189-2755-1311-2588-17077-6693,easy
73642-50247-57096-70133-1731635-1273370-110089-2154729,125507-40281-4208-13617-167993-211381-196410-241221,4838-22926-56365-3874-9345-31624-46807-53797,35723-24938-10770-8968-14549-72491-17452-2674,27429-20960-29039-2127-42854-175956-23266-53131,4049-10258-6909-5494-37641-70035-27803-33026,5111-6896-7818-5517-11437-24611-18323-20672,6342-7189-2755-1311-2588-17077-6693-15050,hard
50247-57096-70133-1731635-1273370-110089-2154729-321836,40281-4208-13617-167993-211381-196410-241221-392451,22926-56365-3874-9345-31624-46807-53797-5190,24938-10770-8968-14549-72491-17452-2674-31017,20960-29039-2127-42854-175956-23266-53131-7133,10258-6909-5494-37641-70035-27803-33026-15630,6896-7818-5517-11437-24611-18323-20672-8893,7189-2755-1311-2588-17077-6693-15050-11463,hard
57096-70133-1731635-1273370-110089-2154729-321836-1060130,4208-13617-167993-211381-196410-241221-392451-11182,56365-3874-9345-31624-46807-53797-5190-22079,10770-8968-14549-72491-17452-2674-31017-10891,29039-2127-42854-175956-23266-53131-7133-7543,6909-5494-37641-70035-27803-33026-15630-4621,7818-5517-11437-24611-18323-20672-8893-3242,2755-1311-2588-17077-6693-15050-11463-3121,easy
70133-1731635-1273370-110089-2154729-321836-1060130-1543367,13617-167993-211381-196410-241221-392451-11182-45535,3874-9345-31624-46807-53797-5190-22079-26734,8968-14549-72491-17452-2674-31017-10891-17522,2127-42854-175956-23266-53131-7133-7543-14138,5494-37641-70035-27803-33026-15630-4621-11327,5517-11437-24611-18323-20672-8893-3242-10571,1311-2588-17077-6693-15050-11463-3121-5349,easy
