delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
9019-419698-38106-190631-15069-103824-17869-47114,2457-79313-49820-22209-30053-14184-4763-203790,3377-3285-27448-10599-8249-3687-4664-8631,2636-12808-7358-5578-9302-22455-10085-17438,1607-12959-7583-17836-2457-8029-1791-8526,1553-7123-11040-5164-16903-26270-2843-16176,1851-4056-3847-2917-5535-5449-1119-4228,374-2747-1991-2302-1682-6486-283-2775,easy
419698-38106-190631-15069-103824-17869-47114-85076,79313-49820-22209-30053-14184-4763-203790-17763,3285-27448-10599-8249-3687-4664-8631-7329,12808-7358-5578-9302-22455-10085-17438-7779,12959-7583-17836-2457-8029-1791-8526-6181,7123-11040-5164-16903-26270-2843-16176-5298,4056-3847-2917-5535-5449-1119-4228-636,2747-1991-2302-1682-6486-283-2775-1496,easy
38106-190631-15069-103824-17869-47114-85076-41178,49820-22209-30053-14184-4763-203790-17763-37319,27448-10599-8249-3687-4664-8631-7329-17994,7358-5578-9302-22455-10085-17438-7779-10459,7583-17836-2457-8029-1791-8526-6181-16338,11040-5164-16903-26270-2843-16176-5298-8755,3847-2917-5535-5449-1119-4228-636-7084,1991-2302-1682-6486-283-2775-1496-1437,easy
190631-15069-103824-17869-47114-85076-41178-29665,22209-30053-14184-4763-203790-17763-37319-84051,10599-8249-3687-4664-8631-7329-17994-22644,5578-9302-22455-10085-17438-7779-10459-10298,17836-2457-8029-1791-8526-6181-16338-37561,5164-16903-26270-2843-16176-5298-8755-8321,2917-5535-5449-1119-4228-636-7084-6395,2302-1682-6486-283-2775-1496-1437-3829,easy
15069-103824-17869-47114-85076-41178-29665-740171,30053-14184-4763-203790-17763-37319-84051-60687,8249-3687-4664-8631-7329-17994-22644-1963,9302-22455-10085-17438-7779-10459-10298-24069,2457-8029-1791-8526-6181-16338-37561-17461,16903-26270-2843-16176-5298-8755-8321-7439,5535-5449-1119-4228-636-7084-6395-4847,1682-6486-283-2775-1496-1437-3829-2194,easy
103824-17869-47114-85076-41178-29665-740171-50753,14184-4763-203790-17763-37319-84051-60687-33684,3687-4664-8631-7329-17994-22644-1963-13072,22455-10085-17438-7779-10459-10298-24069-40929,8029-1791-8526-6181-16338-37561-17461-6413,26270-2843-16176-5298-8755-8321-7439-6198,5449-1119-4228-636-7084-6395-4847-8817,6486-283-2775-1496-1437-3829-2194-6752,easy
17869-47114-85076-41178-29665-740171-50753-10016,4763-203790-17763-37319-84051-60687-33684-28458,4664-8631-7329-17994-22644-1963-13072-12620,10085-17438-7779-10459-10298-24069-40929-17372,1791-8526-6181-16338-37561-17461-6413-2964,2843-16176-5298-8755-8321-7439-6198-10346,1119-4228-636-7084-6395-4847-8817-3407,283-2775-1496-1437-3829-2194-6752-2312,easy
47114-85076-41178-29665-740171-50753-10016-4668,203790-17763-37319-84051-60687-33684-28458-12273,8631-7329-17994-22644-1963-13072-12620-6486,17438-7779-10459-10298-24069-40929-17372-15276,8526-6181-16338-37561-17461-6413-2964-6001,16176-5298-8755-8321-7439-6198-10346-8211,4228-636-7084-6395-4847-8817-3407-3950,2775-1496-1437-3829-2194-6752-2312-2509,easy
85076-41178-29665-740171-50753-10016-4668-8181,17763-37319-84051-60687-33684-28458-12273-21400,7329-17994-22644-1963-13072-12620-6486-17706,7779-10459-10298-24069-40929-17372-15276-7340,6181-16338-37561-17461-6413-2964-6001-7912,5298-8755-8321-7439-6198-10346-8211-4728,636-7084-6395-4847-8817-3407-3950-2483,1496-1437-3829-2194-6752-2312-2509-2240,easy
41178-29665-740171-50753-10016-4668-8181-7296,37319-84051-60687-33684-28458-12273-21400-18246,17994-22644-1963-13072-12620-6486-17706-4602,10459-10298-24069-40929-17372-15276-7340-11406,16338-37561-17461-6413-2964-6001-7912-21317,8755-8321-7439-6198-10346-8211-4728-14267,7084-6395-4847-8817-3407-3950-2483-3700,1437-3829-2194-6752-2312-2509-2240-2153,easy
