delta_c0,theta_c0,lowalpha_c0,highalpha_c0,lowbeta_c0,highbeta_c0,lowgamma_c0,midgamma_c0,delta_c1,theta_c1,lowalpha_c1,highalpha_c1,lowbeta_c1,highbeta_c1,lowgamma_c1,midgamma_c1,delta_c2,theta_c2,lowalpha_c2,highalpha_c2,lowbeta_c2,highbeta_c2,lowgamma_c2,midgamma_c2,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
-51180,-36401,21109,4662,-3075,-2490,-11455,-1217,51180,36402,-21108,-4661,3075,2490,11456,1217,30571,-56814,36187,-5095,773,-3671,-4760,-3652,1181865,295553,50687,48057,16412,24311,19160,5576,-441508,-71190,-9909,31674,8297,1272,-6196,-1196,382657,1369183,70719,111369,195346,24882,14581,4445,1489032,110829,35597,45116,14464,32816,16768,11351,-138384,385524,38636,8720,70669,62522,18908,16364,0
261480,162766,18856,107,6083,16747,18203,7233,-261480,-162766,-18856,-107,-6082,-16747,-18202,-7233,99269,-166337,68501,25719,8949,-6320,-13718,-6332,-191371,-191366,20660,-1394,4539,-12270,-17617,-7298,441392,35050,2108,42140,56180,3411,1893,12338,43988,-138317,-5065,21792,14141,-4666,-14822,-4451,2457954,49234,37050,47210,40505,27779,75800,36289,-228350,97699,55378,21429,42498,21777,-4441,-1364,0
137298,52353,413,11540,1810,21120,6695,1732,-137298,-52352,-413,-11540,-1810,-21120,-6695,-1731,524913,94389,124247,72123,51441,54170,75839,53119,-121985,-10725,-9277,6781,-4518,-15069,-4272,-430,-35992,66233,1317,16704,273,14665,16979,8099,78833,138517,770,8557,30069,1387,1958,1262,327096,295365,59708,72745,55817,77917,14037,11232,18886,-6110,-8532,-7445,14187,-274,6040,2769,1
-429226,-278992,-8602,-40373,-9965,-48554,-18674,-14130,429226,278992,8603,40374,9966,48554,18674,14130,-38079,-116556,31798,-723,3851,-11462,9572,12054,404280,-184647,8876,-16961,-6887,-32904,-21096,-11691,-569698,-313055,-9276,-35632,-2515,-45576,-22828,-14979,-210967,-279126,6157,-25027,-1255,-15163,-8902,-11711,-546514,-306383,-10564,-36652,-9495,-44535,-19544,-14507,-558339,-309465,-10996,-40517,-1780,-40389,-17085,-14348,0
730878,355152,-1585,55130,10366,48204,8653,6003,-730878,-355151,1585,-55130,-10365,-48203,-8652,-6003,-1893381,-343479,-36925,-72809,-11567,-51999,-3132,-14321,-1569693,-114223,-24378,-78627,6606,-39055,-7608,-8605,-1695589,-181958,118398,-42055,14725,-7668,5159,34341,-1043040,-212626,-31768,-21181,107347,13518,47472,2999,-1928942,-314576,-39944,-65098,1024,-12810,20626,-14321,-1614428,-312192,-9183,-66724,-10988,-50193,-13157,-16672,1
368999,-7194,-30435,-27374,-11710,-20321,-9162,-5200,-368998,7195,30436,27375,11710,20322,9163,5201,-329622,183217,63253,85814,46217,-6849,65767,24962,-434348,434886,43340,-1723,27829,-1368,17559,8619,1526443,574975,53586,31645,35371,33253,29194,32605,-48628,-5634,-34385,-1475,-10792,-16903,-9385,-3933,1357522,67246,-20525,7961,15431,24466,4516,14604,44919,772510,36656,52459,75846,7231,12147,15130,0
292034,100893,20627,31384,14069,18226,10351,6291,-292033,-100893,-20627,-31383,-14068,-18226,-10351,-6291,-268020,-74446,-7138,-2974,-13430,-12502,-7950,-3572,-108557,-62397,-3124,-30868,-11802,-15720,-7753,-5808,-276944,-93748,-349,4119,-7655,28081,-1413,574,-103487,-95812,-11570,-24771,-15614,-7617,-7094,-4603,1042633,-51993,31829,-5815,29462,6630,34160,13135,19779,-72384,-16614,-28634,-16100,-10201,-6531,-4928,1
199446,58888,2908,10108,10195,4161,661,4677,-199446,-58887,-2908,-10107,-10195,-4160,-661,-4677,492207,-84620,4531,-6307,-11407,-21188,-9574,-5505,2147433,131788,98225,12463,46023,13585,58,3846,-11169,-72237,21912,-13756,-2562,-16232,-8409,-5626,139464,-6848,30042,2171,-3424,-9952,-5471,-4115,840039,130895,31205,16126,6096,10375,-628,516,-71140,-56556,5398,-10635,1735,-4199,6337,-5966,1
910649,3958,10281,-13709,4077,1310,-5828,-1281,-910648,-3957,-10281,13709,-4077,-1310,5828,1281,-1080372,-15112,-27365,-27356,-30753,-38075,-24280,-8347,-249055,-3507,-35588,-24424,-30945,-37173,-25331,-9665,-1049114,297957,26432,8119,-9683,-16516,38547,13019,-935155,69833,-22909,-13247,-20882,-22785,-570,7084,1020256,115069,13069,-17604,585,20724,-1943,15773,-1064731,-33340,-19403,-27098,-30444,-34552,-27076,-6560,0
22765,-11219,-4885,-7547,-18282,-6971,-1848,-2478,-22765,11220,4885,7548,18282,6971,1849,2478,356023,189785,84142,28744,34497,55708,17825,875,342615,100342,11466,11024,-11561,-7400,-9975,-6182,541498,115861,1785,5394,-8997,34651,2421,3798,10438,55270,8668,-2176,12625,24391,3020,6139,-32113,20253,4056,-6211,2274,20036,6754,4578,1530667,143141,217158,124127,45173,7059,-3535,4998,1
