delta_c0,theta_c0,lowalpha_c0,highalpha_c0,lowbeta_c0,highbeta_c0,lowgamma_c0,midgamma_c0,delta_c1,theta_c1,lowalpha_c1,highalpha_c1,lowbeta_c1,highbeta_c1,lowgamma_c1,midgamma_c1,delta_c2,theta_c2,lowalpha_c2,highalpha_c2,lowbeta_c2,highbeta_c2,lowgamma_c2,midgamma_c2,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,state
49761,10110,566,306,3728,12447,-56,4507,-49761,-10110,-566,-305,-3728,-12446,56,-4507,-34071,13202,71,4122,-7013,-11944,-2694,2471,13403,28925,4,-6292,-7534,-19369,-7971,-4412,44801,6102,17270,7165,1482,-16870,-7064,1746,4148,7889,-3888,-6118,-10211,-21671,-9717,-5754,3027,39238,8635,-1490,-7615,-19446,-8331,-3408,1
197146,14815,1730,-9992,2840,-6395,-640,1548,-197145,-14814,-1730,9993,-2839,6395,640,-1547,-199261,604,6193,-11467,-4785,-6042,-4715,-2428,-181669,23945,6708,-12533,-6863,-7617,-5068,-3625,-141475,47080,14666,-11473,464,-2364,-4317,-3010,-214340,1209,6720,-9812,-3887,-6976,-5393,-3916,60040,37187,8172,-2037,-2710,9173,3521,1437,1
-480,-1227,-1212,-4104,2183,-130,-1634,-1019,480,1228,1212,4105,-2182,130,1635,1020,78531,-2424,762,-13265,-5877,-10183,-5829,-10216,72433,75526,23309,21697,8874,2073,-3401,-5955,24867,26071,22111,-9884,-3876,-8989,-4932,-9531,215604,18522,62878,20250,17143,3890,-2222,-4421,130894,22992,867,-10905,-5774,-8529,-3928,-9674,0
-218364,-61496,-5227,-7897,-9724,-5261,-1402,-3224,218365,61497,5228,7898,9724,5262,1403,3225,-118143,-12412,-4699,-9335,14829,12515,2281,2693,-37796,-63877,-11347,-14883,-11257,-8374,-1023,-3821,-21537,-52375,-8007,-11413,-9186,-6182,-1177,-3132,-41426,-64575,-11395,-13468,-10290,-8480,-2256,-4242,-175860,-70076,-5577,-12558,-11585,-7490,-1984,-3223,1
77607,-7264,381,-7030,-4092,-4601,-1562,-6891,-77607,7265,-381,7031,4093,4601,1563,6892,149255,40328,6348,-7534,-3193,-4978,-4051,-7543,193061,17340,2928,21512,14318,8205,14515,6237,-47693,22123,3054,9752,26329,11741,2080,-5256,90824,32792,12740,-5255,-4545,-3204,-4011,-7484,-43442,-4827,329,-6777,-5792,-4652,-2195,-8721,1
43170,-1023,1589,4892,120,1599,-405,148,-43169,1024,-1588,-4891,-120,-1598,406,-147,419,33780,890,-3434,2116,-623,-137,-1548,32429,-11156,-1524,-4962,2777,-1909,602,-1362,-64336,-11595,713,-1769,7649,1916,5915,131,14053,-18006,-2222,-4078,1351,-2524,105,-582,-58170,-16521,-1551,-5702,2795,1368,4915,2219,1
30101,17427,10927,12,693,1305,956,653,-30101,-17426,-10927,-12,-693,-1305,-956,-653,-53386,21269,9407,12435,25909,13174,17069,8200,183266,21878,-10914,996,3644,2494,1402,716,-85452,-4553,-13433,3555,2386,2411,5889,5075,-89975,-6936,-7391,1918,1885,4290,5170,1852,183189,-17286,-12479,4265,-267,-303,-63,158,0
181183,67167,18146,14248,3437,1620,6272,1159,-181183,-67167,-18146,-14248,-3436,-1620,-6272,-1159,453273,-52607,-14610,-13568,-5336,-3791,-7913,-3073,232175,-67577,-8376,-1390,906,-507,-5686,-2094,-76282,-61643,-2107,3604,-4171,2829,-5665,-1380,-278075,-75632,-21301,-12930,2614,2992,-3727,-1377,-268963,-61066,-12435,-14721,-4297,-3120,-8136,-3020,1
-28525,-3542,-510,237,-3673,-1228,-579,-505,28526,3542,510,-236,3673,1228,579,505,-11284,75504,54554,7949,1183,15082,13180,9209,762226,135839,15146,14912,1406,3849,2241,2592,477607,92226,8116,29440,146,10089,5611,1742,1151887,71344,6900,5198,2219,11115,10913,9259,167090,66667,14682,4685,-2418,9219,7367,5116,0
-6937,5165,2431,2443,-114,6,-341,241,6938,-5164,-2430,-2443,115,-6,342,-241,127827,99305,14689,9632,7703,8679,3749,3732,7313,-906,-2538,-1790,165,3247,23,-954,-40950,12543,4390,-227,-1889,430,1980,-1057,235468,-11928,7883,5353,3892,3117,5335,1048,-30620,-9116,-2350,-3276,-2392,-1543,-1205,-1322,0
-44012,11317,5883,-563,-264,-429,67,294,44012,-11316,-5883,563,264,429,-66,-294,-15145,66336,19113,-1359,8301,2965,1308,264,-74097,-46729,-3716,-565,1900,-23,1050,1331,932766,77271,21686,4498,6730,9500,8999,7619,-8334,-51171,-3740,1722,308,6442,5057,2977,-57281,-52409,-505,-1502,-2110,948,150,-638,0
-34786,92364,5088,25337,4467,11387,7760,-44,34787,-92364,-5088,-25337,-4467,-11387,-7759,45,12484,-76118,-12584,-21063,-9995,-11890,-6585,13711,-253296,-32046,-20636,-19805,15066,-14493,15046,6447,-245424,-95189,-16723,-24618,-10360,-23173,-14658,-4253,-197006,-41205,-12868,-26164,-9225,-24718,-13075,-4680,-283839,-101113,-18726,-26237,-10286,-23424,-13608,-4331,1
-13087,18042,1598,1596,1026,2219,2402,2227,13087,-18042,-1598,-1595,-1025,-2218,-2402,-2227,611192,148914,52988,45582,57781,17601,15011,15277,2772958,377681,113634,14408,5809,17707,7414,5072,40253,-20500,6050,4364,46,-1023,-1283,-1559,65964,2370,6853,31648,3497,7532,4648,2226,-20435,-23231,2231,178,1076,1720,3719,435,0
16087,622,522,-339,209,119,54,-76,-16087,-621,-522,340,-208,-118,-53,77,132851,7982,-87,22032,28080,7905,12269,22855,2054,-6279,4644,-918,-297,-290,-116,400,-11634,-17013,2363,1435,532,259,335,804,772962,51073,80764,141561,99688,28785,57962,19030,126858,-4641,14580,476,3694,5732,4913,3041,0
-41040,-8360,867,-2028,105,-1002,-92,-682,41040,8360,-866,2028,-104,1002,92,682,479663,561937,89210,64810,109465,56761,11948,19005,611372,102193,19372,25812,39735,27202,27014,16026,-16892,19891,1124,-925,604,-434,586,-369,-60128,-815,-465,-1212,-564,-1229,-168,-617,-25129,1633,2372,7437,-673,-477,790,366,0
-592321,-29880,2508,-4690,-24889,-66055,-95072,-22662,592321,29881,-2508,4690,24889,66056,95073,22662,24807,156300,-34454,103030,19951,-5435,-96281,-20593,-1450852,11991,-30687,50047,84369,-60100,-107701,-31478,-1695466,-59934,-15445,-5621,-6575,-56658,-96171,-30041,-1759493,-60955,-40706,-1652,-27452,-72924,-115078,-34539,-1701150,-12327,-24757,10382,-18522,-69242,-114408,-32096,1
-38430,361,2555,663,909,-4849,-3179,-1222,38430,-361,-2555,-662,-909,4849,3180,1223,-48398,-13473,-5296,18233,-1382,2745,-8863,-363,211224,-11678,-9664,-11576,-3830,-8698,-13168,-1963,400328,156351,2316,-2181,-82,-3906,-7007,210,-10689,2606,-416,-11453,-3267,-8435,-14116,-1651,4688,-12252,-6415,-9959,-4918,-8417,-13755,-1044,1
-11808,-15664,-6578,-467,-178,-1124,-461,282,11808,15665,6578,467,179,1124,462,-281,-73580,-34732,-8101,975,412,-13,-630,203,-314215,-17782,-4364,-2087,-1542,-518,8668,13,-236694,-13777,-4063,1623,-193,-231,-415,266,-237889,1311,3326,5221,5194,5952,2000,8260,-281610,-14616,-248,8877,2646,4323,9944,3890,0
181200,122318,2993,14207,10779,13260,14782,6193,-181199,-122317,-2992,-14206,-10778,-13260,-14781,-6192,-298629,-160712,484,-11401,-10769,-9454,-13037,-4738,-318442,-160389,1605,-8196,-7190,-8539,-11114,-1097,-288985,-142743,6493,-13837,-10916,-12807,-15724,-8211,-299777,-161888,175,-12931,-12145,-11212,-16009,-8066,-270805,-147883,-1176,-14690,-12108,-12718,-14786,-7255,1
207272,79816,37083,10573,18982,3748,5335,13343,-207271,-79816,-37083,-10573,-18981,-3747,-5334,-13343,-957035,-118664,-46378,-9833,-26939,-6815,-5967,-12251,-763679,-128250,-46264,-7212,-27355,-10277,-4427,-14104,-924707,-116552,-33819,-11882,-27489,-7371,-5309,-12099,-849805,-94737,-41070,318,-18012,2847,7771,-12913,-890309,-75404,-41687,-11275,-27113,-9160,-5640,-14069,0
11025,22225,-2280,11633,-3580,1521,1579,-1121,-11024,-22224,2280,-11632,3580,-1520,-1579,1122,-111659,2040,4197,-7138,780,-4003,-2565,-113,14942,-19968,-1888,-15376,-3760,-3019,-3242,2615,78748,61086,7711,-12971,1312,-1359,-1774,-1875,412962,17149,3771,-6446,206,1317,6190,3380,495412,149913,-1381,-9794,4121,10207,10075,-131,0
50394,17227,-398,-301,-83,-184,-68,243,-50394,-17227,398,301,84,184,69,-242,-79692,-21752,4964,10058,4007,-1347,-654,131,-22753,4053,5088,123,468,357,-1278,-770,318215,-1579,4958,928,849,1615,753,764,167306,94149,12931,-604,4695,2633,-8,-465,26693,-9677,3289,-2389,2204,2257,-1021,507,1
17864,453,6934,-1367,45,254,186,-468,-17864,-452,-6933,1368,-44,-254,-186,469,10694,-19417,-4310,-5644,-670,-2579,-763,-918,162537,30193,6094,-1166,-601,-2247,-2020,-850,220464,92968,17106,15710,7426,15303,3862,4429,24313,8679,-4818,-7133,-1260,-2403,-2517,-1089,-5450,29221,-4735,3753,12468,4487,1823,4840,0
19222,-8613,-1616,2235,997,6795,2220,1396,-19222,8614,1617,-2234,-996,-6795,-2220,-1395,-58066,20893,-1616,1392,-2977,-6757,-1542,-437,-22684,-9814,-4589,-1970,-2476,-7786,-1242,-1553,1202031,137765,18656,21936,2258,8285,5026,342,-167327,14733,-5442,-2401,-4397,-6881,-2699,-1730,-189213,899,1868,1094,-1359,-8123,-1895,-999,1
-33336,27205,6956,5297,-820,199,-101,-831,33337,-27205,-6955,-5297,821,-199,102,832,-7963,-19646,-7838,-7847,-814,-1647,1205,-822,-81032,-3441,-2906,-2987,5938,8799,6434,6228,-82529,-39848,-3071,-1235,4840,8237,3775,970,-34489,-39271,-9389,-8513,-637,-598,342,-637,-18703,-21262,-8561,-7368,-1424,-1497,19,-697,0
556337,30331,21680,36020,16226,12241,3014,2611,-556336,-30331,-21680,-36019,-16226,-12241,-3013,-2611,-394953,-29130,-22718,-33233,-16732,-11548,-2160,-2852,-597625,-51396,-19875,-31933,-17008,-11632,-1916,-2807,-411189,-14307,-14522,25809,-6913,9616,13903,6609,-472246,-70872,-22714,-31460,-15689,-10004,1304,-630,-350973,179128,23542,27160,9562,3340,13973,10887,0
6874,37340,5076,-9847,13329,1814,-240,83,-6873,-37339,-5076,9847,-13328,-1813,240,-82,-249878,-79437,-22561,-27459,-24411,-13739,-5490,-6549,-267637,-85283,-21903,-28119,-24300,-13481,-5559,-6981,627054,157108,-15915,-18571,-12485,4875,970,-1506,1553880,8038,1539,-12056,-12038,-1689,-1010,-2892,-216369,-56694,-24717,-27550,-23702,-10502,-5422,-6256,1
-41115,-33119,5083,1656,-5749,-1224,-5310,-3521,41115,33119,-5083,-1655,5749,1224,5311,3522,1060407,32442,51779,-4835,402,14057,12336,2245,172972,91091,-4484,6451,14350,20352,4791,6557,-5234,-76427,-9083,-4520,-6059,-2334,-6168,-4056,149877,-51293,21493,-1098,5285,3446,459,-987,1002232,-20176,9499,10765,4983,10188,776,4870,0
-76914,-14117,-959,953,35,44,-133,450,76914,14118,960,-953,-34,-44,133,-450,-73695,-19309,-203,-410,-1447,-2291,-1502,-1237,136530,84240,3617,4700,1453,698,943,165,20312,212394,69278,12834,4150,6756,5778,3626,298051,22335,4399,1303,-147,1397,586,625,-32427,5619,7013,2929,-27,1056,1554,-105,0
-973778,-210651,-39129,-14063,-3970,-13684,-10246,-7818,973778,210652,39130,14064,3971,13685,10247,7819,-1185008,-130137,-31682,4604,10626,-6387,-3410,-2064,-1153763,-204868,-40019,-8218,-2942,-11544,-10510,-6739,-953567,-181896,-36866,-13393,-3799,-13103,-10495,-6987,-946140,-169432,-40423,-9017,4568,1810,-1043,-3241,-1108593,-163036,-39827,-15068,-1035,-9988,-10194,-7185,1
956361,134939,10881,16562,3303,-4168,65,-726,-956360,-134938,-10881,-16561,-3303,4168,-64,727,-975879,-143863,-21421,-16676,-8084,-21496,-10697,-14526,-632262,-141891,-24388,-15274,-6192,-18733,-8133,-12331,-332319,-40553,-10745,-8404,-4951,-15078,-7914,-13315,-979395,-141344,-28411,-16085,-8036,-19002,-9021,-13699,-819620,-52079,50811,14848,4242,-13601,-6460,-5657,0
