delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
3347976-664690-863701-1216006-168368-276795-1222402-1183026,439141-38119-58676-105638-108783-32444-131667-77407,77213-7776-19118-186635-49325-8070-4089-30368,55606-4529-16926-28513-7006-6719-11023-2158,16151-4561-9131-9302-4882-2219-8413-7032,33235-3067-18530-7427-9849-3912-13124-9757,35786-2143-9365-14607-13324-2844-3199-5854,7826-939-3033-2894-2128-568-4511-1211,easy
664690-863701-1216006-168368-276795-1222402-1183026-2194751,38119-58676-105638-108783-32444-131667-77407-213847,7776-19118-186635-49325-8070-4089-30368-86232,4529-16926-28513-7006-6719-11023-2158-16893,4561-9131-9302-4882-2219-8413-7032-28858,3067-18530-7427-9849-3912-13124-9757-33494,2143-9365-14607-13324-2844-3199-5854-22305,939-3033-2894-2128-568-4511-1211-8845,easy
863701-1216006-168368-276795-1222402-1183026-2194751-236688,58676-105638-108783-32444-131667-77407-213847-17492,19118-186635-49325-8070-4089-30368-86232-2181,16926-28513-7006-6719-11023-2158-16893-3550,9131-9302-4882-2219-8413-7032-28858-3778,18530-7427-9849-3912-13124-9757-33494-2467,9365-14607-13324-2844-3199-5854-22305-3595,3033-2894-2128-568-4511-1211-8845-418,easy
1216006-168368-276795-1222402-1183026-2194751-236688-530970,105638-108783-32444-131667-77407-213847-17492-167050,186635-49325-8070-4089-30368-86232-2181-53294,28513-7006-6719-11023-2158-16893-3550-20441,9302-4882-2219-8413-7032-28858-3778-8406,7427-9849-3912-13124-9757-33494-2467-7088,14607-13324-2844-3199-5854-22305-3595-6615,2894-2128-568-4511-1211-8845-418-1343,easy
168368-276795-1222402-1183026-2194751-236688-530970-497396,108783-32444-131667-77407-213847-17492-167050-362677,49325-8070-4089-30368-86232-2181-53294-29126,7006-6719-11023-2158-16893-3550-20441-38045,4882-2219-8413-7032-28858-3778-8406-14525,9849-3912-13124-9757-33494-2467-7088-8797,13324-2844-3199-5854-22305-3595-6615-5851,2128-568-4511-1211-8845-418-1343-2963,easy
276795-1222402-1183026-2194751-236688-530970-497396-2822203,32444-131667-77407-213847-17492-167050-362677-541147,8070-4089-30368-86232-2181-53294-29126-134264,6719-11023-2158-16893-3550-20441-38045-45932,2219-8413-7032-28858-3778-8406-14525-44314,3912-13124-9757-33494-2467-7088-8797-62565,2844-3199-5854-22305-3595-6615-5851-49247,568-4511-1211-8845-418-1343-2963-11882,easy
1222402-1183026-2194751-236688-530970-497396-2822203-1965826,131667-77407-213847-17492-167050-362677-541147-653652,4089-30368-86232-2181-53294-29126-134264-32281,11023-2158-16893-3550-20441-38045-45932-45111,8413-7032-28858-3778-8406-14525-44314-27878,13124-9757-33494-2467-7088-8797-62565-47478,3199-5854-22305-3595-6615-5851-49247-58641,4511-1211-8845-418-1343-2963-11882-13662,easy
1183026-2194751-236688-530970-497396-2822203-1965826-1761969,77407-213847-17492-167050-362677-541147-653652-426697,30368-86232-2181-53294-29126-134264-32281-152839,2158-16893-3550-20441-38045-45932-45111-59545,7032-28858-3778-8406-14525-44314-27878-63360,9757-33494-2467-7088-8797-62565-47478-69554,5854-22305-3595-6615-5851-49247-58641-54612,1211-8845-418-1343-2963-11882-13662-11640,easy
2194751-236688-530970-497396-2822203-1965826-1761969-384376,213847-17492-167050-362677-541147-653652-426697-276993,86232-2181-53294-29126-134264-32281-152839-17785,16893-3550-20441-38045-45932-45111-59545-11229,28858-3778-8406-14525-44314-27878-63360-7081,33494-2467-7088-8797-62565-47478-69554-15623,22305-3595-6615-5851-49247-58641-54612-4689,8845-418-1343-2963-11882-13662-11640-3491,easy
236688-530970-497396-2822203-1965826-1761969-384376-845761,17492-167050-362677-541147-653652-426697-276993-218255,2181-53294-29126-134264-32281-152839-17785-10557,3550-20441-38045-45932-45111-59545-11229-25336,3778-8406-14525-44314-27878-63360-7081-12767,2467-7088-8797-62565-47478-69554-15623-11897,3595-6615-5851-49247-58641-54612-4689-13269,418-1343-2963-11882-13662-11640-3491-1702,easy
